"ANO_EJE","NIVEL_GOBIERNO","NIVEL_GOBIERNO_NOMBRE","SECTOR","SECTOR_NOMBRE","PLIEGO","PLIEGO_NOMBRE","SEC_EJEC","EJECUTORA","EJECUTORA_NOMBRE","DEPARTAMENTO_EJECUTORA","DEPARTAMENTO_EJECUTORA_NOMBRE","PROVINCIA_EJECUTORA","PROVINCIA_EJECUTORA_NOMBRE","DISTRITO_EJECUTORA","DISTRITO_EJECUTORA_NOMBRE","DISPOSITIVO_LEGAL","DISPOSITIVO_LEGAL_NOMBRE","DISPOSITIVO_LEGAL_DESCRIPCION","REFERENCIA","NORMA_REFERENCIA","AMBITO_RESPONSABLE","AMBITO_RESPONSABLE_NOMBRE","PROGRAMA_PPTO","PROGRAMA_PPTO_NOMBRE","TIPO_ACT_PROY","TIPO_ACT_PROY_NOMBRE","PRODUCTO_PROYECTO","PRODUCTO_PROYECTO_NOMBRE","ACTIVIDAD_ACCION_OBRA","ACTIVIDAD_ACCION_OBRA_NOMBRE","DEPARTAMENTO_META","DEPARTAMENTO_META_NOMBRE","PROVINCIA_META","PROVINCIA_META_NOMBRE","DISTRITO_META","DISTRITO_META_NOMBRE","FUENTE_FINANCIAMIENTO","FUENTE_FINANCIAMIENTO_NOMBRE","RUBRO","RUBRO_NOMBRE","CATEGORIA_GASTO","CATEGORIA_GASTO_NOMBRE","TIPO_TRANSACCION","GENERICA","GENERICA_NOMBRE","MONTO_ASIGNADO","MARCO_PRESUPUESTAL","MONTO_CERTIFICADO","MONTO_COMPROMETIDO_ANUAL","MONTO_DEVENGADO"
"2017","M","GOBIERNOS LOCALES"," "," "," "," ","301260","150111","MUNICIPALIDAD DISTRITAL DE EL AGUSTINO","15","LIMA","01","LIMA","11","MUNICIPALIDAD DISTRITAL DE EL AGUSTINO","70","R.M. Nº 219-2017-TR","Transferencia Financiera del","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0073","PROGRAMA PARA LA GENERACION DEL EMPLEO SOCIAL INCLUSIVO - TRABAJA PERU","2","PROYECTO","2174041","CREACION DE MURO DE CONTENCION EN LA AV. 1 DE MAYO, TRAMO II AA.HH. IV PROGRAMA, DISTRITO DE EL AGUSTINO - LIMA - LIMA","4000212","CONSTRUCCION DE MURO DE CONTENCION","15","LIMA","01","LIMA","11","EL AGUSTINO","4","DONACIONES Y TRANSFERENCIAS","13","DONACIONES Y TRANSFERENCIAS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","175139","0","0","0"
"2017","M","GOBIERNOS LOCALES"," "," "," "," ","301260","150111","MUNICIPALIDAD DISTRITAL DE EL AGUSTINO","15","LIMA","01","LIMA","11","MUNICIPALIDAD DISTRITAL DE EL AGUSTINO","70","R.M. Nº 219-2017-TR","Transferencia Financiera del","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0073","PROGRAMA PARA LA GENERACION DEL EMPLEO SOCIAL INCLUSIVO - TRABAJA PERU","2","PROYECTO","2174043","CREACION DE MURO DE CONTENCION EN LA CALLE LOS JAZMINES Y LOS PASAJES LOS LAURELES, 3 Y B EN EL AA.HH. LAS CATARATAS, DISTRITO DE EL AGUSTINO - LIMA - LIMA","4000212","CONSTRUCCION DE MURO DE CONTENCION","15","LIMA","01","LIMA","11","EL AGUSTINO","4","DONACIONES Y TRANSFERENCIAS","13","DONACIONES Y TRANSFERENCIAS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","174871","0","0","0"
"2017","E","GOBIERNO NACIONAL","37","VIVIENDA CONSTRUCCION Y SANEAMIENTO","037","MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO","1085","004","PROGRAMA NACIONAL DE SANEAMIENTO URBANO","15","LIMA","01","LIMA","31","PROGRAMA NACIONAL DE SANEAMIENTO URBANO","55","D.S. Nº 314-2017-EF","Crédito Suplementario en el Presupuesto del Sector Público para el Año Fiscal 2017 a favor del Pliego Ministerio de Vivienda, Construcción y Saneamiento","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0068","REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES","2","PROYECTO","2174896","INSTALACION Y REHABILITACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL SECTOR NOR OESTE PERIFERICO DE LA CIUDAD DE HUARAL, PROVINCIA DE HUARAL - LIMA","4000041","INSTALACION DE SISTEMA DE AGUA POTABLE","15","LIMA","06","LIMA","01","SAN ISIDRO","5","RECURSOS DETERMINADOS","18","CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","4220503","0","0","0"
"2017","E","GOBIERNO NACIONAL","37","VIVIENDA CONSTRUCCION Y SANEAMIENTO","037","MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO","1085","004","PROGRAMA NACIONAL DE SANEAMIENTO URBANO","15","LIMA","01","LIMA","31","PROGRAMA NACIONAL DE SANEAMIENTO URBANO","55","D.S. Nº 314-2017-EF","Crédito Suplementario en el Presupuesto del Sector Público para el Año Fiscal 2017 a favor del Pliego Ministerio de Vivienda, Construcción y Saneamiento","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0068","REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES","2","PROYECTO","2176222","MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO BASICO EN LAS CALLES SAN MARTIN, SIMON BOLIVAR, ANTERO ROSADIO, AREVALO, REPUBLICA DE VENEZUELA Y SAN JERONIMO, DISTRITO DE PATIVILCA - BARRANCA - LIMA","4000054","MEJORAMIENTO DEL SISTEMA DE ALCANTARRILLADO","15","LIMA","02","LIMA","03","SAN ISIDRO","5","RECURSOS DETERMINADOS","18","CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","4997599","0","0","0"
"2017","M","GOBIERNOS LOCALES"," "," "," "," ","301368","150730","MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA","15","LIMA","07","HUAROCHIRI","30","MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA","70","R.M. Nº 219-2017-TR","Transferencia Financiera del","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0073","PROGRAMA PARA LA GENERACION DEL EMPLEO SOCIAL INCLUSIVO - TRABAJA PERU","2","PROYECTO","2183035","REHABILITACION Y MEJORAMIENTO DEL CAMINO DE HERRADURA CAMINO REAL, GODOY - CHAFANA - PLAZA DE LA MERCED DE CHILCA, DISTRITO DE SANTIAGO DE TUNA - HUAROCHIRI - LIMA","4000071","CONSTRUCCION DE CAMINO RURAL","15","LIMA","07","HUAROCHIRI","30","SANTIAGO DE TUNA","4","DONACIONES Y TRANSFERENCIAS","13","DONACIONES Y TRANSFERENCIAS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","424489","0","0","22548.34"
"2017","M","GOBIERNOS LOCALES"," "," "," "," ","301383","150901","MUNICIPALIDAD PROVINCIAL DE OYON","15","LIMA","09","OYON","01","MUNICIPALIDAD PROVINCIAL DE OYON","50","R.M. Nº 162-2017-TR","Transferencia Financiera Del Programa Para La Generación Del Empleo Social Inclusivo  TRABAJA PERU  A Favor De Organismos Ejecutores Del Sector Público.","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0073","PROGRAMA PARA LA GENERACION DEL EMPLEO SOCIAL INCLUSIVO - TRABAJA PERU","2","PROYECTO","2183191","INSTALACION DEL SERVICIO DE PROTECCION EN LA AV. CHAUPIMARCA, ALTURA DEL PUENTE QUICHAS, CENTRO POBLADO DE QUICHAS, DISTRITO DE OYON, PROVINCIA DE OYON - LIMA","4000122","CONTROL DE INUNDACIONES Y DEFENSAS RIBEREÑAS","15","LIMA","09","OYON","01","OYON","4","DONACIONES Y TRANSFERENCIAS","13","DONACIONES Y TRANSFERENCIAS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","223874","0","0","219430.85"
"2017","M","GOBIERNOS LOCALES"," "," "," "," ","301449","160305","MUNICIPALIDAD DISTRITAL DE URARINAS","16","LORETO","03","LORETO","05","MUNICIPALIDAD DISTRITAL DE URARINAS","50","R.M. Nº 162-2017-TR","Transferencia Financiera Del Programa Para La Generación Del Empleo Social Inclusivo  TRABAJA PERU  A Favor De Organismos Ejecutores Del Sector Público.","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0073","PROGRAMA PARA LA GENERACION DEL EMPLEO SOCIAL INCLUSIVO - TRABAJA PERU","2","PROYECTO","2203913","AMPLIACION DE VEREDA PEATONAL MAYPUCO - TOPAL, DISTRITO DE URARINAS - LORETO - LORETO","4000180","CONSTRUCCION, MEJORAMIENTO Y REHABILITACION DE CAMINOS","16","LORETO","03","LORETO","05","URARINAS","4","DONACIONES Y TRANSFERENCIAS","13","DONACIONES Y TRANSFERENCIAS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","836733","0","0","658561.52"
"2017","M","GOBIERNOS LOCALES"," "," "," "," ","301349","150711","MUNICIPALIDAD DISTRITAL DE LANGA","15","LIMA","07","HUAROCHIRI","11","MUNICIPALIDAD DISTRITAL DE LANGA","50","R.M. Nº 162-2017-TR","Transferencia Financiera Del Programa Para La Generación Del Empleo Social Inclusivo  TRABAJA PERU  A Favor De Organismos Ejecutores Del Sector Público.","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0073","PROGRAMA PARA LA GENERACION DEL EMPLEO SOCIAL INCLUSIVO - TRABAJA PERU","2","PROYECTO","2205954","CREACION DE PAVIMENTO VEREDAS EMPEDRADAS DE LAS CALLES DE LANGA, DISTRITO DE LANGA - HUAROCHIRI - LIMA","4000075","CONSTRUCCION DE VIA LOCAL","15","LIMA","07","HUAROCHIRI","11","LANGA","4","DONACIONES Y TRANSFERENCIAS","13","DONACIONES Y TRANSFERENCIAS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","381683","0","0","205377.09"
"2017","M","GOBIERNOS LOCALES"," "," "," "," ","300839","090411","MUNICIPALIDAD DISTRITAL DE SANTA ANA","09","HUANCAVELICA","04","CASTROVIRREYNA","11","MUNICIPALIDAD DISTRITAL DE SANTA ANA","50","R.M. Nº 162-2017-TR","Transferencia Financiera Del Programa Para La Generación Del Empleo Social Inclusivo  TRABAJA PERU  A Favor De Organismos Ejecutores Del Sector Público.","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0073","PROGRAMA PARA LA GENERACION DEL EMPLEO SOCIAL INCLUSIVO - TRABAJA PERU","2","PROYECTO","2237520","INSTALACION DEL SERVICIO DE PROTECCION, CONTRA INUNDACIONES EN LA LOCALIDAD DE SANTA ANA, MARGEN DERECHA E IZQUIERDA DEL RIO PACCARI (PROGRESIVA KM 0+000 - 0+316) DEL DISTRITO DE SANTA ANA, PROVINCIA DE CASTROVIRREYNA - HUANCAVELICA","4000212","CONSTRUCCION DE MURO DE CONTENCION","09","HUANCAVELICA","04","CASTROVIRREYNA","11","SANTA ANA","4","DONACIONES Y TRANSFERENCIAS","13","DONACIONES Y TRANSFERENCIAS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","835049","0","0","533622.38"
"2017","M","GOBIERNOS LOCALES"," "," "," "," ","300159","021010","MUNICIPALIDAD DISTRITAL DE PAUCAS","02","ANCASH","10","HUARI","10","MUNICIPALIDAD DISTRITAL DE PAUCAS","50","R.M. Nº 162-2017-TR","Transferencia Financiera Del Programa Para La Generación Del Empleo Social Inclusivo  TRABAJA PERU  A Favor De Organismos Ejecutores Del Sector Público.","FONDO PARA INTERVENCIONES ANTE LA OCURRENCIA DE DESASTRES NATURALES - FONDES","LEY Nº 30556","1","AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIOS","0073","PROGRAMA PARA LA GENERACION DEL EMPLEO SOCIAL INCLUSIVO - TRABAJA PERU","2","PROYECTO","2219844","INSTALACION DE DEFENSA RIBEREÑA CON GAVIONES EN LA QUEBRADA PUENTE UNION EN EL BARRIO SANTA CRUZ DE PICUTO, DISTRITO DE PAUCAS - HUARI - ANCASH","4000122","CONTROL DE INUNDACIONES Y DEFENSAS RIBEREÑAS","02","ANCASH","10","HUARI","10","PAUCAS","4","DONACIONES Y TRANSFERENCIAS","13","DONACIONES Y TRANSFERENCIAS","6","GASTO DE CAPITAL","2","6","ADQUISICION DE ACTIVOS NO FINANCIEROS","0","929211","0","0","351168.24"
