id,host_id,neighbourhood_group,neighbourhood,latitude,longitude
18666,71615,Sant Martí,el Camp de l'Arpa del Clot,41.40889,2.18555
18674,71615,Eixample,la Sagrada Família,41.4042,2.17306
21605,82522,Sant Martí,el Poblenou,41.4056,2.19821
23197,90417,Sant Martí,el Besòs i el Maresme,41.41203,2.22114
25786,108310,Gràcia,la Vila de Gràcia,41.40145,2.15645
31377,134698,Horta-Guinardó,el Baix Guinardó,41.41097,2.1707
31380,134698,Horta-Guinardó,el Baix Guinardó,41.4109,2.17082
31958,136853,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4095,2.15938
32471,136853,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40928,2.16112
32615,141199,Les Corts,les Corts,41.3872,2.14088
32711,135703,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40464,2.16954
34241,73163,Ciutat Vella,el Barri Gòtic,41.37916,2.17535
34981,73163,Ciutat Vella,el Barri Gòtic,41.37859,2.1773
35379,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39029,2.15268
35388,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39058,2.1519
35390,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39147,2.15118
35392,152232,Eixample,l'Antiga Esquerra de l'Eixample,41.39075,2.15072
36763,158596,Ciutat Vella,la Barceloneta,41.37906,2.19141
40983,177617,Eixample,la Dreta de l'Eixample,41.3956,2.16761
46153,90417,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782
49968,135703,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40631,2.16945
50066,135703,Eixample,el Fort Pienc,41.39821,2.17966
58512,280070,Sant Martí,el Camp de l'Arpa del Clot,41.41099,2.18119
61444,297545,Eixample,la Dreta de l'Eixample,41.38901,2.16552
66037,323105,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38322,2.18234
67065,136853,Eixample,l'Antiga Esquerra de l'Eixample,41.39161,2.15089
68547,340570,Ciutat Vella,el Barri Gòtic,41.38072,2.17811
70099,353987,Ciutat Vella,el Raval,41.37828,2.1708
71520,366428,Gràcia,Vallcarca i els Penitents,41.41837,2.13419
71553,366654,Eixample,el Fort Pienc,41.3974,2.17682
71603,366654,Eixample,la Dreta de l'Eixample,41.39038,2.17606
71736,368317,Ciutat Vella,el Raval,41.38321,2.16656
72436,375625,Sant Martí,el Poblenou,41.39837,2.20623
72793,368317,Ciutat Vella,el Raval,41.38248,2.16415
72794,368317,Ciutat Vella,el Raval,41.38294,2.16534
73455,383697,Ciutat Vella,el Raval,41.38422,2.16701
73683,135703,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40506,2.17081
73693,297545,Sants-Montjuïc,el Poble Sec,41.37163,2.16591
74562,382031,Ciutat Vella,el Raval,41.38255,2.16836
75003,396363,Eixample,la Sagrada Família,41.40445,2.17765
75411,400154,Sant Martí,el Clot,41.40825,2.18729
80004,431839,Sants-Montjuïc,el Poble Sec,41.37188,2.16656
83283,700165,Eixample,Sant Antoni,41.38227,2.16141
89756,488117,Ciutat Vella,el Raval,41.37815,2.16894
89776,488151,Eixample,el Fort Pienc,41.39377,2.1795
95560,494228,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40585,2.16888
95719,509260,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3839,2.18011
97529,497450,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40906,2.16539
100256,527201,Ciutat Vella,la Barceloneta,41.37983,2.19249
107437,556626,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.42864,2.09159
109462,396363,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40264,2.16717
110041,396363,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40244,2.16564
110098,396363,Ciutat Vella,el Barri Gòtic,41.3805,2.17932
112538,567180,Eixample,la Sagrada Família,41.40549,2.17368
119546,603336,Ciutat Vella,el Raval,41.37969,2.16532
128463,635253,Sants-Montjuïc,Sants,41.37242,2.13637
130227,641496,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40646,2.21282
135513,664196,Sant Martí,el Poblenou,41.39841,2.20613
136670,610674,Les Corts,Pedralbes,41.38846,2.12351
144471,700165,Eixample,Sant Antoni,41.38226,2.15898
147275,711907,Horta-Guinardó,el Guinardó,41.42318,2.17501
154281,742068,Ciutat Vella,el Raval,41.37799,2.17281
154437,474355,Eixample,l'Antiga Esquerra de l'Eixample,41.39106,2.1509
158238,759411,Les Corts,les Corts,41.38416,2.13636
163490,713364,Eixample,la Dreta de l'Eixample,41.39106,2.17662
164456,784341,Ciutat Vella,el Barri Gòtic,41.38341,2.17257
164897,786393,Gràcia,la Vila de Gràcia,41.40099,2.16294
171646,400154,Sant Martí,el Clot,41.40696,2.18711
171816,400154,Sant Martí,el Camp de l'Arpa del Clot,41.40828,2.18622
179619,860071,Sants-Montjuïc,Sants,41.37151,2.13607
180293,863772,Eixample,la Dreta de l'Eixample,41.39847,2.16452
181824,852032,Sant Martí,Provençals del Poblenou,41.40846,2.2042
184373,829660,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38281,2.18148
184516,784341,Ciutat Vella,el Barri Gòtic,41.38199,2.17357
186221,494228,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40671,2.16717
186540,896554,Sant Martí,el Clot,41.41076,2.19078
186542,896372,Eixample,la Dreta de l'Eixample,41.39326,2.17386
186598,896690,Ciutat Vella,el Raval,41.3818,2.16527
188267,366654,Eixample,la Dreta de l'Eixample,41.39368,2.17614
190348,919480,Les Corts,Pedralbes,41.39009,2.12588
191303,829660,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38472,2.18149
193923,939590,Horta-Guinardó,Horta,41.43846,2.1556
194460,944355,Sant Martí,el Besòs i el Maresme,41.41431,2.21686
1387193,6788144,Sants-Montjuïc,Sants,41.37792,2.13001
1390431,177617,Gràcia,la Vila de Gràcia,41.40087,2.15615
1391124,7521925,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40262,2.14899
1391996,7378194,Sants-Montjuïc,el Poble Sec,41.37295,2.16953
1392132,7167787,Eixample,la Sagrada Família,41.40796,2.18023
1395001,893805,Sants-Montjuïc,el Poble Sec,41.37435,2.16558
1395698,7492095,Sants-Montjuïc,la Bordeta,41.36624,2.13521
1396253,7543951,Ciutat Vella,el Barri Gòtic,41.38118,2.18002
1396721,1228590,Eixample,la Dreta de l'Eixample,41.392,2.1633
1397560,7352678,Sant Martí,el Poblenou,41.40298,2.19707
1397748,1228590,Eixample,la Dreta de l'Eixample,41.39352,2.1634
1401163,3376710,Gràcia,la Vila de Gràcia,41.39852,2.16024
1402772,612665,Eixample,la Dreta de l'Eixample,41.39047,2.17497
1404935,7582008,Les Corts,les Corts,41.39008,2.1387
1406069,383697,Eixample,la Dreta de l'Eixample,41.39127,2.1747
1406158,2439400,Eixample,la Sagrada Família,41.40424,2.17657
1406337,2201772,Eixample,l'Antiga Esquerra de l'Eixample,41.3866,2.15307
1407575,7592043,Sant Martí,el Besòs i el Maresme,41.41555,2.21652
1407805,7592636,Eixample,el Fort Pienc,41.39675,2.18086
1410802,10911051,Sants-Montjuïc,la Marina del Prat Vermell,41.35324,2.14759
1411400,2509252,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39687,2.1448
1411945,7612142,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40346,2.16626
1413266,6973725,Sant Martí,el Camp de l'Arpa del Clot,41.41129,2.17972
1413577,1255733,Sants-Montjuïc,el Poble Sec,41.37152,2.16049
1417799,6748687,Eixample,la Dreta de l'Eixample,41.38929,2.17049
1417890,7638636,Eixample,la Dreta de l'Eixample,41.38685,2.16951
1418423,7640278,Eixample,la Nova Esquerra de l'Eixample,41.3824,2.15524
1418456,3907915,Eixample,Sant Antoni,41.38144,2.16229
1418961,7638636,Eixample,la Dreta de l'Eixample,41.38916,2.17135
1420428,7582008,Les Corts,les Corts,41.39188,2.1409
1421725,6770220,Eixample,la Dreta de l'Eixample,41.39058,2.17585
1424466,396363,Les Corts,les Corts,41.38197,2.12845
1424694,396363,Les Corts,les Corts,41.38335,2.12952
1425685,396363,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4028,2.16589
1426125,7543951,Ciutat Vella,el Barri Gòtic,41.38272,2.17642
1426674,7671343,Sants-Montjuïc,Sants,41.37595,2.13832
1429236,2688205,Eixample,la Nova Esquerra de l'Eixample,41.37972,2.14882
1429442,1986299,Sant Martí,el Camp de l'Arpa del Clot,41.40881,2.18365
1429809,396363,Eixample,Sant Antoni,41.37835,2.15509
1431437,2394743,Sant Martí,el Poblenou,41.40044,2.20202
1431478,2394743,Sant Martí,el Poblenou,41.39999,2.20041
1431666,6192063,Les Corts,la Maternitat i Sant Ramon,41.3784,2.12421
1432237,7697867,Sants-Montjuïc,el Poble Sec,41.37349,2.17164
1435370,7712303,Gràcia,Vallcarca i els Penitents,41.41513,2.14461
1436676,396363,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40311,2.1662
1440394,396363,Gràcia,la Vila de Gràcia,41.41012,2.15755
1444019,396363,Sant Martí,el Camp de l'Arpa del Clot,41.40809,2.18112
1445152,7758783,Sant Martí,la Vila Olímpica del Poblenou,41.39263,2.19217
1446649,3123165,Eixample,la Dreta de l'Eixample,41.38869,2.16472
1447244,7496888,Gràcia,la Vila de Gràcia,41.39994,2.15419
1447823,3775349,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38228,2.18328
1447825,3775349,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38249,2.18195
1447826,3775349,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3822,2.18318
1447830,3775349,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38212,2.18308
1447835,3775349,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38189,2.18198
1448092,7772486,Sants-Montjuïc,Hostafrancs,41.37511,2.14434
1448933,3403659,Eixample,la Sagrada Família,41.40338,2.18227
1454173,5020114,Eixample,Sant Antoni,41.38243,2.1607
1455645,7555617,Ciutat Vella,el Raval,41.37964,2.16599
1455788,396363,Eixample,l'Antiga Esquerra de l'Eixample,41.38673,2.15562
1457218,3123165,Eixample,la Dreta de l'Eixample,41.39061,2.16289
1459127,7822228,Sant Martí,el Poblenou,41.39776,2.20008
1459281,7555617,Ciutat Vella,el Raval,41.37961,2.16611
1459831,7823519,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40416,2.16402
1471264,1332589,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38717,2.17738
1472974,4993461,Eixample,la Dreta de l'Eixample,41.39648,2.17111
1474088,7890427,Eixample,la Sagrada Família,41.40746,2.17926
1474914,7894301,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40663,2.16594
1474989,7812285,Eixample,l'Antiga Esquerra de l'Eixample,41.38676,2.15375
1477381,7906740,Sants-Montjuïc,Sants,41.37193,2.13281
1478299,7906740,Sants-Montjuïc,la Bordeta,41.37054,2.13451
1480728,7922947,Sants-Montjuïc,la Bordeta,41.36781,2.13336
1481054,7924185,Eixample,la Sagrada Família,41.41089,2.17648
1481221,7922947,Sants-Montjuïc,Sants,41.37526,2.13432
1482060,6166581,Eixample,la Dreta de l'Eixample,41.38977,2.17532
1490933,5878688,Eixample,la Dreta de l'Eixample,41.39106,2.17641
1491040,5878688,Eixample,la Dreta de l'Eixample,41.38977,2.16519
1491111,5878688,Eixample,la Dreta de l'Eixample,41.38968,2.16565
1491290,2439400,Eixample,la Sagrada Família,41.40279,2.17791
1492419,5170063,Sant Martí,Provençals del Poblenou,41.41049,2.20754
1492471,396363,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39528,2.14524
1497324,7521925,Sarrià-Sant Gervasi,el Putxet i el Farró,41.40261,2.14895
1499405,1902744,Eixample,l'Antiga Esquerra de l'Eixample,41.38665,2.15933
1501323,7923674,Eixample,la Sagrada Família,41.40286,2.17462
1502416,8027379,Ciutat Vella,el Barri Gòtic,41.38243,2.17229
1505365,8028055,Gràcia,la Vila de Gràcia,41.40137,2.16453
1505984,4212095,Les Corts,les Corts,41.38638,2.13126
1507069,8003291,Ciutat Vella,el Barri Gòtic,41.37796,2.17895
1509691,4389315,Sants-Montjuïc,el Poble Sec,41.37333,2.15703
1516580,2922864,Eixample,l'Antiga Esquerra de l'Eixample,41.39224,2.14611
1520042,8113530,Sant Martí,el Clot,41.40625,2.19013
1520911,7671343,Sants-Montjuïc,el Poble Sec,41.37209,2.16329
1521705,8101364,Gràcia,el Coll,41.41984,2.14807
1522578,8124669,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38537,2.17796
1523790,8130969,Eixample,la Sagrada Família,41.40585,2.17473
1523802,8130906,Eixample,la Dreta de l'Eixample,41.39347,2.17216
1524083,8130969,Eixample,la Sagrada Família,41.40683,2.17287
1524681,6544866,Eixample,la Dreta de l'Eixample,41.39086,2.17319
1527831,6544866,Eixample,la Dreta de l'Eixample,41.39271,2.17278
1529409,8157090,Eixample,la Sagrada Família,41.40075,2.17443
1529679,8159503,Ciutat Vella,el Barri Gòtic,41.38387,2.1719
1529855,8160375,Eixample,la Sagrada Família,41.41008,2.17316
1530586,8164313,Gràcia,la Vila de Gràcia,41.40703,2.15645
1531051,8166913,Sant Martí,la Verneda i la Pau,41.42388,2.20326
1536984,3994718,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38513,2.17791
1540924,8174295,Eixample,la Dreta de l'Eixample,41.39277,2.16007
1549710,3038197,Eixample,Sant Antoni,41.37733,2.15262
1554416,6992168,Ciutat Vella,la Barceloneta,41.37761,2.18795
1558596,6071207,Ciutat Vella,el Raval,41.37796,2.16665
1558994,8297792,Sant Andreu,Navas,41.42024,2.18706
1560631,8304893,Eixample,el Fort Pienc,41.39334,2.17896
1563402,8130906,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40299,2.21015
1563723,8130906,Eixample,la Dreta de l'Eixample,41.39653,2.16191
1563823,8320113,Eixample,la Sagrada Família,41.40679,2.18238
1565292,3459017,Ciutat Vella,el Barri Gòtic,41.38194,2.17826
1569123,8344442,Eixample,Sant Antoni,41.37823,2.15849
1577728,8380835,Sants-Montjuïc,Sants,41.37438,2.14056
1579898,4217311,Eixample,la Sagrada Família,41.40904,2.17711
1580396,4217311,Eixample,la Sagrada Família,41.40963,2.1772
1580437,4217311,Eixample,la Sagrada Família,41.40917,2.17824
1580504,4217311,Eixample,la Sagrada Família,41.41043,2.17683
1580522,4217311,Eixample,la Sagrada Família,41.40905,2.1779
1580586,4217311,Eixample,la Sagrada Família,41.40883,2.17669
1580624,4217311,Eixample,la Sagrada Família,41.41088,2.17697
1580667,8407080,Sant Martí,el Clot,41.40673,2.18831
1583837,6152293,Eixample,l'Antiga Esquerra de l'Eixample,41.38494,2.15877
1587109,8457288,Sants-Montjuïc,la Bordeta,41.36616,2.13582
1587758,6643422,Eixample,Sant Antoni,41.38445,2.16175
1594768,8492689,Sant Martí,el Clot,41.40721,2.18869
1594966,8506491,Horta-Guinardó,la Vall d'Hebron,41.425,2.14333
1595915,8410091,Eixample,el Fort Pienc,41.39693,2.17847
1596016,8510344,Sant Martí,el Besòs i el Maresme,41.41111,2.22173
1596037,5677460,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38957,2.17717
1604145,8546697,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38748,2.17966
1604347,674212,Eixample,la Dreta de l'Eixample,41.38845,2.166
1604559,8548700,Sants-Montjuïc,el Poble Sec,41.37219,2.16311
1610855,6788144,Sants-Montjuïc,Sants - Badal,41.37706,2.12899
1612980,6920683,Eixample,la Dreta de l'Eixample,41.39309,2.16522
1613203,396363,Les Corts,les Corts,41.38172,2.12953
1613290,8587915,Eixample,la Nova Esquerra de l'Eixample,41.38021,2.15395
1613328,396363,Les Corts,les Corts,41.38345,2.12894
1613942,2083075,Eixample,la Dreta de l'Eixample,41.3925,2.16151
1614109,8592353,Eixample,la Dreta de l'Eixample,41.39017,2.1635
1618086,2603961,Sants-Montjuïc,el Poble Sec,41.37513,2.14914
1618509,2546413,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38439,2.17992
1620515,893805,Eixample,la Dreta de l'Eixample,41.39183,2.16927
1622813,8630047,Ciutat Vella,el Barri Gòtic,41.38238,2.17525
1624014,1260560,Eixample,la Nova Esquerra de l'Eixample,41.38453,2.15418
