CVE_ENT,ENT,CVE_MUN,MUN,POB_TOT,VP,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,OVSD,OVSDSE,IM,GM,IND0A100,LUG_NAC,LUGAR_EST,AÑOS
1,Aguascalientes,1001,Aguascalientes,877190,-,2.06,9.54,0.31,0.16,0.72,18.01,0.63,8.73,31.13,-,-,-1.676,Muy bajo,-,2408,11,2015
1,Aguascalientes,1001, Aguascalientes                                   ,797010,-,2.59,11.48,0.49,0.31,0.77,25.25,1.42,8.73,29.9,-,-,-1.768,Muy bajo,7.69,2409,-,2010
1,Aguascalientes,1001,Aguascalientes,723043,-,3.19,13.61,0.77,0.54,1.54,28.86,1.7,8.21,28.37,-,-,-1.831,Muy bajo,-,2419,11,2005
1,Aguascalientes,1001,Aguascalientes,643419,-,3.86,18.04,-,1.12,0.88,32.04,2.22,7.67,37.24,-,1.5,-1.871,Muy bajo,-,2408,11,2000
1,Aguascalientes,1001,Aguascalientes,582827,121790,4.53,-,-,1.62,1.14,-,-,-,-,2.12,-,-1.735,Muy bajo,-,2393,-,1995
1,Aguascalientes,1001,Aguascalientes,506274,-,6.05,27.99,6.55,3.64,3,45.65,5.65,11.47,58.36,-,-,-1.833,Muy bajo,-,2341,9,1990
1,Aguascalientes,1005,Jes�s Mar�a,120405,-,3.26,13.73,0.44,0.37,0.73,27.02,1.03,45.17,33.77,-,-,-1.256,Muy bajo,-,2229,10,2015
1,Aguascalientes,1005, Jes�s Mar�a                                      ,99590,-,3.76,18.21,1.26,1.17,1.43,39.16,2.59,45.17,31.15,-,-,-1.262,Muy bajo,13.411,2202,-,2010
1,Aguascalientes,1005,Jes�s Mar�a,82623,-,5.33,23.64,1.57,1.4,2.48,46.43,3.07,41.58,36.01,-,-,-1.234,Muy bajo,-,2188,9,2005
1,Aguascalientes,1005,Jes�s Mar�a,64097,-,6.63,32.89,-,2.72,1.73,53.76,7.35,42.28,47.27,-,3.83,-1.141,Bajo,-,2104,9,2000
1,Aguascalientes,1003,Calvillo,56048,-,4.8,24.18,0.55,0.41,0.86,30.53,0.93,50.76,61.95,-,-,-0.698,Bajo,-,1799,5,2015
1,Aguascalientes,1005,Jes�s Mar�a,54476,9660,8.3,-,-,5.57,3.11,-,-,-,-,7.75,-,-0.972,Bajo,-,1975,-,1995
1,Aguascalientes,1003, Calvillo                                         ,54136,-,6.19,28.88,0.79,0.87,1.8,39.79,2.42,50.76,60.08,-,-,-0.754,Bajo,19.152,1836,-,2010
1,Aguascalientes,1007,Rinc�n de Romos,53866,-,3.53,14.75,1.97,0.52,1.52,31.61,0.91,43.06,43.44,-,-,-1.045,Bajo,-,2090,7,2015
1,Aguascalientes,1003,Calvillo,51658,9537,7.49,-,-,3.49,4.25,-,-,-,-,8.4,-,-1.105,Bajo,-,2057,-,1995
1,Aguascalientes,1003,Calvillo,51291,-,8.2,40.55,-,2.23,2.66,49.21,4.74,53.04,73.34,-,3.61,-0.811,Bajo,-,1870,6,2000
1,Aguascalientes,1003,Calvillo,50183,-,8.15,34.46,1.36,0.84,2.28,43.6,3.03,50.61,55.87,-,-,-0.875,Bajo,-,1935,6,2005
1,Aguascalientes,1007, Rinc�n de Romos                                  ,49156,-,4.7,19.22,2.23,0.8,1.22,42.29,3.68,43.06,46.42,-,-,-1.035,Bajo,15.982,2056,-,2010
1,Aguascalientes,1003,Calvillo,48440,-,9.56,53.65,13.89,7.21,6.6,62.33,8.85,54.34,72.01,-,-,-0.957,Bajo,-,1953,7,1990
1,Aguascalientes,1006,Pabell�n de Arteaga,46473,-,3.41,14.9,1,0.42,0.9,32.24,0.62,31.6,41.48,-,-,-1.129,Muy bajo,-,2153,8,2015
1,Aguascalientes,1002,Asientos,46464,-,4.47,20.89,3.84,1.04,1.17,30.64,1.69,100,52.76,-,-,-0.565,Bajo,-,1669,1,2015
1,Aguascalientes,1011,San Francisco de los Romo,46454,-,2.94,13.77,0.13,0.41,0.76,31.28,0.46,54.92,35.49,-,-,-1.156,Muy bajo,-,2171,9,2015
1,Aguascalientes,1002, Asientos                                         ,45492,-,5.54,26.02,5.72,2.14,2.05,45.27,2.59,100,59.52,-,-,-0.463,Medio,22.445,1591,-,2010
1,Aguascalientes,1007,Rinc�n de Romos,45471,-,6.49,24.46,3.6,1.32,2.7,47.03,4.47,43.23,39.25,-,-,-1.136,Bajo,-,2122,7,2005
1,Aguascalientes,1006, Pabell�n de Arteaga                              ,41862,-,4.11,18.74,0.94,0.98,1.45,41.38,1.54,31.6,36.3,-,-,-1.245,Bajo,13.603,2194,-,2010
1,Aguascalientes,1007,Rinc�n De Romos,41655,-,7.04,29.77,-,3.15,2.74,50.53,6.61,45.82,51.53,-,7.1,-1.124,Bajo,-,2091,8,2000
1,Aguascalientes,1005,Jes�s Mar�a,41092,-,10.3,50.73,13.14,7.91,6.36,70.05,13.67,51.47,69.7,-,-,-0.895,Bajo,-,1910,5,1990
1,Aguascalientes,1002,Asientos,40547,-,6.77,31.82,9.17,2.72,3.16,50.61,7.2,100,47.47,-,-,-0.62,Medio,-,1730,1,2005
1,Aguascalientes,1006,Pabell�n de Arteaga,38912,-,5.58,22.77,1.31,0.82,2.31,46.71,1.96,31.13,35.15,-,-,-1.306,Muy bajo,-,2239,10,2005
1,Aguascalientes,1007,Rinc�n De Romos,38752,7033,8.01,-,-,3.37,3.79,-,-,-,-,12.53,-,-0.985,Bajo,-,1982,-,1995
1,Aguascalientes,1002,Asientos,37763,-,7.44,39.44,-,5.39,3.47,52.24,10.37,100,62.31,-,15.79,-0.584,Medio,-,1690,2,2000
