Away,Home,Runs,Margin,Hits,Errors,Pitchers,Walks,Time
TEX,CHW,10,10,20,2,5,5,184
CLE,DET,15,1,24,0,11,10,225
BOS,KCR,7,5,13,1,8,7,213
BAL,LAA,8,6,20,4,5,5,155
NYY,MIN,3,3,13,2,9,8,187
TOR,OAK,1,1,5,0,4,4,158
SEA,TBR,15,1,22,2,7,6,182
ARI,ATL,1,1,10,1,5,7,153
STL,CHC,8,4,21,1,8,4,162
LAD,COL,8,2,11,1,6,7,187
SFG,HOU,10,2,20,1,12,10,234
MIL,NYM,8,4,17,1,8,3,174
CIN,PIT,9,1,14,0,8,7,173
FLA,SDP,7,1,15,0,8,6,162
PHI,WSN ,9,1,20,0,10,3,193
TBR,BAL,7,7,14,1,6,8,167
OAK,CHW,12,2,25,1,11,7,190
SEA,DET,5,1,14,0,7,4,173
KCR,LAA,6,2,16,0,5,6,161
TEX,MIN,12,6,21,2,6,4,187
CLE,NYY,18,4,24,1,10,16,212
BOS,TOR,6,4,15,3,7,5,183
LAD,COL,11,1,25,3,6,5,171
ARI,FLA,10,2,22,0,9,4,171
ATL,HOU,15,7,24,2,10,6,180
STL,MIL,8,8,17,0,5,5,154
CHC,PHI,12,2,18,1,8,11,189
NYM,PIT,9,7,22,2,7,3,162
WSN,SDP,3,1,8,1,7,8,164
CIN,SFG,5,1,21,2,8,9,189
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
