Bike,Date,Distance,Time,Minutes,AvgSpeed,TopSpeed,Seconds,Month,,,,
Steel,20/01/10,27.2,1:55:04,115.07,14.1,31.5,6904,1Jan,,,,
Carbon,21/01/10,27.46,1:55:35,115.58,14.25,30.64,6935,1Jan,,,,
Steel,25/01/10,27.2,1:55:45,115.75,14.1,30.92,6945,1Jan,,,,
Carbon,26/01/10,27.52,1:53:56,113.93,14.49,33.02,6836,1Jan,,,,
Carbon,27/01/10,27.51,1:59:12,119.20,13.84,30.92,7152,2Feb,,,,
Steel,01/02/10,27.17,1:48:44,108.73,14.99,32.09,6524,2Feb,,,,
Steel,03/02/10,27.16,1:57:44,117.73,13.84,32.09,7064,2Feb,,,,
Carbon,03/02/10,27.49,2:03:20,123.33,13.37,29.58,7400,2Feb,,,,
Carbon,08/02/10,27.48,1:52:30,112.50,14.65,34.02,6750,2Feb,,,,
Steel,09/02/10,27.09,1:52:37,112.62,14.43,32.71,6757,2Feb,,,,
Carbon,11/02/10,27.44,1:57:41,117.68,13.99,32,7061,3Mar,,,,
Carbon,01/03/10,27.49,1:48:38,108.63,15.18,32.71,6518,3Mar,,,,
Carbon,03/03/10,27.49,1:50:53,110.88,14.82,34.71,6653,3Mar,,,,
Steel,04/03/10,27.16,1:49:34,109.57,14.87,33.5,6574,3Mar,,,,
Steel,08/03/10,27.4,1:53:04,113.07,14.56,32.4,6784,3Mar,,,,
Carbon,10/03/10,27.266,1:45:52,105.87,15.45,32.09,6352,3Mar,,,,
Carbon,12/03/10,27.29,1:52:35,112.58,14.54,33.02,6755,3Mar,,,,
Carbon,15/03/10,27.33,1:52:26,112.43,14.58,34.1,6746,3Mar,,,,
Steel,17/03/10,27,1:43:58,103.97,15.58,33.08,6238,3Mar,,,,
Steel,22/03/10,27.06,1:52:52,112.87,14.32,32.71,6772,3Mar,,,,
Steel,23/03/10,26.99,1:44:45,104.75,15.46,35.1,6285,3Mar,,,,
Steel,25/03/10,25.86,1:45:28,105.47,14.71,34.71,6328,3Mar,,,,
Carbon,29/03/10,27.36,1:49:35,109.58,14.98,32.09,6575,3Mar,,,,
Steel,30/03/10,27.01,1:51:02,111.03,14.59,32.4,6662,4Apr,,,,
Steel,01/04/10,27.03,1:51:19,111.32,14.57,32.4,6679,4Apr,,,,
Steel,12/04/10,27.1,1:45:25,105.42,15.32,36,6325,4Apr,,,,
Steel,14/04/10,27,1:50:12,110.20,14.69,35.1,6612,4Apr,,,,
Steel,19/04/10,27.05,1:48:42,108.70,14.92,33.35,6522,4Apr,,,,
Carbon,21/04/10,27.34,1:42:36,102.60,15.99,34.84,6156,4Apr,,,,
Carbon,26/04/10,27.31,1:43:49,103.82,15.78,33.02,6229,4Apr,,,,
Carbon,28/04/10,27.32,1:42:45,102.75,15.95,34,6165,4Apr,,,,
Steel,29/04/10,26.95,1:41:43,101.72,15.9,34.71,6103,5May,,,,
Carbon,04/05/10,27.4,1:41:51,101.85,16.15,35.02,6111,5May,,,,
Steel,10/05/10,26.94,1:37:40,97.67,16.55,35.66,5860,5May,,,,
Carbon,11/05/10,27.34,1:47:14,107.23,15.1,32.71,6434,5May,,,,
Steel,12/05/10,27.02,1:48:15,108.25,14.98,32.4,6495,5May,,,,
Steel,13/05/10,26.94,1:43:15,103.25,15.66,33.68,6195,5May,,,,
Carbon,28/05/10,27.31,1:40:05,100.08,16.25,35,6005,6June,,,,
Steel,10/06/10,27.03,1:51:56,111.93,14.48,34.02,6716,6June,,,,
Steel,14/06/10,27.02,1:42:26,102.43,15.83,34.02,6146,6June,,,,
Steel,15/06/10,26.92,1:40:36,100.60,16.05,36,6036,6June,,,,
Steel,21/06/10,26.9,1:46:28,106.47,15.16,33.8,6388,6June,,,,
Carbon,22/06/10,27.32,1:40:41,100.68,16.28,36,6041,6June,,,,
Steel,23/06/10,26.91,1:41:35,101.58,15.89,33.34,6095,6June,,,,
Steel,25/06/10,26.94,1:50:29,110.48,14.63,32.4,6629,7July,,,,
Carbon,05/07/10,27.36,1:41:35,101.58,16.15,34,6095,7July,,,,
Carbon,06/07/10,27.39,1:45:03,105.05,15.64,35.02,6303,7July,,,,
Carbon,07/07/10,27.38,1:42:54,102.90,15.96,33.35,6174,7July,,,,
Steel,08/07/10,26.91,1:45:57,105.95,15.24,34.4,6357,7July,,,,
Carbon,12/07/10,26.74,1:41:52,101.87,15.75,35.02,6112,7July,,,,
Steel,13/07/10,26.6,1:46:50,106.83,14.94,33.68,6410,7July,,,,
Carbon,15/07/10,27.43,1:50:36,110.60,14.86,33.02,6636,7July,,,,
Carbon,19/07/10,27.45,1:45:31,105.52,15.61,35.66,6331,7July,,,,
Steel,20/07/10,26.91,1:45:36,105.60,15.28,34.71,6336,7July,,,,
Steel,21/07/10,26.88,1:44:39,104.65,15.41,35.02,6279,7July,,,,
Carbon,22/07/10,27.52,1:48:11,108.18,15.26,35.66,6491,7July,,,,
