Make,Model,Type,LowPrice,HighPrice,Drive,CityMPG,HwyMPG,FuelCap,Length,Width,Wheelbase,Height,UTurn,Weight,Acc030,Acc060,QtrMile,PageNum,Size
Chevrolet,Spark,Hatchback,12.270,25.560,FWD,30,39,9.0,145,63,94,61,34,2345,4.4,12.8,19.4,123,Small
Hyundai,Accent,Hatchback,14.745,17.495,FWD,28,37,11.4,172,67,101,57,37,2550,3.7,10.3,17.8,148,Small
Kia,Rio,Sedan,13.990,18.290,FWD,28,36,11.3,172,68,101,57,37,2575,3.5,9.5,17.3,163,Small
Mitsubishi,Mirage,Hatchback,12.995,15.395,FWD,37,44,9.2,149,66,97,59,32,2085,4.4,12.1,19.0,188,Small
Nissan,Versa Note,Hatchback,14.180,17.960,FWD,31,40,10.9,164,67,102,61,37,2470,4.0,10.9,18.2,196,Small
Dodge,Dart,Sedan,16.495,23.795,FWD,23,35,14.2,184,72,106,58,38,3260,3.4,9.3,17.2,128,Small
Chevrolet ,Cruze LS,Sedan,16.170,25.660,FWD,24,36,15.6,181,71,106,58,38,3140,3.7,9.8,17.6,119,Small
Fiat,500L,Hatchback,19.345,24.695,FWD,24,33,13.1,167,70,103,66,37,3330,3.9,9.5,17.4,131,Small
Ford,Focus,Hatchback,17.170,29.170,FWD,28,38,12.4,179,72,104,58,39,2990,3.4,9.2,17.1,136,Small
Toyoto,Yaris,Hatchback,14.845,17.629,FWD,30,35,11.1,154,67,99,59,34,2385,3.9,10.8,18.3,216,Small
Mazda,2 Touring,Hatchback,14.720,17.050,FWD,27,33,11.3,156,68,98,58,35,2390,3.9,11.1,18.5,179,Small
Subaru,Impreza,Sedan,18.195,23.295,AWD,27,36,14.5,180,69,104,58,38,3015,3.7,9.2,17.2,205,Small
Volkswagon,Jetta,Sedan,16.215,31.120,FWD,25,36,14.5,182,70,104,57,37,3130,3.3,8.5,16.5,219,Small
Ford ,Fiesta,Hatchback,14.455,21.435,FWD,27,37,12.4,174,68,98,58,36,2665,4.3,10.9,18.4,135,Small
Nissan,Sentra,Sedan,16.480,20.670,FWD,30,39,13.3,182,69,106,59,37,2835,3.5,9.7,17.5,195,Small
Hyundai,Elantra,Sedan,17.259,22.600,FWD,28,38,12.8,179,70,106,56,36,2770,3.4,9.5,17.2,149,Small
Audi,TT,Sedan,40.350,51.700,FWD,23,31,14.5,165,73,97,54,36,3305,2.5,6.7,15.2,105,Small
Kia,Forte,Hatchback,15.890,21.890,FWD,25,36,13.2,180,70,106,57,38,2815,3.6,10.1,17.6,162,Small
BMW,3 Series GT,Sedan,32.950,62.000,AWD,24,36,15.8,183,71,111,56,38,3485,2.6,6.3,14.9,106,Small
Mazda,3 i Touring,Sedan,16.945,26.595,FWD,30,41,13.2,180,71,106,57,38,2875,3.2,8.3,16.6,179,Small
Volkswagon,Golf,Hatchback,17.995,39.090,FWD,25,36,13.2,168,71,104,57,37,3090,3.2,8.7,16.7,219,Small
Scion,tC,Sedan,19.210,23.190,FWD,23,31,14.5,177,71,106,56,40,3155,3.2,8.6,16.7,203,Small
Chevrolet,Malibu,Sedan,22.465,30.480,FWD,22,34,18.5,192,73,108,58,38,3455,3.2,8.1,16.4,120,Midsized
Chrysler,200,Sedan,21.995,30.825,FWD,19,32,15.8,192,74,108,55,41,3650,3.1,6.9,15.4,126,Midsized
Honda ,Accord,Sedan,22.105,35.055,FWD,21,34,17.2,191,73,109,58,40,3555,2.7,6.3,14.7,143,Midsized
Nissan,Altima,Sedan,22.300,32.350,FWD,27,38,18.0,192,72,109,58,40,3130,3.3,8.2,16.4,190,Midsized
Subaru ,Legacy,Sedan,21.695,29.595,AWD,26,36,18.5,189,72,108,59,39,3470,4.1,10.2,17.8,206,Midsized
Toyoto,Camry,Sedan,22.970,31.370,FWD,26,35,17.0,189,72,109,58,38,3155,3.3,8.6,16.7,210,Midsized
Hyundai,Sonata,Sedan,21.150,33.525,FWD,25,37,18.5,191,73,110,58,37,3315,3.7,9.2,17.2,152,Midsized
Kia,Optima,Sedan,21.690,35.500,FWD,24,34,18.5,191,72,110,57,38,3260,3.4,8.6,16.8,163,Midsized
Ford,Fusion,Sedan,22.500,36.630,FWD,23,36,16.5,192,73,112,58,38,3505,3.2,9.2,17.0,138,Midsized
Volkswagon,Passat,Sedan,21.340,35.995,FWD,24,34,18.5,192,72,110,59,38,3320,3.1,8.6,16.6,220,Midsized
Audi,A3,Sedan,29.900,41.100,FWD,23,33,13.2,175,70,104,56,37,3135,3.2,8.3,16.4,100,Small
Buick,Regal,Sedan,29.990,39.810,FWD,21,30,18.6,190,73,108,58,39,3710,2.9,7.4,15.9,114,Midsized
Cadillac,ATS,Sedan,33.215,51.435,AWD,21,31,16.5,183,71,109,56,37,3420,2.5,6.5,14.9,115,Small
Infiniti,Q50,Sedan,37.150,48.600,AWD,19,27,20.0,188,72,112,57,42,3835,2.3,5.6,14.1,153,Small
Mercedes,C300,Sedan,38.400,71.900,AWD,24,31,17.4,185,71,112,57,38,3670,2.7,6.8,15.2,181,Small
Volvo,S60,Sedan,33.950,47.200,AWD,25,37,17.8,182,73,109,58,38,3610,3.1,7.9,16.2,221,Small
Jaguar,XF,Sedan,50.175,99.000,AWD,16,26,19.4,195,72,115,58,40,4335,2.4,5.7,14.3,157,Midsized
Maserati,Ghibli,Sedan,69.800,77.900,AWD,16,25,21.0,196,77,118,58,40,4625,2.5,5.4,14.0,177,Midsized
Lexus,GS,Sedan,48.600,61.330,AWD,19,28,17.5,191,72,112,57,38,3845,2.6,6.2,14.7,170,Midsized
Audi,A6,Sedan,46.200,70.900,AWD,19,28,19.8,194,74,115,58,41,4075,2.1,5.7,14.2,102,Midsized
BMW,5 series,Sedan,49.950,93.600,AWD,20,29,18.5,193,73,117,57,40,4035,2.5,6.1,14.5,107,Midsized
Cadillac,CTS,Sedan,45.345,69.900,AWD,18,26,19.0,196,72,115,57,38,3915,2.7,6.8,15.2,115,Midsized
Acura,RLX,Sedan,48.450,60.450,AWD,20,31,18.5,196,74,112,58,40,3930,2.7,6.5,15.0,99,Midsized
Chevrolet,Impala,Sedan,27.060,40.660,FWD,18,28,18.5,201,73,112,59,40,3855,2.9,6.9,15.5,120,Large
Buick,LaCrosse,Sedan,31.065,40.500,FWD,17,27,18.6,197,73,112,59,40,4160,2.9,7.2,15.7,113,Large
Chrysler,300,Sedan,31.695,44.895,FWD,19,31,18.5,199,75,120,58,40,4095,3.2,7.4,15.8,126,Large
Dodge ,Charger,Sedan,27.995,62.295,FWD,19,31,19.0,198,75,120,58,40,4015,3.2,7.4,15.8,128,Large
Ford,Taurus,Sedan,27.055,40.220,AWD,19,29,19.0,203,76,113,61,42,4090,2.9,7.2,15.6,139,Large
Audi,A8,Sedan,77.400,137.900,AWD,17,27,23.8,207,77,123,58,43,4420,2.2,5.5,14.0,103,Large
Hyundai,Equus,Sedan,61.500,68.750,AWD,16,24,20.3,203,74,120,59,41,4570,2.5,6.5,14.9,149,Large
Lexus,LS,Sedan,72.500,120.440,AWD,16,24,22.1,205,74,122,58,40,4515,2.6,6.2,14.6,171,Large
Jaguar,XJ,Sedan,74.200,119.000,AWD,15,22,21.1,207,75,124,57,42,4200,2.3,5.5,14.0,158,Large
BMW,7 Series,Sedan,74.000,141.200,AWD,14,22,21.7,205,75,126,58,42,4600,2.3,5.7,14.1,108,Large
Hyundai,Azera,Sedan,34.000,38.200,FWD,20,28,18.5,194,73,112,58,39,3795,3.0,7.2,15.7,148,Midsized
Kia,Cadenza,Sedan,34.000,43.800,FWD,19,28,18.5,196,73,112,58,38,3765,3.0,7.2,15.7,161,Midsized
Audi,A5,Sporty,40.000,79.200,FWD,20,26,17.7,182,73,108,54,39,4050,2.9,8.0,16.2,101,Small
BMW,Z4,Sporty,48.950,65.800,RWD,22,34,14.5,167,71,96,51,36,3240,2.4,6.1,14.7,111,Small
Cadillac,CTS,Sporty,45.345,69.900,RWD,18,26,19.0,196,72,115,57,38,3915,2.7,6.8,15.2,115,Midsized
Chevrolet,Camaro,Sporty,23.705,72.305,RWD,16,24,18.8,190,76,112,54,40,3900,2.3,5.1,13.6,117,Midsized
Chevrolet,Corvette,Sporty,55.000,83.000,RWD,17,29,18.0,177,74,107,49,38,3470,2.0,4.3,12.6,118,Small
Dodge ,Challenger,Sporty,26.995,58.295,RWD,15,24,18.5,198,76,116,57,39,4195,2.5,6.5,14.9,127,Large
Hyundai,Genesis,Sporty,26.750,34.600,RWD,17,26,17.2,182,73,111,55,40,3460,2.5,6.2,14.6,150,Small
Porche,911,Sporty,84.300,194.600,RWD,19,27,16.9,177,71,96,51,37,3235,1.6,4.1,12.4,198,Small
Porche,Boxster,Sporty,51.400,73.500,RWD,20,30,16.9,172,71,97,51,36,3035,2.4,6.1,14.5,198,Small
Mazda ,Miata-MX5,Sporty,23.970,32.655,RWD,21,28,12.7,157,68,92,49,34,2610,2.4,7.0,15.4,178,Small
Mercedes,SLK,Sporty,43.950,70.900,RWD,22,32,18.5,163,72,96,51,35,3225,2.3,7.0,15.2,185,Small
Audi,Allroad,Wagon,42.400,42.400,AWD,20,27,16.1,186,71,110,58,39,3875,3.2,8.1,16.3,103,Small
Honda ,Crosstour,Wagon,27.530,37.390,AWD,19,28,18.5,197,75,110,66,43,4075,2.9,7.0,15.4,146,Large
Kia,Soul,Wagon,15.190,35.700,FWD,23,31,14.3,163,71,101,63,36,3055,3.3,8.8,16.9,165,Small
Subaru,Outback,Wagon,24.895,32.995,AWD,25,33,18.5,190,72,108,66,39,3640,4.2,10.5,18.1,207,Midsized
Volvo,XC70,Wagon,36.050,47.150,FWD,15,22,18.5,191,74,111,63,40,4170,3.1,8.5,16.5,223,Midsized
Ford,Transit Connect,Wagon,22.330,40.965,FWD,20,28,15.8,190,72,121,72,41,3580,3.9,10.9,18.2,139,Midsized
Mazda,5,Wagon,21.240,24.770,FWD,21,28,15.9,181,69,108,64,38,3495,3.4,9.6,17.5,180,Small
Scion,xB,Wagon,17.120,18.070,FWD,22,28,14.0,167,69,102,64,37,3120,3.5,9.4,17.3,203,Small
Toyoto,Venza,Wagon,29.065,39.940,FWD,18,25,17.7,189,75,109,63,42,4125,2.6,6.9,15.3,216,Midsized
Buick ,Encore,SUV,24.065,30.935,FWD,23,30,14.0,168,70,101,65,38,3355,3.8,11.0,18.3,113,Small
Ford,Escape,SUV,23.450,31.485,FWD,22,30,15.1,178,72,106,66,40,3675,3.4,9.9,17.5,133,Small
BMW,X1,SUV,31.200,39.100,RWD,22,33,16.6,175,71,104,61,40,3780,2.7,6.8,15.3,109,Small
Jeep,Compass,SUV,18.995,28.795,FWD,21,26,13.6,173,69,104,65,38,3590,4.1,10.3,17.9,159,Small
Land Rover,Range Evoque,SUV,41.100,60.000,AWD,18,28,18.1,172,77,105,64,38,3940,2.9,7.2,15.7,168,Small
Lincoln,MKC,SUV,33.100,48.700,FWD,18,26,15.5,179,73,106,65,39,4070,2.8,7.8,16.1,174,Small
Nissan,Rogue,SUV,22.790,29.630,FWD,25,32,14.5,182,72,107,66,38,3590,3.7,9.5,17.3,194,Small
Subaru,Forester,SUV,22.195,33.095,AWD,24,32,15.9,181,71,104,66,37,3370,3.5,8.7,16.8,205,Small
Ford,Explorer,SUV,30.700,43.100,FWD,17,23,18.6,197,79,113,70,40,4780,3.1,7.9,16.2,134,Large
Honda ,Pilot,SUV,29.870,41.620,FWD,17,24,21.0,191,79,109,73,41,4550,3.7,9.0,17.2,147,Midsized
Toyoto,4Runner,SUV,33.210,43.620,RWD,17,22,23.0,190,76,110,72,45,4665,3.0,7.7,16.1,209,Midsized
Infiniti,QX70,SUV,45.850,47.300,RWD,16,21,23.8,191,76,114,66,40,4225,2.7,6.8,15.2,156,Midsized
Jeep,Grand Cherokee,SUV,29.995,64.895,RWD,21,28,24.6,190,77,115,68,39,5365,3.1,8.6,16.7,159,Midsized
Chevrolet,Suburban,SUV,49.000,66.785,RWD,15,22,26.0,224,81,130,74,45,5945,2.9,7.9,16.2,123,Large
Dodge,Durango,SUV,30.495,43.595,RWD,17,24,25.0,200,76,120,71,41,5105,3.1,8.3,16.4,129,Large
Buick,Enclave,SUV,39.050,49.305,FWD,16,22,22.0,202,79,119,72,43,5100,3.0,7.9,16.2,112,Large
Lincoln,Navigator,SUV,61.920,67.860,RWD,15,20,28.0,207,80,119,78,41,6140,2.6,7.0,15.6,176,Large
Chevrolet,Traverse,SUV,30.995,43.935,FWD,16,23,22.0,204,78,119,70,42,4975,3.0,7.9,16.2,124,Large
Chrysler,Town&Country,7Pass,29.995,40.295,FWD,17,25,20.0,203,79,121,68,42,4685,3.3,8.1,16.5,127,Large
Dodge ,Grand Caravan,7Pass,21.795,30.995,FWD,17,25,20.0,203,79,121,68,42,4685,3.3,8.1,16.5,129,Large
Honda ,Odyssey,7Pass,28.975,44.600,FWD,19,28,21.0,203,79,118,68,40,4530,3.3,8.4,16.6,147,Large
Nissan,Quest,7Pass,26.530,43.180,FWD,19,24,20.0,201,78,118,72,39,4570,3.7,8.4,16.5,194,Large
Toyoto,Sienna,7Pass,28.600,46.150,FWD,18,24,20.9,200,78,119,69,40,4445,3.5,8.8,16.8,214,Large
Cadillac,Escalade,7Pass,72.970,94.875,RWD,15,21,26.0,204,81,116,74,41,5820,2.2,6.1,14.5,116,Large
Chevrolet,Tahoe,7Pass,46.300,64.085,RWD,16,22,26.0,204,81,116,74,41,5635,2.8,7.7,15.9,124,Large
Ford,Expedition,7Pass,44.585,65.060,RWD,14,20,33.5,221,79,131,79,45,6265,2.7,7.2,15.7,133,Large
GMC ,Acadia,7Pass,33.975,49.690,FWD,16,23,33.0,201,78,119,70,42,4975,3.0,7.9,16.2,140,Large
Toyoto,Highlander,7Pass,29.665,50.240,FWD,18,24,19.2,191,76,110,68,40,4490,2.9,7.5,15.9,211,Midsized
Toyoto,Sequioa,7Pass,44.395,64.320,RWD,12,18,26.4,205,80,122,75,42,6025,2.7,7.1,15.6,214,Large
Nissan,Pathfinder,7Pass,29.510,43.100,FWD,19,25,19.5,192,73,112,72,40,4505,3.2,7.7,16.0,193,Midsized
Acura,MDX,7Pass,42.865,57.080,FWD,18,27,19.5,194,77,111,68,40,4200,3.0,7.2,15.6,98,Midsized
Hyundai,Santa Fe,7Pass,30.150,36.000,FWD,18,24,19.0,193,74,110,67,39,4210,3.0,7.6,16.1,151,Midsized
GMC ,Yukon,7Pass,47.740,67.520,RWD,16,22,26.0,204,81,116,74,41,5635,2.8,7.7,15.9,142,Large
