DATE,DAUTONSA
1967-01-01,564.1
1967-02-01,509.1
1967-03-01,670.4
1967-04-01,710.2
1967-05-01,744.8
1967-06-01,780.2
1967-07-01,627.2
1967-08-01,517.2
1967-09-01,547.3
1967-10-01,664.8
1967-11-01,617.8
1967-12-01,614.7
1968-01-01,630.2
1968-02-01,623.7
1968-03-01,766.8
1968-04-01,728.8
1968-05-01,811.0
1968-06-01,781.0
1968-07-01,736.6
1968-08-01,634.5
1968-09-01,563.3
1968-10-01,884.8
1968-11-01,785.4
1968-12-01,678.7
1969-01-01,645.4
1969-02-01,662.1
1969-03-01,722.3
1969-04-01,753.8
1969-05-01,794.7
1969-06-01,798.1
1969-07-01,662.3
1969-08-01,555.0
1969-09-01,709.4
1969-10-01,816.7
1969-11-01,705.9
1969-12-01,638.6
1970-01-01,539.2
1970-02-01,598.1
1970-03-01,646.0
1970-04-01,691.3
1970-05-01,698.6
1970-06-01,800.2
1970-07-01,640.9
1970-08-01,526.1
1970-09-01,488.5
1970-10-01,629.5
1970-11-01,435.5
1970-12-01,425.5
1971-01-01,584.6
1971-02-01,635.0
1971-03-01,753.9
1971-04-01,734.8
1971-05-01,745.7
1971-06-01,795.3
1971-07-01,666.2
1971-08-01,564.8
1971-09-01,755.9
1971-10-01,932.0
1971-11-01,846.2
1971-12-01,647.4
1972-01-01,605.0
1972-02-01,692.7
1972-03-01,765.7
1972-04-01,768.3
1972-05-01,880.2
1972-06-01,869.3
1972-07-01,762.4
1972-08-01,650.3
1972-09-01,735.1
1972-10-01,925.5
1972-11-01,884.4
1972-12-01,713.7
1973-01-01,729.0
1973-02-01,767.4
1973-03-01,954.7
1973-04-01,854.4
1973-05-01,962.5
1973-06-01,900.7
1973-07-01,800.9
1973-08-01,679.2
1973-09-01,748.8
1973-10-01,850.5
1973-11-01,772.2
1973-12-01,568.3
1974-01-01,545.4
1974-02-01,561.5
1974-03-01,645.3
1974-04-01,693.5
1974-05-01,756.6
1974-06-01,686.8
1974-07-01,681.1
1974-08-01,660.0
1974-09-01,586.1
1974-10-01,621.8
1974-11-01,500.2
1974-12-01,423.5
1975-01-01,457.6
1975-02-01,530.9
1975-03-01,517.0
1975-04-01,508.9
1975-05-01,592.0
1975-06-01,608.4
1975-07-01,626.7
1975-08-01,525.3
1975-09-01,581.8
1975-10-01,764.6
1975-11-01,646.5
1975-12-01,591.2
1976-01-01,580.1
1976-02-01,640.9
1976-03-01,804.1
1976-04-01,776.8
1976-05-01,781.9
1976-06-01,816.9
1976-07-01,725.9
1976-08-01,606.8
1976-09-01,637.0
1976-10-01,722.7
1976-11-01,713.2
1976-12-01,685.7
1977-01-01,592.8
1977-02-01,654.7
1977-03-01,880.4
1977-04-01,809.8
1977-05-01,821.3
1977-06-01,906.6
1977-07-01,720.0
1977-08-01,715.2
1977-09-01,646.5
1977-10-01,859.1
1977-11-01,727.4
1977-12-01,637.4
1978-01-01,538.1
1978-02-01,619.6
1978-03-01,869.2
1978-04-01,848.8
1978-05-01,947.1
1978-06-01,931.3
1978-07-01,745.9
1978-08-01,740.1
1978-09-01,653.7
1978-10-01,874.1
