DateCategoryTitle,Date,Category,Title,URL
"Jul 28, 2026Frontier Red TeamDiscovering cryptographic weaknesses with Claude","Jul 28, 2026",Frontier Red Team,Discovering cryptographic weaknesses with Claude,https://www.anthropic.com/research/discovering-cryptographic-weaknesses
"Jul 24, 2026Frontier Red TeamProject Pilot: Can AI control a drone?","Jul 24, 2026",Frontier Red Team,Project Pilot: Can AI control a drone?,https://www.anthropic.com/research/project-pilot
"Jul 14, 2026Economic ResearchHow Canada uses Claude: Findings from the Anthropic Economic Index","Jul 14, 2026",Economic Research,How Canada uses Claude: Findings from the Anthropic Economic Index,https://www.anthropic.com/research/how-canada-uses-claude
"Jul 13, 2026Societal ImpactsClaude’s values across models and languages","Jul 13, 2026",Societal Impacts,Claude’s values across models and languages,https://www.anthropic.com/research/claude-values-models-languages
"Jul 9, 2026Frontier Red TeamClaude plays robotics","Jul 9, 2026",Frontier Red Team,Claude plays robotics,https://www.anthropic.com/research/claude-plays-robotics
"Jul 8, 2026AlignmentAn off switch for dual-use knowledge in AI models","Jul 8, 2026",Alignment,An off switch for dual-use knowledge in AI models,https://www.anthropic.com/research/off-switch-dual-use
"Jul 6, 2026InterpretabilityA global workspace in language models","Jul 6, 2026",Interpretability,A global workspace in language models,https://www.anthropic.com/research/global-workspace
"Jun 26, 2026Economic ResearchAnthropic Economic Index report: Cadences","Jun 26, 2026",Economic Research,Anthropic Economic Index report: Cadences,https://www.anthropic.com/research/economic-index-june-2026-report
"Jun 18, 2026Frontier Red TeamProject Fetch: Phase two","Jun 18, 2026",Frontier Red Team,Project Fetch: Phase two,https://www.anthropic.com/research/project-fetch-phase-two
"Jun 16, 2026Economic ResearchAgentic coding and persistent returns to expertise","Jun 16, 2026",Economic Research,Agentic coding and persistent returns to expertise,https://www.anthropic.com/research/claude-code-expertise
"Jun 8, 2026SciencePaving the way for agents in biology","Jun 8, 2026",Science,Paving the way for agents in biology,https://www.anthropic.com/research/agents-in-biology
"Jun 8, 2026Frontier Red TeamMeasuring LLMs’ impact on N-day exploits","Jun 8, 2026",Frontier Red Team,Measuring LLMs’ impact on N-day exploits,https://www.anthropic.com/research/n-days
"Jun 5, 2026ScienceMaking Claude a chemist","Jun 5, 2026",Science,Making Claude a chemist,https://www.anthropic.com/research/making-claude-a-chemist
"Jun 3, 2026Frontier Red TeamMapping AI-enabled cyber threats: Insights from the LLM ATT&CK Navigator","Jun 3, 2026",Frontier Red Team,Mapping AI-enabled cyber threats: Insights from the LLM ATT&CK Navigator,https://www.anthropic.com/research/attack-navigator
