Airline,Difference
Delta,-9
Delta,0
Delta,-1
Delta,-16
Delta,-26
Delta,-19
Delta,-17
Delta,-7
Delta,-19
Delta,14
Delta,-32
Delta,-3
Delta,45
Delta,-11
Delta,-3
Delta,-5
Delta,0
Delta,-13
Delta,-8
Delta,-16
Delta,-17
Delta,9
Delta,-21
Delta,2
Delta,-21
Delta,-11
Delta,-16
Delta,-25
Delta,-11
Delta,37
Delta,-12
Delta,-17
Delta,0
Delta,-18
Delta,12
Delta,-14
Delta,-22
Delta,22
Delta,-10
Delta,-12
Delta,-12
Delta,-9
Delta,14
Delta,-9
Delta,22
Delta,-22
Delta,-11
Delta,27
Delta,8
Delta,22
Delta,-5
Delta,-1
Delta,-21
Delta,26
Delta,-15
Delta,-1
Delta,-4
Delta,-3
Delta,-6
Delta,-10
Delta,-6
Delta,-14
Delta,4
Delta,3
Delta,-19
Delta,1
Delta,27
Delta,-7
Delta,6
Delta,-15
Delta,10
Delta,12
Delta,10
Delta,-11
Delta,-6
Delta,-22
Delta,-33
Delta,-15
Delta,-18
Delta,-26
Delta,0
Delta,11
Delta,-9
Delta,-17
Delta,7
Delta,-13
Delta,30
Delta,-27
Delta,-29
Delta,91
Delta,-7
Delta,8
Delta,-10
Delta,-2
Delta,18
Delta,-16
Delta,-16
Delta,-22
Delta,1
Delta,-3
Delta,-10
Delta,-9
Delta,-2
Delta,-13
Delta,-7
Delta,17
Delta,7
Delta,20
Delta,16
Delta,0
Delta,-12
Delta,-34
Delta,-1
Delta,-3
Delta,1
Delta,-4
Delta,2
Delta,-6
Delta,-4
Delta,-19
Delta,-9
Delta,-8
Delta,-23
Delta,-19
Delta,-4
Delta,1
Delta,2
Delta,23
Delta,2
Delta,-7
Delta,3
Delta,-16
Delta,2
Delta,-4
Delta,4
Delta,-11
Delta,-16
Delta,91
Delta,78
Delta,-3
Delta,4
Delta,-13
Delta,51
Delta,-15
Delta,5
Delta,-12
Delta,-24
Delta,-19
Delta,2
Delta,-33
Delta,3
Delta,-6
Delta,-24
Delta,-10
Delta,-17
Delta,-9
Delta,-5
Delta,-24
Delta,-28
Delta,-11
Delta,-10
Delta,-12
Delta,-7
Delta,-8
Delta,-23
Delta,-13
Delta,-6
Delta,9
Delta,-1
Delta,-12
Delta,17
Delta,1
Delta,34
Delta,-4
Delta,-31
Delta,-5
Delta,-17
Delta,-33
Delta,-33
Delta,17
Delta,6
Delta,24
Delta,13
Delta,33
Delta,-2
Delta,-11
Delta,-18
Delta,-7
Delta,-9
Delta,-18
Delta,19
Delta,13
Delta,-16
Delta,-2
