Random,RND1,RND2,RND3,RND4,SSN8,SSN9
4202,4,2,0,2,0,3
1250,1,2,5,0,5,6
1234,1,2,3,4,0,2
1234,1,2,3,4,0,1
1041,1,0,4,1,0,0
5129,5,1,2,9,7,6
6969,6,9,6,9,0,8
4216,4,2,1,6,9,8
6879,6,8,7,9,4,7
6066,6,0,6,6,8,3
1876,1,8,7,6,6,9
4894,4,8,9,4,1,3
7777,7,7,7,7,1,0
2193,2,1,9,3,5,2
3647,3,6,4,7,5,4
8880,8,8,8,0,4,7
4210,4,2,1,0,5,0
3203,3,2,0,3,8,4
5910,5,9,1,0,1,0
5970,5,9,7,0,9,6
6932,6,9,3,2,7,9
1004,1,0,0,4,6,7
4672,4,6,7,2,8,6
1324,1,3,2,4,7,0
9876,9,8,7,6,1,5
4200,4,2,0,0,4,6
1425,1,4,2,5,7,4
5432,5,4,3,2,7,3
1313,1,3,1,3,9,4
2710,2,7,1,0,7,5
2222,2,2,2,2,1,5
5775,5,7,7,5,9,2
2103,2,1,0,3,9,4
1515,1,5,1,5,2,9
7589,7,5,8,9,9,7
2121,2,1,2,1,1,0
8888,8,8,8,8,8,0
4682,4,6,8,2,2,3
1684,1,6,8,4,1,2
7254,7,2,5,4,9,8
6256,6,2,5,6,3,0
4410,4,4,1,0,6,2
7485,7,4,8,5,6,2
6110,6,1,1,0,4,2
1551,1,5,5,1,5,7
3406,3,4,0,6,0,6
9876,9,8,7,6,6,0
2837,2,8,3,7,4,1
8448,8,4,4,8,7,3
3704,3,7,0,4,2,2
5555,5,5,5,5,4,4
2302,2,3,0,2,8,1
1582,1,5,8,2,0,5
2224,2,2,2,4,0,6
4228,4,2,2,8,2,8
1436,1,4,3,6,6,0
8493,8,4,9,3,8,7
1313,1,3,1,3,2,9
2476,2,4,7,6,2,7
1324,1,3,2,4,9,7
1821,1,8,2,1,4,9
5623,5,6,2,3,5,7
2222,2,2,2,2,3,6
3189,3,1,8,9,4,0
1856,1,8,5,6,9,4
5127,5,1,2,7,8,8
2009,2,0,0,9,3,7
3519,3,5,1,9,3,5
3764,3,7,6,4,3,0
3637,3,6,3,7,3,7
2111,2,1,1,1,6,1
8936,8,9,3,6,4,0
4456,4,4,5,6,3,2
1010,1,0,1,0,9,6
2216,2,2,1,6,5,2
1632,1,6,3,2,9,2
1551,1,5,5,1,5,7
1207,1,2,0,7,0,4
7732,7,7,3,2,9,3
1223,1,2,2,3,4,2
6518,6,5,1,8,1,2
7357,7,3,5,7,0,8
2812,2,8,1,2,2,8
1111,1,1,1,1,0,7
9258,9,2,5,8,2,9
1596,1,5,9,6,9,9
7548,7,5,4,8,3,5
3468,3,4,6,8,4,7
8684,8,6,8,4,4,7
5738,5,7,3,8,5,6
1325,1,3,2,5,5,9
4379,4,3,7,9,6,7
1317,1,3,1,7,7,8
2146,2,1,4,6,5,1
1227,1,2,2,7,1,8
5927,5,9,2,7,6,8
9647,9,6,4,7,1,8
1256,1,2,5,6,8,4
1111,1,1,1,1,2,0
4658,4,6,5,8,7,1
8888,8,8,8,8,1,3
4856,4,8,5,6,2,6
8426,8,4,2,6,6,1
9375,9,3,7,5,2,5
7777,7,7,7,7,4,9
1219,1,2,1,9,5,3
1060,1,0,6,0,3,2
8274,8,2,7,4,9,7
1921,1,9,2,1,7,5
2356,2,3,5,6,8,8
5632,5,6,3,2,1,3
1234,1,2,3,4,1,8
1111,1,1,1,1,3,9
5944,5,9,4,4,8,7
8134,8,1,3,4,6,5
3146,3,1,4,6,1,2
3421,3,4,2,1,8,7
7222,7,2,2,2,3,9
3629,3,6,2,9,2,3
5355,5,3,5,5,0,6
2345,2,3,4,5,7,0
6721,6,7,2,1,9,7
1234,1,2,3,4,8,3
1111,1,1,1,1,3,6
6969,6,9,6,9,2,2
2574,2,5,7,4,9,4
6213,6,2,1,3,9,3
7836,7,8,3,6,4,7
7916,7,9,1,6,2,7
1376,1,3,7,6,6,1
3863,3,8,6,3,8,1
2387,2,3,8,7,7,2
2433,2,4,3,3,5,6
4444,4,4,4,4,8,7
7337,7,3,3,7,6,8
1783,1,7,8,3,2,8
8964,8,9,6,4,7,0
3622,3,6,2,2,9,7
3876,3,8,7,6,5,5
1324,1,3,2,4,6,1
3126,3,1,2,6,7,4
7892,7,8,9,2,8,7
2814,2,8,1,4,5,1
7136,7,1,3,6,6,3
2143,2,1,4,3,3,7
1111,1,1,1,1,6,1
1605,1,6,0,5,2,6
1739,1,7,3,9,6,7
2580,2,5,8,0,7,3
1326,1,3,2,6,0,4
