"","date","name","speech"
"1","January 24, 2009","Barack Obama","
    We begin this year and this administration in the midst of an unprecedented crisis that calls for unprecedented action. Just this week we saw more people file for unemployment than at any time in the last 26 years. And experts agree that if nothing is done, the unemployment rate could reach double digits; our economy could fall a trillion dollars short of its full capacity, which translates into more than $12,000 in lost income for a family of four; and we could lose a generation of potential as more young Americans are forced to forego college dreams or the chance to train for the jobs of the future.
In short, if we do not act boldly and swiftly, a bad situation could become dramatically worse. That is why I've proposed an American recovery and reinvestment plan, to immediately jump-start job creation, as well as long-term economic growth.
I'm pleased to say that both parties in Congress are already hard at work on this plan, and I hope to sign it into law in less than a month. It's a plan that will save or create 3 to 4 million jobs over the next few years, and one that recognizes both the paradox and the promise of this moment: the fact that there are millions of Americans trying to find work, even as all around the country there's so much work to be done.
That's why this is not just a short-term program to boost employment, it's one that will invest in our most important priorities, like energy and education, health care and a new infrastructure that are necessary to keep us strong and competitive in the 21st century.
Today I'd like to talk specifically about the progress we expect to make in each of these areas. To accelerate the creation of a clean energy economy, we will double our capacity to generate alternative sources of energy like wind, solar, and biofuels over the next 3 years. We'll begin to build a new electricity grid that lay down more than 3,000 miles of transmission lines to convey this new energy from coast to coast.
We'll save taxpayers $2 billion a year by making 75 percent of Federal buildings more energy efficient and save the average working family $350 on their energy bills by weatherizing 2.5 million homes.
To lower health care costs, cut medical errors, and improve care, we'll computerize the Nation's health records in 5 years, saving billions of dollars in health care costs and countless lives. And we'll protect health insurance for more than 8 million Americans who are in danger of losing their coverage during this economic downturn.
To ensure our children can compete and succeed in this new economy, we'll renovate and modernize 10,000 schools, building state-of-the-art classrooms, libraries, and labs, to improve learning for over 5 million students. We'll invest more in Pell grants to make college affordable for 7 million more students, provide a $2,500 college tax credit to 4 million students, and triple the number of fellowships in science to help spur the next generation of innovation.
Finally, we will rebuild and retrofit America to meet the demands of the 21st century. That means repairing and modernizing thousands of miles of America's roadways and providing new mass transit options for millions of Americans. It means protecting America by securing 90 major ports and creating a better communications network for local law enforcement and public safety officials in the event of an emergency. And it means expanding broadband access to millions of Americans, so business can compete on a level playing field, wherever they're located.
I know that some are skeptical about the size and scale of this recovery plan. I understand that skepticism, which is why this recovery plan must and will include unprecedented measures that will allow the American people to hold my administration accountable for these results. We won't just throw money at our problems, we'll invest in what works. Instead of politicians doling out money behind a veil of secrecy, decisions about where we invest will be made public and informed by independent experts whenever possible.
We'll launch an unprecedented effort to root out waste, inefficiency, and unnecessary spending in our Government. And every American will be able to see how and where we spend taxpayer dollars by going to a new website called recovery.gov.
No one policy or program will solve the challenges we face right now, nor will this crisis recede in a short period of time. But if we act now and act boldly, if we start rewarding hard work and responsibility once more, if we act as citizens and not partisans and begin again the work of remaking America, then I have faith that we will emerge from this trying time even stronger and more prosperous than we were before.
Thanks for listening.
  "
"2","February 21, 2009","Barack Obama","
    Earlier this week, I signed into law the American Recovery and Reinvestment Act, the most sweeping economic recovery plan in history. Because of this plan, 3Â½ million Americans will now go to work doing the work that America needs done.
I am grateful to Congress, Governors, and mayors across the country and to all of you whose support made this critical step possible.
Because of what we did together, there will now be shovels in the ground, cranes in the air, and workers rebuilding our crumbling roads and bridges and repairing our faulty levees and dams. Because of what we did, companies large and small that produce renewable energy can now apply for loan guarantees and tax credits and find ways to grow, instead of laying people off, and families can lower their energy bills by weatherizing their homes.
Because of what we did, our children can now graduate from 21st century schools, and millions more can do what was unaffordable just last week and get their college degree. Because of what we did, lives will be saved and health costs will be cut with new computerized medical records. Because of what we did, there will now be police on the beat, firefighters on the job, and teachers preparing lesson plans who thought they would not be able to continue pursuing their critical missions. And ensure that all of this is done with an unprecedented level of transparency and accountability, I have assigned a team of managers to make sure that precious tax dollars are invested wisely and well.
Because of what we did, 95 percent of all working families will get a tax cut, in keeping with a promise I made on the campaign. And I'm pleased to announce that this morning the Treasury Department began directing employers to reduce the amount of taxes withheld from paychecks, meaning that by April 1st, a typical family will begin taking home at least $65 more every month. Never before in our history has a tax cut taken effect faster or gone to so many hard-working Americans.
But as important as it was that I was able to sign this plan into law, it is only a first step on the road to economic recovery. And we can't fail to complete the journey. That will require stemming the spread of foreclosures and falling home values and doing all we can to help responsible homeowners stay in their homes, which is exactly what the housing plan I announced last week will help us do.
It will require stabilizing and repairing our banking system and getting credit flowing again to families and businesses. It will require reforming the broken regulatory system that made this crisis possible and recognizing that it's only by setting and enforcing 21st century rules of the road that we can build a thriving economy.
And it will require doing all we can to get exploding deficits under control as our economy begins to recover. That work begins on Monday, when I will convene a fiscal summit of independent experts and unions, advocacy groups and Members of Congress to discuss how we can cut the trillion dollar deficit that we've inherited. On Tuesday, I will speak to the Nation about our urgent national priorities, and on Thursday, I'll release a budget that's sober in its assessments, honest in its accounting, and lays out in detail my strategy for investing in what we need, cutting what we don't, and restoring fiscal discipline.
No single piece of this broad economic recovery can, by itself, meet the demands that have been placed on us. We can't help people find work or pay their bills unless we unlock credit for families and businesses. We can't solve our housing crisis unless we help people find work so that they can make payments on their homes. We can't produce shared prosperity without firm rules of the road, and we can't generate sustained growth without getting our deficits under control. In short, we cannot successfully address any of our problems without addressing them all. And that is exactly what the strategy we are pursuing is designed to do.
None of this will be easy. The road ahead will be long and full of hazards. But I am confident that we as a people have the strength and wisdom to carry out this strategy and overcome this crisis. And if we do, our economy and our country will be better and stronger for it.
Thank you.
  "
"3","March 21, 2009","Barack Obama","
    Last week, I spent a few days in California talking with ordinary Americans in town halls and in the places where they work. We talked about their struggles, and we talked about their hopes. At the end of the day, these men and women weren't as concerned with the news of the day in Washington as they were about the very real and very serious challenges their families face every day: whether they'll have a job and a paycheck to count on; whether they'll be able to pay their medical bills or afford college tuition; whether they'll be able to leave their children a world that's safer and more prosperous than the one we have now.
Those are the concerns I heard about in California. They are the concerns I've heard about in letters from people throughout this country for the last 2 years, and they are the concerns addressed in the budget I sent to Congress last month.
With the magnitude of the challenges we face, I don't just view this budget as numbers on a page or a laundry list of programs. It's an economic blueprint for our future, a vision of America where growth is not based on real estate bubbles or overleveraged banks, but on a firm foundation of investments in energy, education, and health care that will lead to a real and lasting prosperity.
These investments are not a wish list of priorities that I picked out of thin air, they are a central part of a comprehensive strategy to grow this economy by attacking the very problems that have dragged it down for too long: the high cost of health care and our dependence on foreign oil; our education deficit and our fiscal deficit.
Now, as the House and the Senate take up this budget next week, the specific details and dollar amounts in this budget will undoubtedly change; that's a normal and healthy part of the process. But when all is said and done, I expect a budget that meets four basic principles.
First, it must reduce our dependence on dangerous foreign oil and finally put this Nation on a path to a clean, renewable energy future. There is no longer a doubt that the jobs and industries of tomorrow will involve harnessing renewable sources of energy. The only question is whether America will lead that future. I believe we can and we will, and that's why we've proposed a budget that makes clean energy the profitable kind of energy, while investing in technologies like wind power and solar power, advanced biofuels, clean coal, and fuel-efficient cars and trucks that can be built right here in America.
Second, this budget must renew our Nation's commitment to a complete and competitive education for every American child. In this global economy, we know the countries that out-educate us today will outcompete us tomorrow, and we know that our students are already falling behind their counterparts in places like China. That is why we have proposed investments in childhood education programs that work, in high standards and accountability for our schools, in rewards for teachers who succeed, and in affordable college education for anyone who wants to go. It is time to demand excellence from our schools so that we can finally prepare our workforce for a 21st century economy.
Third, we need a budget that makes a serious investment in health care reform, reform that will bring down costs, ensure quality, and guarantee people their choice of doctors and hospitals. Right now, there are millions of Americans where just one illness or medical emergency away from bankruptcy. There are businesses that have been forced to close their doors or ship jobs overseas because they can't afford insurance. Medicare costs are consuming our Federal budget; Medicaid is overwhelming our State budgets. So to those who say we have to choose between health care reform and fiscal discipline, I say that making investments now that will dramatically lower health care costs for everyone won't add to our budget deficit in the long term; it is one of the best ways to reduce it.
Finally, this budget must reduce that deficit even further. With the fiscal mess we've inherited and the cost of this financial crisis, I've proposed a budget that cuts our deficit in half by the end of my first term. That's why we are scouring every corner of the budget and have proposed $2 trillion in deficit reductions over the next decade. In total, our budget would bring discretionary spending for domestic programs as a share of the economy to its lowest level in nearly half a century. And we will continue making these tough choices in the months and years ahead so that as our economy recovers, we do what we must to bring down this deficit.
I'll be discussing each of these principles next week, as Congress takes up the important work of debating this budget. I realize there are those who say these plans are too ambitious to enact. To that I say that the challenges we face are too large to ignore. I didn't come here to pass on our problems to the next President or the next generation; I came here to solve them.
The American people sent us here to get things done, and at this moment of great challenge, they are watching and waiting for us to lead. Let's show them that we are equal to the task before us, and let's pass a budget that puts this Nation on the road to lasting prosperity.
  "
"4","January 31, 2009","Barack Obama","
    This morning I'd like to talk about some good news and some bad news as we confront our economic crisis.
The bad news is well known to Americans across our country as we continue to struggle through unprecedented economic turmoil. Yesterday we learned that our economy shrank by nearly 4 percent from October through December. That decline was the largest in over a quarter century, and it underscores the seriousness of the economic crisis that my administration found when we took office.
Already the slowdown has cost us tens of thousands of jobs in January alone. And the picture is likely to get worse before it gets better.
Make no mistake, these are not just numbers. Behind every statistic there's a story. Many Americans have seen their lives turned upside down. Families have been forced to make painful choices. Parents are struggling to pay the bills. Patients can't afford care. Students can't keep pace with tuition. And workers don't know whether their retirement will be dignified and secure.
The good news is that we are moving forward with a sense of urgency equal to the challenge. This week, the House passed the American recovery and reinvestment plan, which will save or create more than 3 million jobs over the next few years. It puts a tax cut into the pockets of working families and places a downpayment on America's future by investing in energy independence and education, affordable health care, and American infrastructure.
Now this recovery plan moves to the Senate. I will continue working with both parties so that the strongest possible bill gets to my desk. With the stakes so high we simply cannot afford the same old gridlock and partisan posturing in Washington. It's time to move in a new direction.
Americans know that our economic recovery will take years, not months. But they will have little patience if we allow politics to get in the way of action, and our economy continues to slide. That's why I am calling on the Senate to pass this plan, so that we can put people back to work and begin the long, hard work of lifting our economy out of this crisis. No one bill, no matter how comprehensive, can cure what ails our economy. So just as we jump-start job creation, we must also ensure that markets are stable, credit is flowing, and families can stay in their homes.
Last year, Congress passed a plan to rescue the financial system. While the package helped avoid a financial collapse, many are frustrated by the results, and rightfully so. Too often taxpayer dollars have been spent without transparency or accountability. Banks have been extended a hand, but homeowners, students, and small businesses that need loans have been left to fend on their own.
And adding to this outrage, we learned this week that even as they petitioned for taxpayer assistance, Wall Street firms shamefully paid out nearly $20 billion in bonuses for 2008. While I'm committed to doing what it takes to maintain the flow of credit, the American people will not excuse or tolerate such arrogance and greed. The road to recovery demands that we all act responsibly, from Main Street to Washington to Wall Street.
Soon my Treasury Secretary, Tim Geithner, will announce a new strategy for reviving our financial system that gets credit flowing to businesses and families. We'll help lower mortgage costs and extend loans to small businesses so they can create jobs. We'll ensure that CEOs are not draining funds that should be advancing our recovery. And we will insist on unprecedented transparency, rigorous oversight, and clear accountability, so taxpayers know how their money is being spent and whether it is achieving results.
Rarely in history has our country faced economic problems as devastating as this crisis. But the strength of the American people compels us to come together. The road ahead will be long, but I promise you that every day that I go to work in the Oval Office, I carry with me your stories, and my administration is dedicated to alleviating your struggles and advancing your dreams. You are calling for action. Now is the time for those of us in Washington to live up to our responsibilities.
  "
"5","March 14, 2009","Barack Obama","
    I've often said that I don't believe government has the answer to every problem or that it can do all things for all people. We are a nation built on the strength of individual initiative. But there are certain things that we can't do on our own. There are certain things only government can do. And one of those things is ensuring that the foods we eat and the medicines we take are safe and don't cause us harm. That's the mission of our Food and Drug Administration, and it is a mission shared by our Department of Agriculture and a variety of other agencies and offices at just about every level of government.
The men and women who inspect our foods and test the safety of our medicines are chemists and physicians, veterinarians and pharmacists. It's because of the work they do each and every day that the United States is one of the safest places in the world to buy groceries at a supermarket or pills at a drugstore. Unlike citizens of so many other countries, Americans can trust that there is a strong system in place to ensure that the medications we give our children will help them get better, not make them sick, and that a family dinner won't end in a trip to the doctor's office.
But in recent years, we've seen a number of problems with the food making its way to our kitchen tables. In 2006, it was contaminated spinach. In 2008, it was Salmonella in peppers and possibly tomatoes. And just this year, bad peanut products led to hundreds of illnesses and cost nine people their lives, a painful reminder of how tragic the consequences can be when food producers act irresponsibly and Government is unable to do its job. Worse, these incidents reflect a troubling trend that's seen the average number of outbreaks from contaminated produce and other foods grow to nearly 350 a year, up from 100 a year in the early 1990s.
Part of the reason is that many of the laws and regulations governing food safety in America have not been updated since they were written in the time of Teddy Roosevelt. It's also because our system of inspection and enforcement is spread out so widely among so many people that it's difficult for different parts of our Government to share information, work together, and solve problems. And it's also because the FDA has been underfunded and understaffed in recent years, leaving the agency with the resources to inspect just 7,000 of our 150,000 food processing plants and warehouses each year. That means roughly 95% of them go uninspected.
That is a hazard to public health. It is unacceptable, and it will change under the leadership of Dr. Margaret Hamburg, whom I am appointing today as Commissioner of the Food and Drug Administration. From her research on infectious disease at the National Institutes of Health to her work on public health at the Department of Health and Human Services to her leadership on biodefense at the Nuclear Threat Initiative, Dr. Hamburg brings to this vital position not only a reputation of integrity but a record of achievement in making Americans safer and more secure. Dr. Hamburg was one of the youngest people ever elected to the National Academy of Sciences' Institute of Medicine. And her two children have a unique distinction of their own. Their birth certificates feature her name twice, once as their mother and once as New York City health commissioner. In that role, Dr. Hamburg brought a new life to a demoralized agency, leading an internationally recognized initiative that cut the tuberculosis rate by nearly half and overseeing food safety in our Nation's largest city.
Joining her as Principal Deputy Commissioner will be Dr. Joshua Sharfstein. As Baltimore's health commissioner, Dr. Sharfstein has been recognized as a national leader for his efforts to protect children from unsafe over-the-counter cough and cold medications. And he's designed an award-winning program to ensure that Americans with disabilities had access to prescription drugs.
Their critical work, and the critical work of the FDA they lead, will be part of a larger effort taken up by a new food safety working group I am creating. This working group will bring together Cabinet Secretaries and senior officials to advise me on how we can upgrade our food safety laws for the 21st century, foster coordination throughout government, and ensure that we are not just designing laws that will keep the American people safe, but enforcing them. And I expect this group to report back to me with recommendations as soon as possible.
As part of our commitment to public health, our Agriculture Department is closing a loophole in the system to ensure that diseased cows don't find their way into the food supply. And we are also strengthening our food safety system and modernizing our labs with a billion dollar investment, a portion of which will go toward significantly increasing the number of food inspectors, helping ensure that the FDA has the staff and support they need to protect the food we eat.
In the end, food safety is something I take seriously, not just as your President, but as a parent. When I heard peanut products were being contaminated earlier this year, I immediately thought of my 7-year-old daughter, Sasha, who has peanut butter sandwiches for lunch probably three times a week. No parent should have to worry that their child is going to get sick from their lunch, just as no family should have to worry that the medicines they buy will cause them harm. Protecting the safety of our food and drugs is one of the most fundamental responsibilities Government has, and with the outstanding team I am announcing today, it is a responsibility that I intend to uphold in the months and years to come.
Thanks.
  "
"6","March 07, 2009","Barack Obama","
    Yesterday we learned that the economy lost another 651,000 jobs in the month of February, which brings the total number of jobs lost in this recession to 4.4 million. The unemployment rate has now surpassed 8 percent, the highest rate in a quarter century. These aren't just statistics, but hardships experienced personally by millions of Americans who no longer know how they'll pay their bills or make their mortgage or raise their families.
From the day I took office, I knew that solving this crisis would not be easy, nor would it happen overnight. And we will continue to face difficult days in the months ahead. But I also believe that we will get through this; that if we act swiftly and boldly and responsibly, the United States of America will emerge stronger and more prosperous than it was before.
That's why my administration is committed to doing all that's necessary to address this crisis and lead us to a better day. That's why we're moving forward with an economic agenda that will jump-start job creation, restart lending, relieve responsible homeowners, and address the long-term economic challenges of our time: the cost of health care, our dependence on oil, and the state of our schools.
To prevent foreclosures for as many as 4 million homeowners and lower interest rates and lift home values for millions more, we are implementing a plan to allow lenders to work with borrowers to refinance or restructure their mortgages. On Wednesday, the Department of Treasury and Housing and Urban Development released the guidelines that lenders will use for lowering mortgage payments. This plan is now at work.
To restore the availability of affordable loans for families and businesses--not just banks--we are taking steps to restart the flow of credit and stabilize the financial markets. On Thursday, the Treasury Department and the Federal Reserve launched the Consumer and Business Lending Initiative, a plan that will generate up to a trillion dollars of new lending so that families can finance a car or college education and small businesses can raise the capital that will create jobs.
And we've already begun to implement the American Recovery and Reinvestment Act, a plan that will save and create over 3.5 million jobs over the next 2 years, jobs rebuilding our roads and bridges, constructing wind turbines and solar panels, expanding broadband and mass transit. And because of this plan, those who have lost their job in this recession will be able to receive extended unemployment benefits and continued health care coverage, while 95 percent of working Americans will receive a tax break beginning April 1st.
Of course, like every family going through hard times, our country must make tough choices. In order to pay for the things we need, we cannot waste money on the things we don't. My administration inherited a $1.3 trillion budget deficit, the largest in history. And we've inherited a budgeting process as irresponsible as it is unsustainable. For years, as Wall Street used accounting tricks to conceal costs and avoid responsibility, Washington did too.
These kinds of irresponsible budgets and inexcusable practices are now in the past. For the first time in many years, my administration has produced a budget that represents an honest reckoning of where we are and where we need to go.
It's also a budget that begins to make the hard choices that we've avoided for far too long, a strategy that cuts where we must and invests where we need. That's why it includes $2 trillion in deficit reduction, while making historic investments in America's future. That's why it reduces discretionary spending for nondefense programs as a share of the economy by more than 10 percent over the next decade to the lowest level since they began keeping these records nearly half a century ago. And that's why on Wednesday, I signed a Presidential memorandum to end unnecessary no-bid contracts and dramatically reform the way contracts are awarded, reforms that will save the American people up to $40 billion each year.
Finally, because we cannot bring our deficit down or grow our economy without tackling the skyrocketing cost of health care, I held a health care summit on Thursday to begin the long-overdue process of reform. Our ideas and opinions about how to achieve this reform will vary, but our goal must be the same: quality, affordable health care for every American that no longer overwhelms the budgets of families, businesses, and our government.
Yes, this is a moment of challenge for our country, but we've experienced great trials before. And with every test, each generation has found the capacity to not only endure but to prosper, to discover great opportunity in the midst of great crisis. That is what we can and must do today. And I am absolutely confident that is what we will do. I am confident that at this defining moment, we will prove ourselves worthy of the sacrifice of those who came before us and the promise of those who will come after.
  "
"7","February 07, 2009","Barack Obama","
    Yesterday began with some devastating news with regard to our economic crisis. But I'm pleased to say it ended on a more positive note.
In the morning, we received yet another round of alarming employment figures, the worst in more than 30 years. Another 600,000 jobs were lost in January. We've now lost more than 3.6 million jobs since this recession began.
But by the evening, Democrats and Republicans came together in the Senate and responded appropriately to the urgency this moment demands.
In the midst of our greatest economic crisis since the Great Depression, the American people were hoping that Congress would begin to confront the great challenges we face. That was, after all, what last November's election was all about.
Legislation of such magnitude deserves the scrutiny that it's received over the last month, and it will receive more in the days to come. But we can't afford to make perfect the enemy of the absolutely necessary. The scale and scope of this plan is right. And the time for action is now, because if we don't move swiftly to put this plan in motion, our economic crisis could become a national catastrophe. Millions of Americans will lose their jobs, their homes, and their health care. Millions more will have to put their dreams on hold.
Let's be clear: We can't expect relief from the tired old theories that, in eight short years, doubled the national debt, threw our economy into a tailspin, and led us into this mess in the first place. We can't rely on a losing formula that offers only tax cuts as the answer to all our problems while ignoring our fundamental economic challenges: the crushing cost of health care or the inadequate state of so many schools; our addiction to foreign oil or our crumbling roads, bridges, and levees.
The American people know that our challenges are great. They don't expect Democratic solutions or Republican solutions; they expect American solutions.
From the beginning, this recovery plan has had at its core a simple idea: Let's put Americans to work doing the work America needs done. It will save or create more than 3 million jobs over the next 2 years, all across the country--16,000 in Maine, nearly 80,000 in Indiana, almost all of them in the private sector, and all of them jobs that help us recover today and prosper tomorrow.
Jobs that upgrade classrooms and laboratories in 10,000 schools nationwide--at least 485 in Florida alone--and train an army of teachers in math and science. Jobs that modernize our health care system, not only saving us billions of dollars, but countless lives. Jobs that construct a smart electric grid, connect every corner of the country to the information superhighway, double our capacity to generate renewable energy, and grow the economy of tomorrow. Jobs that rebuild our crumbling roads, bridges and levees and dams, so that the tragedies of New Orleans and Minneapolis never happen again.
It includes immediate tax relief for our struggling middle class in places like Ohio, where 4.5 million workers will receive a tax cut of up to $1,000. It protects health insurance and provides unemployment insurance for those who've lost their jobs. And it helps our States and communities avoid painful tax hikes or layoffs for our teachers, nurses, and first responders.
That's what is at stake with this plan: putting Americans back to work, creating transformative economic change, and making a down payment on the American Dream that serves our children and our children's children for generations to come.
Americans across this country are struggling, and they are watching to see if we're equal to the task before us. Let's show them that we are. And let's do whatever it takes to keep the promise of America alive in our time.
Thank you.
  "
"8","February 28, 2009","Barack Obama","
    Two years ago, we set out on a journey to change the way that Washington works. We sought a Government that served not the interests of powerful lobbyists or the wealthiest few, but the middle class Americans I met every day in every community along the campaign trail, responsible men and women who are working harder than ever, worrying about their jobs, and struggling to raise their families. In so many town halls and backyards, they spoke of their hopes for a Government that finally confronts the challenges that their families face every day, a Government that treats their tax dollars as responsibly as they treat their own hard-earned paychecks.
That's the change I promised as a candidate for President. It is the change the American people voted for in November. And it is the change represented by the budget I sent to Congress this week.
During the campaign, I promised a fair and balanced Tax Code that would cut taxes for 95 percent of working Americans, roll back the tax breaks for those making over $250,000 a year, and end the tax breaks for corporations that ship our jobs overseas. This budget does that.
I promised an economy run on clean, renewable energy that will create new American jobs, new American industries, and free us from the dangerous grip of foreign oil. This budget puts us on that path, through a market-based cap on carbon pollution that will make renewable energy the profitable kind of energy, through investments in wind power and solar power, advanced biofuels, clean coal, and more fuel-efficient American cars and American trucks.
I promised to bring down the crushing cost of health care, a cost that bankrupts one American every 30 seconds, forces small businesses to close their doors, and saddles our Government with more debt. This budget keeps that promise, with a historic commitment to reform that will lead to lower costs and quality, affordable health care for every American.
I promised an education system that will prepare every American to compete, so Americans can win in a global economy. This budget will help us meet that goal, with new incentives for teacher performance and pathways for advancement, new tax credits that will make college more affordable for all who want to go, and new support to ensure that those who do go finish their degree.
This budget also reflects the stark reality of what we've inherited, a trillion dollar deficit, a financial crisis, and a costly recession. Given this reality, we'll have to be more vigilant than ever in eliminating the programs we don't need in order to make room for the investments we do need. I promised to do this by going through the Federal budget page by page and line by line. That's a process we have already begun, and I am pleased to say that we've already identified 2 trillion dollars worth of deficit reductions over the next decade. We've also restored a sense of honesty and transparency to our budget, which is why this one accounts for spending that was hidden or left out under the old rules.
I realize that passing this budget won't be easy. Because it represents real and dramatic change, it also represents a threat to the status quo in Washington. I know that the insurance industry won't like the idea that they'll have to bid competitively to continue offering Medicare coverage, but that's how we'll help preserve and protect Medicare and lower health care costs for American families. I know that banks and big student lenders won't like the idea that we're ending their huge taxpayer subsidies, but that's how we'll save taxpayers nearly $50 billion and make college more affordable. I know that oil and gas companies won't like us ending nearly $30 billion in tax breaks, but that's how we'll help fund a renewable energy economy that will create new jobs and new industries. In other words, I know these steps won't sit well with the special interests and lobbyists who are invested in the old ways of doing business, and I know they're gearing up for a fight as we speak. My message to them is this: So am I.
The system we have now might work for the powerful and well-connected interests that have run Washington for far too long, but I don't. I work for the American people. I didn't come here to do the same thing we've been doing or to take small steps forward, I came to provide the sweeping change that this country demanded when it went to the polls in November. That is the change this budget starts to make, and that is the change I'll be fighting for in the weeks ahead--change that will grow our economy, expand our middle class, and keep the American Dream alive for all those men and women who have believed in this journey from the day it began.
Thanks for listening.
  "
"9","February 25, 2017","Donald J. Trump","
    My fellow Americans, as Black History Month 2017 comes to a close, I am very grateful for the many wonderful opportunities to honor African American heroes, faith leaders, entrepreneurs, and the many others who changed the course of our Nation. We are blessed by the lives and examples of those who have made this Nation a beacon of freedom, talent, and unbreakable American spirit.
This week, I had the privilege of visiting the National Museum of African American History and Culture right here in Washington, DC. It's a new, beautiful Smithsonian museum that serves as a shining example of African Americans' incredible contributions to our culture, our society, and our history. It also tells of the great struggle for freedom and equality that prevailed against the sins of slavery and the injustice of discrimination.
The work and love of the people who helped create such a masterpiece is a testament to the legacy of so many leaders it honors. I left that museum confident that together, America can overcome any challenge.
There's a great quote by Muhammad Ali in the museum. ""I shook up the world,"" he said. And that is what he did. So did leaders like Sojourner Truth, Frederick Douglass, Booker T. Washington, Martin Luther King, and so many others. They shook up the world for the better, because they inspired our Nation to march toward justice and freedom for all. Today, and every day, I pledge to continue that march so that every American—no matter his background, no matter her background—has the chance to climb that great ladder of success.
It was very special to accompany Dr. Ben Carson and his family for the first time seeing the Carson exhibit. I am proud that soon he will serve in my Cabinet as the Secretary of Housing and Urban Development. HUD has a very, very powerful meaning, far beyond housing. It is about transforming our communities, about bringing back hope. And Ben will do a fantastic job.
That's what I am committed to doing also. I want every African American child, family, and worker to have access to great schools, safe communities, and good-paying jobs. I want every disadvantaged child in America to have a choice about where they go to school—so important. I also want to honor and promote the achievements of Historically Black Colleges and Universities throughout our Nation. They do a fantastic job. They are not given the credit that they deserve, and they are going to start getting that credit.
In order to help African Americans thrive, we are working very hard to make sure every child can grow up in a safe community and have access to high-paying jobs. We've lost a lot of our best jobs to other countries, and this has hurt the African American community very badly. This week, I met with manufacturing CEOs. We're going to be working to bring back those jobs, and I mean really good-paying jobs.
I will be talking more about these issues in my Joint Session Address to Congress and to all Americans next Tuesday evening. I hope you will be watching.
Thank you, God bless you, and God bless America.
  "
"10","February 17, 2017","Donald J. Trump","
    My fellow Americans, we have taken major steps during the first few weeks of my administration to remove wasteful regulations and get our people back to work. I have been saying I was going to do that for a long time.
This week I signed two pieces of legislation to remove burdens on our economy, continued to keep my promises to the American people, and so much more.
I signed House Joint Resolution 38, which eliminates an anticoal regulation put forward by unelected bureaucrats. Our coal miners have been treated horribly, and we are going to turn that around, and we are going to turn it around quickly. We are going to fight for lower energy prices for all Americans as part of the deal.
That's why I also signed a resolution to eliminate a costly regulation Dodd-Frank imposed on American energy companies. By stopping this regulation, we are able to save American companies and workers millions and millions of dollars in job-killing compliance costs.
But to truly succeed as a country, we must realize the full potential of women in our economy. That is why I was thrilled to host the White House's women's business leaders roundtable—very exciting, great women. As President, I am committed to ensuring that women entrepreneurs have equal access to the capital, markets, and networks of support that they need, and I mean, really need. And it's going to happen. This is a priority for my administration. I campaigned on helping women in the workforce, and we are going to deliver on that promise, believe me.
In fact, as part of my first official meeting with Canadian Prime Minister Justin Trudeau, this week, we announced the creation of the joint United States-Canada Council for Advancement of Women Entrepreneurs and Business Leaders. Actually, very exciting.
The United States also reaffirmed our unbreakable bond this week with our cherished ally, Israel. It was an honor to welcome my friend, Prime Minister Benjamin Netanyahu, to the White House. I affirmed to the Prime Minister America's commitment to working with Israel and our allies and partners toward greater security and stability. The threat of terrorism—and believe me, it is a threat—must be confronted and defeated, and we will defeat it. We share with Israel a deep conviction that we must protect all innocent human life.
So as you head into the President's Day weekend, the American people should know that we are working tirelessly on your behalf. We are not here for the benefit of bureaucrats, consultants, or pundits; we are here to work for you—and only for you—the American people.
Thank you, God Bless you, and God Bless America.
  "
