Treatment,Weight,RBC,ResistantDensity,DaysInfectious
Untreated,21.869,7.336,11.34,1
Untreated,21.053,7.139,1.872,0
Untreated,22.491,7.039,7.213,0
Untreated,22.284,7.131,12.375,0
Untreated,21.188,7.15,3.399,0
Untreated,21.231,7.173,0,0
Untreated,21.581,7.025,4.543,0
Untreated,21.488,7.134,3.141,0
Untreated,21.483,6.335,0,0
Untreated,4.313,1.326,0,0
Untreated,20.708,6.262,0,0
Untreated,4.925,1.383,0,0
Untreated,19.667,6.19,3.875,0
Untreated,18.7,6.168,0,0
Untreated,18.942,5.946,0,0
Untreated,19.788,6.043,0,0
Untreated,3.825,1.311,0,0
Untreated,20.196,6.436,0,0
Light,22.672,6.954,188.386,5
Light,21.875,7.241,8.802,0
Light,21.788,6.717,0,0
Light,22.613,6.882,60.932,5
Light,22.525,7.546,12.767,3
Light,22.066,7.425,203.158,6
Light,22.731,7.11,16.245,4
Light,22.153,7.253,80.873,5
Light,19.075,6.525,8.938,2
Light,18.846,6.152,146.625,5
Light,20.058,6.915,0,0
Light,18.896,6.279,888.25,6
Light,4.842,1.332,0,0
Light,20.154,6.737,1768,7
Light,19.613,6.639,0,0
Light,21,6.659,2.25,1
Light,19.533,6.432,82.688,3
Light,19.717,6.556,273.938,5
Moderate,21.903,7.325,2243.113,7
Moderate,21.764,7.515,0,0
Moderate,21.522,7.064,875.601,7
Moderate,22.95,7.341,219.636,7
Moderate,23.219,7.709,3270.84,8
Moderate,22.45,7.351,71.298,4
Moderate,22.059,7.334,3983.375,10
Moderate,22.269,7.67,1.169,0
Moderate,20.479,6.313,11906.938,6
Moderate,20.167,6.433,56.313,6
Moderate,20.817,6.768,199.563,4
Moderate,20.467,6.888,444.625,7
Moderate,17.725,6.525,31372.75,11
Moderate,19.654,6.489,67.125,5
Moderate,20.521,6.363,275.188,5
Moderate,19.438,6.129,15201,8
Moderate,3.125,0.965,0,0
Moderate,20.667,5.993,80.563,5
Aggressive,21.994,7.73,0,0
Aggressive,22.069,7.087,92382.241,12
Aggressive,22.644,7.88,0,0
Aggressive,21.884,7.309,87529.488,8
Aggressive,22.181,7.803,112291.11,10
Aggressive,21.547,7.735,86874.958,11
Aggressive,20.734,6.983,49526.797,6
Aggressive,21.581,7.339,0,1
Aggressive,19.342,6.536,59976,10
Aggressive,19.221,6.241,109485.5,10
Aggressive,19.854,6.541,116061.188,12
Aggressive,19.646,6.52,3760.938,6
Aggressive,19.563,6.201,67625.25,11
Aggressive,18.842,5.963,189528.813,10
Aggressive,18.775,5.623,66060.25,10
Aggressive,18.579,5.293,47073.125,7
Aggressive,19.421,5.737,195387.313,11
Aggressive,20.979,5.978,50250.313,11
