Country,EducationExpenditure,Literacy
Afghanistan,3.1,31.7
Albania,3.2,96.8
Algeria,4.3,
Andorra,3.2,
Angola,3.5,70.6
Antigua and Barbuda,2.6,99
Argentina,5.1,97.9
Armenia,3.3,99.6
Australia,4.9,
Austria,5.6,
Azerbaijan,2.4,99.8
Bahrain,2.6,94.6
Bangladesh,1.9,58.8
Barbados,5.6,
Belarus,5.1,99.6
Belgium,6.4,
Belize,6.6,
Benin,5.3,
Bhutan,4.7,52.8
Bolivia,6.4,94.5
Bosnia and Herzegovina,,98.2
Botswana,9.5,86.7
Brazil,6.3,91.3
Brunei Darussalam,3.2,95.4
Bulgaria,3.7,98.4
Burkina Faso,3.9,23.6
Burundi,5.8,86.9
Cabo Verde,5,
Cambodia,2.6,73.9
Cameroon,3,71.3
Canada,5.3,
Cape Verde,,85.3
Central African Republic,1.2,36.8
Chad,2.3,37.3
Chile,4.6,98.6
China,,95.1
Colombia,4.4,93.6
Comoros,7.8,75.9
"Congo, Rep.",6.2,79.3
Costa Rica,4.4,97.4
Cote d'Ivoire,4.4,41
Croatia,4.2,99.1
Cuba,12.8,99.8
Cyprus,7.2,98.7
Czech Republic,4.3,
Dem. Rep. Congo,1.5,
Denmark,8.5,
Djibouti,4.5,
Dominican Republic,1.9,90.2
Ecuador,4.2,91.6
"Egypt, Arab Rep.",3.8,73.9
El Salvador,3.4,85.5
Equatorial Guinea,0.8,94.5
Eritrea,,70.5
Estonia,5.1,99.9
Ethiopia,4.7,29.8
Fiji,4.3,
Finland,7.2,
France,5.5,
Gabon,3.8,82.3
"Gambia, The",4.1,52
Georgia,2,99.7
Germany,4.8,
Ghana,8.1,71.5
Greece,,97.4
Guatemala,3,78.3
Guinea,2.5,25.3
Guinea-Bissau,,56.7
Guyana,3.2,85
Honduras,,85.4
"Hong Kong SAR, China",3.5,
Hungary,4.6,99.4
Iceland,7,
India,3.9,
Indonesia,3.6,92.8
"Iran, Islamic Rep.",3.6,84.3
Iraq,,79
Ireland,5.9,
Israel,5.6,97.8
Italy,4.1,99
Jamaica,6.1,87.5
Japan,3.8,
Jordan,,97.9
Kazakhstan,3.1,99.7
Kenya,5.5,82.2
Kiribati,11.1,
"Korea, Rep.",4.6,100
Kuwait,4.7,95.5
Kyrgyz Republic,7.4,99.2
Lao PDR,2.8,72.7
Latvia,4.6,99.9
Lebanon,2.2,
Lesotho,13,75.8
Liberia,2.8,
Libya,,89.9
Liechtenstein,2.6,
Lithuania,5.2,99.8
Luxembourg,,
"Macao SAR, China",3.3,95.6
"Macedonia, FYR",,97.5
Madagascar,2.7,64.5
Malawi,5.4,61.3
Malaysia,5.9,93.1
Maldives,6.2,96.3
Mali,4.2,33.6
Malta,6.8,92.4
Mauritania,3.7,51.2
Mauritius,3.5,89.2
Mexico,5.1,94.2
"Micronesia, Fed. Sts.",6.7,
Moldova,8.3,99.1
Monaco,1.8,
Mongolia,5.5,98.3
Montenegro,,98.4
Morocco,6.2,67.1
Mozambique,6.2,50.6
Myanmar,,92.6
Namibia,8.3,
Nepal,4.7,57.4
Netherlands,5.5,
New Zealand,7.4,
Nicaragua,4.4,78
Niger,4.5,15.5
Nigeria,,51.1
Norway,6.6,
Oman,4.2,86.9
Pakistan,2.1,54.7
Palau,7.3,
Panama,3.3,94.1
Papua New Guinea,,62.9
Paraguay,5,93.9
Peru,2.9,93.8
Philippines,2.7,95.4
Poland,4.9,99.7
Portugal,5.1,94.5
Qatar,2.4,96.7
Romania,3,98.6
Russian Federation,4.1,99.7
Rwanda,4.8,65.9
Samoa,5.1,98.9
San Marino,2.4,
Sao Tome and Principe,9.5,69.5
Saudi Arabia,5.1,79.4
Senegal,5.6,52.1
Serbia,4.4,98.2
Seychelles,3.6,91.8
Sierra Leone,3.1,44.5
Singapore,3.1,96.4
Slovak Republic,3.9,
Slovenia,5.6,99.7
Solomon Islands,9.9,
South Africa,6.4,93.7
Spain,4.4,97.9
Sri Lanka,1.7,91.2
St. Kitts and Nevis,3.9,
St. Lucia,4,
St. Vincent and the Grenadines,5.1,
Sudan,2.2,73.4
Suriname,,94.7
Swaziland,7.8,83.1
Sweden,6.5,
Switzerland,5,
Syrian Arab Republic,5.1,85.1
Tajikistan,4,99.7
Tanzania,4.6,67.8
Thailand,4.9,96.4
The Bahamas,2.8,
Timor-Leste,9.5,58.3
Togo,4.7,60.4
Tonga,4.9,99.4
Trinidad and Tobago,2.8,98.8
Tunisia,6.2,79.7
Turkey,2.6,94.9
Turkmenistan,3,99.6
Tuvalu,,
Uganda,2.7,73.2
Ukraine,6.7,99.7
United Arab Emirates,,90
United Kingdom,5.8,
United States,5.2,
Uruguay,4.4,98.4
Uzbekistan,,99.5
Vanuatu,5,83.4
Venezuela,6.9,95.5
Vietnam,6.3,93.5
Yemen Rep.,4.6,66.4
Zambia,1.1,
Zimbabwe,2,83.6
