"","NRO","SEXO","EDAD","edideal_muj","edideal_hom","DOMINIO","NSEGrup"
"1",1,"Femenino",55,25,30,"Lima-Callao","A/B"
"2",2,"Masculino",62,26,30,"Lima-Callao","A/B"
"3",3,"Femenino",70,28,30,"Lima-Callao","A/B"
"4",4,"Femenino",20,30,35,"Lima-Callao","A/B"
"5",5,"Femenino",18,25,30,"Lima-Callao","A/B"
"6",6,"Masculino",25,25,30,"Lima-Callao","C"
"7",7,"Masculino",46,30,35,"Lima-Callao","D/E"
"8",8,"Masculino",38,35,38,"Lima-Callao","C"
"9",9,"Masculino",52,25,25,"Lima-Callao","C"
"10",10,"Femenino",53,26,28,"Lima-Callao","C"
"11",11,"Femenino",43,23,23,"Lima-Callao","C"
"12",12,"Masculino",68,22,25,"Lima-Callao","D/E"
"13",13,"Femenino",27,30,30,"Lima-Callao","C"
"14",14,"Masculino",21,32,34,"Lima-Callao","D/E"
"15",15,"Masculino",42,18,22,"Lima-Callao","C"
"16",16,"Femenino",33,30,35,"Lima-Callao","A/B"
"17",17,"Masculino",37,30,36,"Lima-Callao","C"
"18",18,"Masculino",67,25,30,"Lima-Callao","A/B"
"19",19,"Femenino",70,25,30,"Lima-Callao","A/B"
"20",20,"Femenino",21,28,28,"Lima-Callao","A/B"
"21",21,"Masculino",69,25,30,"Lima-Callao","C"
"22",22,"Femenino",33,30,35,"Lima-Callao","C"
"23",23,"Femenino",67,30,35,"Lima-Callao","C"
"24",24,"Masculino",24,25,28,"Lima-Callao","A/B"
"25",25,"Masculino",33,29,34,"Lima-Callao","C"
"26",26,"Femenino",70,25,30,"Lima-Callao","A/B"
"27",27,"Femenino",26,25,25,"Lima-Callao","A/B"
"28",28,"Femenino",23,30,35,"Lima-Callao","D/E"
"29",29,"Femenino",32,30,30,"Lima-Callao","C"
"30",30,"Masculino",65,25,30,"Lima-Callao","D/E"
"31",31,"Femenino",43,30,35,"Lima-Callao","A/B"
"32",32,"Femenino",67,30,30,"Lima-Callao","C"
"33",33,"Femenino",19,25,25,"Lima-Callao","A/B"
"34",34,"Masculino",39,25,25,"Lima-Callao","A/B"
"35",35,"Masculino",80,25,28,"Lima-Callao","A/B"
"36",36,"Femenino",37,33,37,"Lima-Callao","A/B"
"37",37,"Femenino",60,30,30,"Lima-Callao","A/B"
"38",38,"Masculino",23,28,30,"Lima-Callao","A/B"
"39",39,"Masculino",35,24,24,"Lima-Callao","A/B"
"40",40,"Masculino",25,28,28,"Lima-Callao","A/B"
"41",41,"Femenino",42,28,30,"Lima-Callao","D/E"
"42",42,"Masculino",29,25,30,"Lima-Callao","A/B"
"43",43,"Masculino",29,22,25,"Lima-Callao","A/B"
"44",44,"Femenino",50,99,99,"Lima-Callao","C"
"45",45,"Masculino",67,22,29,"Lima-Callao","D/E"
"46",46,"Masculino",42,30,30,"Lima-Callao","D/E"
"47",47,"Femenino",64,27,32,"Lima-Callao","C"
"48",48,"Femenino",19,30,30,"Lima-Callao","C"
"49",49,"Femenino",80,24,28,"Lima-Callao","A/B"
"50",50,"Masculino",65,25,30,"Lima-Callao","A/B"
"51",51,"Femenino",39,35,35,"Lima-Callao","A/B"
"52",52,"Femenino",30,30,30,"Lima-Callao","A/B"
"53",53,"Masculino",40,26,30,"Lima-Callao","A/B"
"54",54,"Femenino",21,27,30,"Lima-Callao","A/B"
"55",55,"Masculino",29,33,39,"Lima-Callao","C"
"56",56,"Masculino",19,23,23,"Lima-Callao","A/B"
"57",57,"Femenino",57,27,28,"Lima-Callao","C"
"58",58,"Femenino",41,30,35,"Lima-Callao","C"
"59",59,"Masculino",45,25,26,"Lima-Callao","C"
"60",60,"Masculino",18,26,26,"Lima-Callao","A/B"
"61",61,"Femenino",28,29,30,"Lima-Callao","C"
"62",62,"Masculino",22,25,25,"Lima-Callao","C"
"63",63,"Femenino",18,26,30,"Lima-Callao","A/B"
"64",64,"Masculino",35,30,30,"Lima-Callao","A/B"
"65",65,"Masculino",28,23,25,"Lima-Callao","C"
"66",66,"Femenino",47,25,30,"Lima-Callao","C"
"67",67,"Femenino",44,28,24,"Lima-Callao","A/B"
"68",68,"Masculino",20,28,28,"Lima-Callao","C"
"69",69,"Femenino",19,25,25,"Lima-Callao","C"
"70",70,"Femenino",29,30,35,"Lima-Callao","C"
"71",71,"Masculino",46,25,28,"Lima-Callao","C"
"72",72,"Masculino",40,30,35,"Lima-Callao","C"
"73",73,"Femenino",31,20,22,"Lima-Callao","D/E"
"74",74,"Femenino",38,21,23,"Lima-Callao","C"
"75",75,"Masculino",57,30,30,"Lima-Callao","C"
"76",76,"Femenino",58,20,25,"Lima-Callao","D/E"
"77",77,"Femenino",22,27,27,"Lima-Callao","D/E"
"78",78,"Masculino",27,28,30,"Lima-Callao","D/E"
"79",79,"Femenino",22,30,35,"Lima-Callao","D/E"
"80",80,"Masculino",35,35,35,"Lima-Callao","D/E"
"81",81,"Femenino",53,25,30,"Lima-Callao","A/B"
"82",82,"Masculino",28,27,27,"Lima-Callao","C"
"83",83,"Masculino",42,28,30,"Lima-Callao","A/B"
"84",84,"Masculino",47,25,25,"Lima-Callao","D/E"
"85",85,"Masculino",40,25,30,"Lima-Callao","C"
"86",86,"Femenino",22,27,30,"Lima-Callao","C"
"87",87,"Femenino",24,25,25,"Lima-Callao","C"
"88",88,"Femenino",42,30,32,"Lima-Callao","D/E"
"89",89,"Masculino",58,25,30,"Lima-Callao","A/B"
"90",90,"Femenino",29,23,26,"Lima-Callao","D/E"
"91",91,"Femenino",45,25,28,"Lima-Callao","D/E"
"92",92,"Femenino",38,30,35,"Lima-Callao","C"
"93",93,"Masculino",20,25,30,"Lima-Callao","C"
"94",94,"Masculino",42,28,32,"Lima-Callao","D/E"
"95",95,"Femenino",24,25,30,"Lima-Callao","D/E"
"96",96,"Masculino",24,28,27,"Lima-Callao","C"
"97",97,"Femenino",23,99,99,"Lima-Callao","D/E"
"98",98,"Masculino",56,21,28,"Lima-Callao","D/E"
"99",99,"Femenino",37,99,99,"Lima-Callao","C"
"100",100,"Femenino",43,20,22,"Lima-Callao","D/E"
"101",101,"Femenino",52,24,24,"Lima-Callao","D/E"
"102",102,"Masculino",18,30,30,"Lima-Callao","C"
