Calcium,GillRate
0.07,82
0.07,71
0.07,65
0.07,79
0.07,61
0.07,73
0.07,88
0.07,65
0.07,84
0.07,69
0.07,45
0.07,84
0.07,68
0.07,59
0.07,66
0.07,73
0.07,76
0.07,95
0.07,63
0.07,68
0.07,58
0.07,84
0.07,74
0.07,88
0.07,77
0.07,67
0.07,74
0.07,58
0.07,86
0.07,58
0.71,55
0.71,63
0.71,78
0.71,85
0.71,65
0.71,98
0.71,68
0.71,84
0.71,44
0.71,87
0.71,48
0.71,86
0.71,93
0.71,64
0.71,83
0.71,79
0.71,85
0.71,65
0.71,88
0.71,47
0.71,68
0.71,86
0.71,57
0.71,53
0.71,58
0.71,47
0.71,62
0.71,64
0.71,50
0.71,45
1.3,63
1.3,67
1.3,48
1.3,77
1.3,56
1.3,65
1.3,53
1.3,57
1.3,78
1.3,67
1.3,73
1.3,57
1.3,83
1.3,64
1.3,52
1.3,57
1.3,74
1.3,54
1.3,68
1.3,44
1.3,39
1.3,59
1.3,55
1.3,46
1.3,86
1.3,60
1.3,64
1.3,77
1.3,76
1.3,53
2.29,50
2.29,65
2.29,58
2.29,44
2.29,75
2.29,54
2.29,77
2.29,62
2.29,38
2.29,63
2.29,57
2.29,66
2.29,47
2.29,78
2.29,42
2.29,57
2.29,42
2.29,76
2.29,83
2.29,66
2.29,38
2.29,48
2.29,50
2.29,63
2.29,55
2.29,54
2.29,64
2.29,47
2.29,67
2.29,72
2.5,66
2.5,52
2.5,77
2.5,69
2.5,47
2.5,57
2.5,53
2.5,77
2.5,58
2.5,84
2.5,58
2.5,64
2.5,64
2.5,53
2.5,76
2.5,57
2.5,89
2.5,64
2.5,53
2.5,55
2.5,68
2.5,77
2.5,70
2.5,75
2.5,59
2.5,55
2.5,46
2.5,52
2.5,54
2.5,47
5.03,79
5.03,65
5.03,68
5.03,73
5.03,68
5.03,43
5.03,76
5.03,72
5.03,67
5.03,67
5.03,37
5.03,53
5.03,63
5.03,68
5.03,52
5.03,85
5.03,42
5.03,75
5.03,46
5.03,56
5.03,47
5.03,44
5.03,58
5.03,39
5.03,65
5.03,52
5.03,67
5.03,63
5.03,58
5.03,50
5.22,44
5.22,55
5.22,57
5.22,66
5.22,47
5.22,63
5.22,54
5.22,56
5.22,60
5.22,57
5.22,63
5.22,44
5.22,50
5.22,58
5.22,63
5.22,64
5.22,75
5.22,58
5.22,36
5.22,52
5.22,55
5.22,58
5.22,73
5.22,57
5.22,58
5.22,37
5.22,63
5.22,73
5.22,46
5.22,57
5.24,38
5.24,42
5.24,63
5.24,46
5.24,55
5.24,63
5.24,36
5.24,58
5.24,73
5.24,69
5.24,55
5.24,68
5.24,63
5.24,73
5.24,45
5.24,79
5.24,41
5.24,83
5.24,60
5.24,48
5.24,59
5.24,33
5.24,67
5.24,43
5.24,57
5.24,72
5.24,46
5.24,74
5.24,68
5.24,83
8.14,67
8.14,74
8.14,52
8.14,46
8.14,74
8.14,78
8.14,69
8.14,64
8.14,57
8.14,65
8.14,52
8.14,74
8.14,71
8.14,57
8.14,69
8.14,73
8.14,63
8.14,57
8.14,60
8.14,84
8.14,52
8.14,49
8.14,47
8.14,57
8.14,64
8.14,58
8.14,73
8.14,53
8.14,68
8.14,78
8.19,57
8.19,46
8.19,62
8.19,45
8.19,53
8.19,77
8.19,52
8.19,35
8.19,62
8.19,32
8.19,85
8.19,41
8.19,43
8.19,63
8.19,38
8.19,63
8.19,88
8.19,36
8.19,27
8.19,47
8.19,83
8.19,84
8.19,57
8.19,68
8.19,63
8.19,42
8.19,57
8.19,44
8.19,37
8.19,54
18.24,59
18.24,45
18.24,63
18.24,52
18.24,59
18.24,78
18.24,72
18.24,53
18.24,69
18.24,68
18.24,57
18.24,63
18.24,68
18.24,83
18.24,38
18.24,85
18.24,68
18.24,63
18.24,58
18.24,48
18.24,42
18.24,42
18.24,80
18.24,42
18.24,52
18.24,37
18.24,57
18.24,62
18.24,40
18.24,42
32.07,45
32.07,37
32.07,46
32.07,75
32.07,44
32.07,63
32.07,38
32.07,57
32.07,73
32.07,33
32.07,84
32.07,36
32.07,48
32.07,42
32.07,42
32.07,41
32.07,57
32.07,79
32.07,44
32.07,51
32.07,38
32.07,65
32.07,73
32.07,56
32.07,46
32.07,53
32.07,75
32.07,41
32.07,50
32.07,36
