Type,PetalWidth,PetalLength,SepalWidth,SepalLength
Setosa,2,14,33,50
Virginica,24,56,31,67
Virginica,23,51,31,69
Setosa,2,10,36,46
Virginica,20,52,30,65
Virginica,19,51,27,58
Versicolor,13,45,28,57
Versicolor,16,47,33,63
Virginica,17,45,25,49
Versicolor,14,47,32,70
Setosa,2,16,31,48
Virginica,19,50,25,63
Setosa,1,14,36,49
Setosa,2,13,32,44
Versicolor,12,40,26,58
Virginica,18,49,27,63
Versicolor,10,33,23,50
Setosa,2,16,38,51
Setosa,2,16,30,50
Virginica,21,56,28,64
Setosa,4,19,38,51
Setosa,2,14,30,49
Versicolor,10,41,27,58
Versicolor,15,45,29,60
Setosa,2,14,36,50
Virginica,19,51,27,58
Setosa,4,15,34,54
Virginica,18,55,31,64
Versicolor,10,33,24,49
Setosa,2,14,42,55
Virginica,15,50,22,60
Versicolor,14,39,27,52
Setosa,2,14,29,44
Versicolor,12,39,27,58
Virginica,23,57,32,69
Versicolor,15,42,30,59
Virginica,20,49,28,56
Virginica,18,58,25,67
Versicolor,13,44,23,63
Versicolor,15,49,25,63
Versicolor,11,30,25,51
Virginica,21,54,31,69
Virginica,25,61,36,72
Versicolor,13,36,29,56
Virginica,21,55,30,68
Setosa,1,14,30,48
Setosa,3,17,38,57
Versicolor,14,44,30,66
Setosa,4,15,37,51
Versicolor,17,50,30,67
Virginica,22,56,28,64
Virginica,15,51,28,63
Versicolor,15,45,22,62
Versicolor,14,46,30,61
Versicolor,11,39,25,56
Virginica,23,59,32,68
Virginica,23,54,34,62
Virginica,25,57,33,67
Setosa,2,13,35,55
Versicolor,15,45,32,64
Virginica,18,51,30,59
Virginica,23,53,32,64
Versicolor,15,45,30,54
Virginica,21,57,33,67
Setosa,2,13,30,44
Setosa,2,16,32,47
Virginica,18,60,32,72
Virginica,18,49,30,61
Setosa,2,12,32,50
Setosa,1,11,30,43
Versicolor,14,44,31,67
Setosa,2,14,35,51
Setosa,4,16,34,50
Versicolor,10,35,26,57
Virginica,23,61,30,77
Versicolor,13,42,26,57
Setosa,1,15,41,52
Virginica,18,48,30,60
Versicolor,13,42,27,56
Setosa,2,15,31,49
Setosa,4,17,39,54
Versicolor,16,45,34,60
Versicolor,10,35,20,50
Setosa,2,13,32,47
Versicolor,13,54,29,62
Setosa,2,15,34,51
Versicolor,10,50,22,60
Setosa,1,15,31,49
Setosa,2,15,37,54
Versicolor,12,47,28,61
Versicolor,13,41,28,57
Setosa,4,13,39,54
Virginica,20,51,32,65
Versicolor,15,49,31,69
Versicolor,13,40,25,55
Setosa,3,13,23,45
Setosa,3,15,38,51
Versicolor,14,48,28,68
Setosa,2,15,35,52
Virginica,25,60,33,63
Versicolor,15,46,28,65
Setosa,3,14,34,46
Versicolor,18,48,32,59
Versicolor,16,51,27,60
Virginica,18,55,30,65
Setosa,5,17,33,51
Virginica,22,67,38,77
Virginica,21,66,30,76
Virginica,13,52,30,67
Versicolor,13,40,28,61
Versicolor,11,38,24,55
Setosa,2,14,34,52
Virginica,20,64,38,79
Setosa,6,16,35,50
Virginica,20,67,28,77
Versicolor,12,44,26,55
Setosa,3,14,30,48
Setosa,2,19,34,48
Virginica,14,56,26,61
Setosa,2,12,40,58
Virginica,18,48,28,62
Versicolor,15,45,30,56
Setosa,2,14,32,46
Setosa,4,15,44,57
Virginica,24,56,34,63
Virginica,16,58,30,72
Virginica,21,59,30,71
Virginica,18,56,29,63
Versicolor,12,42,30,57
Virginica,23,69,26,77
Versicolor,13,56,29,66
Setosa,2,15,34,52
Versicolor,10,37,24,55
Setosa,2,15,31,46
Virginica,19,61,28,74
Setosa,3,13,35,50
Virginica,18,63,29,73
Versicolor,15,47,31,67
Versicolor,13,41,30,56
Versicolor,13,43,29,64
Virginica,22,58,30,65
Setosa,3,14,35,51
Versicolor,14,47,29,61
Virginica,19,53,27,64
Setosa,2,16,34,48
Virginica,20,50,25,57
Versicolor,13,40,23,55
Setosa,2,17,34,54
Virginica,24,51,28,58
Setosa,2,15,37,53
