Exercise,SAT,GPA,Pulse,Piercings,GenderCode
10,1210,3.13,54,0,1
4,1150,2.5,66,3,0
14,1110,2.55,130,0,1
3,1120,3.1,78,0,1
3,1170,2.7,40,6,0
5,1150,3.2,80,4,0
10,1320,2.77,94,8,0
13,1370,3.3,77,0,1
3,1100,2.8,60,7,0
12,1370,3.7,94,2,0
12,1170,2.09,63,2,0
12,1150,2.9,54,0,1
6,1300,3.08,66,4,0
10,1200,3.86,59,4,0
3,1200,3,88,4,0
7,1350,3,59,0,1
2,1410,3.35,64,2,0
14,1000,3.3,72,5,0
10,1190,3.4,74,2,0
14,1130,2.9,70,2,0
20,1180,3.5,58,0,1
7,1200,3,48,0,1
12,1230,3.3,74,0,1
10,1420,3.7,60,0,1
6,1200,3.48,74,2,0
14,1150,3.4,70,0,1
12,1110,2.5,74,0,1
10,1000,3.3,60,0,1
8,1230,3.5,55,0,1
0,1260,3.79,82,1,0
10,1060,3.3,68,0,1
6,1280,2.9,83,0,1
5,1010,2.68,53,2,0
24,1140,3.28,72,4,0
2,1200,3.51,86,0,1
10,1070,2.6,67,4,0
6,1350,3.85,89,2,0
5,1140,2.4,48,4,0
5,1220,3.4,64,0,1
12,1120,2.4,73,7,0
2,1050,3,80,2,0
7,1040,3.1,85,5,0
15,1240,2.94,60,0,1
5,1240,3.31,61,0,1
7,1110,3.3,80,0,1
15,1320,2.9,70,0,1
8,1230,3.4,61,0,1
14,1200,3.16,58,2,0
4,1370,3.84,88,4,0
15,1320,3.6,68,1,1
4,940,2.36,68,0,1
15,980,2.9,35,0,1
3,1220,3,90,0,1
3,1260,3.3,88,4,0
15,1260,3.7,67,2,0
20,1010,2.9,71,2,0
3,1250,3.6,68,2,0
6,1270,3.56,73,0,1
12,1200,3.7,55,2,1
4,1070,4,78,5,0
20,1200,3.4,96,0,1
10,1250,3.3,73,5,0
10,1200,3.1,60,1,1
4,1180,2.5,80,0,1
9,1300,3.2,96,0,1
12,1080,3.1,49,0,1
2,1180,3.5,62,5,0
15,1240,3,68,6,0
10,1310,3.25,52,5,0
7,1180,2.4,71,2,0
3,1260,3.22,72,2,0
8,1220,3.64,77,4,0
5,1140,3.5,68,2,0
10,1300,2.5,60,0,1
15,1280,3.4,65,0,1
5,1040,3.25,84,3,0
6,1280,3.7,80,7,0
18,1080,2.1,66,1,0
16,1110,2.8,70,7,0
4,1240,3.49,70,0,1
3,1100,3.83,72,3,0
5,1140,2.7,69,0,1
10,1140,2.8,89,0,1
2,1180,3.13,79,2,0
4,1480,3.62,98,4,0
14,1220,2,48,0,1
7,1250,3.6,71,0,1
12,1340,4,51,0,1
14,1200,3.1,67,2,0
3,1250,2.6,66,0,1
5,1150,3.7,66,0,1
15,1370,3.57,60,0,1
5,1200,2.9,77,2,0
4,1250,3.15,80,2,0
8,1120,3.88,70,0,1
14,1390,3.5,65,0,1
5,1350,2.8,57,0,1
15,1370,2.9,84,0,1
3,1470,3.21,56,0,1
12,1180,3.5,69,4,0
12,1250,3.33,62,0,1
6,1260,3,79,0,1
2,1250,3.5,55,0,1
3,1350,3.95,89,0,0
24,1240,2.1,78,0,1
3,950,3,83,5,0
6,1550,3,58,3,0
12,1150,3.75,77,4,0
18,1100,2.5,50,1,1
2,1220,3.4,87,0,1
12,1210,3.4,74,7,0
5,1200,3.14,76,7,0
3,1140,2.6,50,0,1
3,1200,3.4,70,0,1
21,1010,2.7,84,0,1
12,1250,3.15,68,2,0
3,1120,2.2,66,0,1
20,1280,3.5,76,0,1
8,1230,2.9,65,0,1
2,850,2.5,65,4,0
15,1300,3.5,68,0,1
6,1220,3.6,78,2,0
2,1090,3.1,74,2,0
1,1320,3,76,4,0
13,1100,3,79,5,0
12,1230,3.8,81,4,0
10,1270,3.15,56,2,0
10,1110,2.75,48,0,1
10,1060,2.8,68,4,0
3,1240,3,62,2,0
2,1070,3.1,70,2,0
10,1150,2.27,46,0,1
4,1110,2.8,88,2,0
8,1060,3.02,68,0,1
18,1060,2.93,74,0,1
5,1200,3.2,88,2,0
4,820,3,67,3,0
20,1170,3,61,0,0
14,860,2.7,62,0,1
8,1255,3.2,69,0,1
4,1130,2.9,59,5,0
5,1078,3,79,2,0
14,1200,2.72,56,0,1
4,1230,3.3,85,2,0
15,1220,2.22,69,0,1
12,1230,3.26,61,2,0
10,1030,3.5,95,7,0
6,1060,3.1,58,2,0
12,1240,3.3,57,2,0
10,1240,3.29,80,2,0
5,1470,3.69,69,2,0
18,1160,2.65,73,0,1
10,1310,3.25,62,0,1
8,1320,2.8,64,0,1
8,1070,3.36,86,2,0
3,1230,2.97,73,0,1
5,1330,3.31,71,0,1
4,1250,3.05,72,0,1
8,970,2.2,84,4,1
3,1090,3.3,120,4,0
12,1350,3.45,77,6,0
5,1360,3.83,80,4,0
5,1190,3,80,4,0
15,1260,3.35,54,8,0
10,1350,2.4,54,0,1
10,1190,3.1,78,0,1
10,1150,3.4,72,2,0
14,1130,2.82,78,0,1
6,1220,2.9,69,2,0
4,1240,3.4,80,0,1
14,1000,3.2,76,7,0
5,1100,3.2,74,5,0
16,1250,3.8,70,0,0
14,1140,3.57,72,2,0
10,1150,3.33,60,0,1
11,1170,2.9,71,0,1
4,1200,3.2,70,0,0
12,1290,3.1,53,1,1
5,1150,3.25,70,0,1
8,1140,3.4,75,0,1
8,1380,3.8,84,2,0
3,1210,3.38,66,0,1
8,1380,3.88,72,4,0
20,1290,2.75,70,0,1
10,1100,2.9,49,0,1
3,1420,3.6,81,5,0
4,1260,2.8,77,0,1
8,1240,2.2,72,1,1
14,1100,3.3,60,0,0
14,1250,2.85,64,0,1
12,1270,3.37,65,2,0
6,1470,3.5,72,2,0
3,1390,3.55,54,6,0
12,1200,3.2,82,2,0
5,1230,2.47,82,0,1
8,1100,2.72,62,0,1
1,1240,3.4,52,0,1
7,1110,3.4,55,5,0
5,1100,3.1,63,0,1
10,1280,3.1,78,2,0
12,1200,2.94,65,3,0
15,1150,3,64,0,1
7,1170,3.6,70,2,0
15,1190,3.5,71,0,1
10,1260,3.4,54,0,1
15,1190,3.5,71,0,1
12,1430,3,54,0,1
10,1340,2.75,70,0,1
12,1380,3.56,65,0,1
5,900,2.7,82,0,1
14,1370,3.68,63,2,0
3,1060,3.5,71,4,0
12,1190,3.5,75,0,1
15,1300,3.4,60,5,0
3,1110,2.6,54,2,0
25,1250,3.25,68,0,0
5,1220,3.3,70,0,1
6,1260,3.2,90,0,1
27,1210,2.9,72,0,1
8,1340,3.85,41,2,0
3,1420,3.4,80,0,0
17,1280,3.4,68,0,1
5,1040,2.7,78,0,1
0,1540,3.81,65,0,1
27,1400,3.4,64,9,0
3,1400,3.23,78,0,1
3,1000,3.1,42,0,1
11,1250,2.89,60,6,0
2,1220,2.81,59,0,1
9,1030,3,54,4,0
12,1220,3.77,70,0,1
15,1400,3.3,52,0,1
2,1420,3,88,0,1
20,1110,2.9,60,5,1
12,1240,3.5,66,5,1
5,1200,3.6,55,0,1
10,1330,3.7,74,0,1
2,1370,3.2,59,0,1
12,1270,2.87,84,0,1
5,1040,3.3,68,0,0
3,1110,3.3,74,2,0
