Game,Date,Location,Opp,Win ,Points,OppPoints,FG,FGA,FG3,FG3A,FT,FTA,Rebounds,OffReb,Assists,Steals,Blocks,Turnovers,Fouls,OppFG,OppFGA,OppFG3,OppFG3A,OppFT,OppFTA,OppRebounds,OppOffReb,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppFouls
1,10/27/2015,Home,NOP,W,111,95,41,96,9,30,20,22,56,21,29,8,7,20,29,35,83,6,18,19,27,33,8,21,9,3,18,26
2,10/30/2015,Away,HOU,W,112,92,43,93,9,26,17,25,47,11,26,9,4,8,24,30,82,5,23,27,36,49,12,19,3,9,16,20
3,10/31/2015,Away,NOP,W,134,120,46,84,17,30,25,35,38,3,26,10,4,10,24,46,100,8,22,20,23,48,16,22,4,4,15,23
4,11/2/2015,Home,MEM,W,119,69,43,84,11,25,22,30,65,10,32,8,13,14,15,26,96,3,23,14,20,44,11,21,8,7,11,24
5,11/4/2015,Home,LAC,W,112,108,39,85,10,26,24,31,42,9,28,6,5,12,22,43,88,8,22,14,22,41,10,24,6,4,11,26
6,11/6/2015,Home,DEN,W,119,104,46,93,17,37,10,18,53,13,40,10,6,20,22,39,92,8,24,18,22,44,9,23,13,5,19,20
7,11/7/2015,Away,SAC,W,103,94,38,92,8,39,19,22,46,15,27,13,2,18,15,38,87,6,19,12,16,45,13,26,9,3,21,19
8,11/9/2015,Home,DET,W,109,95,43,91,12,21,11,13,41,13,29,13,4,16,18,40,85,6,19,9,15,41,12,15,9,3,20,14
9,11/11/2015,Away,MEM,W,100,84,36,75,11,27,17,23,36,7,22,12,8,23,30,24,70,3,15,33,36,41,10,15,14,5,21,26
10,11/12/2015,Away,MIN,W,129,116,48,89,18,38,15,16,33,6,34,8,7,11,25,43,87,3,9,27,36,47,15,21,4,1,13,18
11,11/14/2015,Home,BRK,W,107,99,43,97,12,34,9,10,50,11,31,9,10,14,19,41,98,2,18,15,16,50,11,22,12,4,12,13
12,11/17/2015,Home,TOR,W,115,110,43,80,11,29,18,27,34,9,31,10,6,20,29,37,79,6,18,30,39,40,12,18,11,2,18,25
13,11/19/2015,Away,LAC,W,124,117,38,73,17,30,31,36,44,8,31,4,4,19,20,44,88,13,29,16,24,35,9,21,11,2,10,25
14,11/20/2015,Home,CHI,W,106,94,39,79,10,29,18,24,49,11,20,7,6,15,15,35,88,7,22,17,23,43,15,22,11,2,12,19
15,11/22/2015,Away,DEN,W,118,105,47,89,15,29,9,13,46,11,35,15,8,21,25,37,86,4,15,27,35,41,13,23,9,3,19,15
16,11/24/2015,Home,LAL,W,111,77,45,92,12,35,9,15,48,12,32,9,6,8,13,31,83,3,21,12,16,45,8,16,8,2,14,15
17,11/27/2015,Away,PHO,W,135,116,46,81,22,38,21,31,53,11,32,7,9,23,26,45,92,10,26,16,23,30,7,21,13,2,14,26
18,11/28/2015,Home,SAC,W,120,101,39,80,16,30,26,31,48,13,32,8,7,14,19,39,100,10,25,13,15,48,19,22,9,7,14,24
19,11/30/2015,Away,UTA,W,106,103,40,82,14,29,12,15,45,14,21,2,5,15,19,40,89,6,19,17,22,35,10,18,9,2,8,16
20,12/2/2015,Away,CHO,W,116,99,46,88,16,34,8,11,53,11,31,2,9,18,23,35,94,9,31,20,30,41,13,19,10,7,8,13
21,12/5/2015,Away,TOR,W,112,109,35,73,16,30,26,36,43,8,22,2,5,12,24,40,91,8,20,21,26,38,11,21,9,3,6,27
22,12/6/2015,Away,BRK,W,114,98,44,86,14,33,12,23,46,10,25,9,9,12,18,39,89,5,17,15,23,46,11,21,8,2,13,18
23,12/8/2015,Away,IND,W,131,123,52,95,16,35,11,15,46,10,29,10,6,15,19,44,100,14,33,21,26,44,16,23,8,3,16,18
24,12/11/2015,Away,BOS,W,124,119,42,107,9,31,31,39,67,17,28,10,11,18,22,49,114,12,33,9,16,51,11,32,7,9,15,30
25,12/12/2015,Away,MIL,L,95,108,36,89,6,27,17,25,49,15,23,9,8,16,20,44,90,6,14,14,18,44,8,31,12,4,16,24
26,12/16/2015,Home,PHO,W,128,103,46,88,15,32,21,27,49,9,32,12,4,17,17,41,91,5,22,16,18,41,7,28,11,4,20,20
27,12/18/2015,Home,MIL,W,121,112,42,87,9,26,28,37,46,15,31,7,4,15,22,42,91,4,18,24,28,41,14,25,6,7,16,29
28,12/23/2015,Home,UTA,W,103,85,39,83,9,23,16,16,40,9,26,10,9,15,11,33,80,7,20,12,14,40,12,14,9,3,19,18
29,12/25/2015,Home,CLE,W,89,83,32,78,5,18,20,27,49,8,21,7,10,16,19,30,95,5,30,18,25,55,17,12,6,4,11,22
30,12/28/2015,Home,SAC,W,122,103,43,89,20,42,16,24,59,13,33,12,8,18,25,37,95,13,31,16,28,48,13,23,10,4,14,21
31,12/30/2015,Away,DAL,L,91,114,33,81,7,19,18,24,37,8,20,9,0,12,18,42,82,14,27,16,20,52,12,20,6,4,15,19
32,12/31/2015,Away,HOU,W,114,110,43,84,11,23,17,27,43,12,35,8,5,18,20,36,78,12,30,26,29,33,4,21,13,5,15,22
33,1/2/2016,Home,DEN,W,111,108,43,86,10,28,15,23,47,9,34,9,5,13,22,44,105,5,30,15,23,52,24,27,7,0,13,23
34,1/4/2016,Home,CHO,W,111,101,45,87,15,34,6,6,37,3,32,4,9,11,19,38,86,7,21,18,19,41,8,15,7,1,11,12
35,1/5/2016,Away,LAL,W,109,88,40,86,13,31,16,21,54,10,26,9,9,10,17,29,91,5,21,25,30,52,15,15,7,4,12,16
36,1/8/2016,Away,POR,W,128,108,46,87,18,32,18,21,48,5,36,6,5,15,20,38,96,12,33,20,28,45,12,21,12,4,9,17
37,1/9/2016,Away,SAC,W,128,116,49,87,19,37,11,15,48,9,35,5,8,18,25,43,92,8,23,22,29,34,7,27,8,3,10,22
38,1/11/2016,Home,MIA,W,111,103,41,86,7,23,22,30,49,9,25,5,1,9,18,41,91,7,19,14,16,47,9,31,2,4,10,19
39,1/13/2016,Away,DEN,L,110,112,42,88,10,26,16,20,39,7,25,9,11,13,25,37,87,5,22,33,37,49,13,22,7,3,13,18
40,1/14/2016,Home,LAL,W,116,98,43,86,13,33,17,20,47,12,26,12,4,19,17,40,90,4,23,14,24,47,16,17,13,3,21,19
41,1/16/2016,Away,DET,L,95,113,34,94,10,25,17,23,47,14,18,6,9,12,16,47,101,8,23,11,20,57,17,22,8,11,9,22
42,1/18/2016,Away,CLE,W,132,98,46,85,19,40,21,27,37,6,33,7,2,8,25,37,77,7,19,17,25,36,8,22,3,4,15,25
43,1/20/2016,Away,CHI,W,125,94,50,95,12,32,13,20,55,12,38,8,9,10,17,37,100,1,20,19,24,49,16,14,4,4,10,17
44,1/22/2016,Home,IND,W,122,110,43,90,14,33,22,25,50,14,31,9,4,17,24,44,95,3,17,19,27,44,15,22,11,4,13,20
