Population,Country,Continent,GeneticDiversity,Distance
Adygei,Russia-Caucasus,EUROPE,0.725618352,4680.036674
Balochi,Pakistan,CENTRAL_SOUTH_ASIA,0.740312644,5862.876962
BantuKenya,Kenya,AFRICA,0.746341528,1351.50529
BantuSouthEast,SouthAfrica,AFRICA,0.704061303,4330.710628
BantuSouthWest,BotswanaOrNamibia,AFRICA,0.648644813,3993.011623
Basque,France,EUROPE,0.727197744,6033.080247
Bedouin,Israel-Negev,MIDDLE_EAST,0.745635055,2865.765775
BiakaPygmy,CentralAfricanRepublic,AFRICA,0.759753153,2465.065425
Brahui,Pakistan,CENTRAL_SOUTH_ASIA,0.739480971,5862.876962
Burusho,Pakistan,CENTRAL_SOUTH_ASIA,0.728402554,6496.424257
Cambodian,Cambodia,EAST_ASIA,0.703656207,10281.36706
Colombian,Colombia,AMERICA,0.607094546,22683.60023
Dai,China,EAST_ASIA,0.690332056,9364.775021
Daur,China,EAST_ASIA,0.69403576,10233.95011
Druze,Israel-Carmel,MIDDLE_EAST,0.73675062,2908.073305
French,France,EUROPE,0.740775668,5878.297977
Han,China,EAST_ASIA,0.713398251,10144.01398
Han-NChina,China,EAST_ASIA,0.691360153,9875.571913
Hazara,Pakistan,CENTRAL_SOUTH_ASIA,0.739703065,6153.386568
Hezhen,China,EAST_ASIA,0.693273734,10917.02554
Italian,Italy-Bergamo,EUROPE,0.721209579,5269.85998
Japanese,Japan,EAST_ASIA,0.704217374,11782.92756
Kalash,Pakistan,CENTRAL_SOUTH_ASIA,0.704399489,6274.43795
Karitiana,Brazil,AMERICA,0.565830318,24198.1626
Lahu,China,EAST_ASIA,0.672279693,9320.44601
Makrani,Pakistan,CENTRAL_SOUTH_ASIA,0.747487101,5725.814062
Mandenka,Senegal,AFRICA,0.756813626,5549.892808
Maya,Mexico,AMERICA,0.678419413,19846.53347
MbutiPygmy,Congo,AFRICA,0.742843763,1399.749482
Melanesian,Bougainville,OCEANIA,0.669960341,16189.33369
Miao,China,EAST_ASIA,0.680083014,9896.137256
Mongola,China,EAST_ASIA,0.69710728,9890.672816
Mozabite,Algeria-Mzab,MIDDLE_EAST,0.746465872,5137.335676
Naxi,China,EAST_ASIA,0.680114943,9152.186907
Orcadian,OrkneyIslands,EUROPE,0.717657447,6657.504734
Oroqen,China,EAST_ASIA,0.679067688,10311.34925
Palestinian,Israel-Central,MIDDLE_EAST,0.751297394,2908.073305
Papuan,NewGuinea,OCEANIA,0.67789577,14863.94231
Pathan,Pakistan,CENTRAL_SOUTH_ASIA,0.738670933,6199.580366
Pima,Mexico,AMERICA,0.606253895,18036.60865
Russian,Russia,EUROPE,0.739225543,6087.80351
San,Namibia,AFRICA,0.705593348,3916.941276
Sardinian,Italy,EUROPE,0.730360727,5326.629204
She,China,EAST_ASIA,0.675293742,10838.63214
Sindhi,Pakistan,CENTRAL_SOUTH_ASIA,0.73626258,6222.519247
Tu,China,EAST_ASIA,0.686257982,8888.958151
Tujia,China,EAST_ASIA,0.689821201,9853.315558
Tuscan,Italy,EUROPE,0.70558948,5139.19381
Uygur,China,CENTRAL_SOUTH_ASIA,0.717471264,7092.786466
Xibo,China,EAST_ASIA,0.684877726,7131.109668
Yi,China,EAST_ASIA,0.69238825,9349.609269
Yoruba,Nigeria,AFRICA,0.759488123,3710.859786
