Country,Region,Happiness,LifeExpectancy,Footprint,HLY,HPI,HPIRank,GDPperCapita,HDI,Population
Albania,7,5.5,76.2,2.2,41.7,47.91,54,5316,0.801,3.15
Algeria,3,5.6,71.7,1.7,40.1,51.23,40,7062,0.733,32.85
Angola,4,4.3,41.7,0.9,17.8,26.78,130,2335,0.446,16.1
Argentina,1,7.1,74.8,2.5,53.4,58.95,15,14280,0.869,38.75
Armenia,7,5.0,71.7,1.4,36.1,48.28,48,4945,0.775,3.02
Australia,2,7.9,80.9,7.8,63.7,36.64,102,31794,0.962,20.4
Austria,2,7.8,79.4,5.0,61.9,47.69,57,33700,0.948,8.23
Azerbaijan,7,5.3,67.1,2.2,35.4,41.21,85,5016,0.746,8.39
Bangladesh,5,5.3,63.1,0.6,33.1,54.09,31,2053,0.547,153.28
Belarus,7,5.8,68.7,3.9,40.1,35.67,104,7918,0.804,9.78
Belgium,2,7.6,78.8,5.1,60.0,45.36,64,32119,0.946,10.48
Belize,1,6.6,75.9,2.6,50.2,54.53,27,7109,0.778,0.29
Benin,4,3.0,55.4,1.0,16.7,24.58,134,1141,0.437,8.49
Bhutan,5,6.1,64.7,1.0,39.7,58.50,17,3649,0.579,0.64
Bolivia,1,6.5,64.7,2.1,42.1,49.35,47,2819,0.695,9.18
Bosnia and Herzegovina,7,5.9,74.5,2.9,44.0,44.96,65,7032,0.803,3.78
Botswana,4,4.7,48.1,3.6,22.6,20.85,141,12387,0.654,1.84
Brazil,1,7.6,71.7,2.4,54.3,61.01,9,8402,0.800,186.83
Bulgaria,7,5.5,72.7,2.7,39.8,42.04,82,9032,0.824,7.74
Burkina Faso,4,3.6,51.4,2.0,18.7,22.40,138,1213,0.370,13.93
Burma,5,5.9,60.8,1.1,35.6,51.23,39,1027,0.583,47.97
Burundi,4,2.9,48.5,0.8,14.3,21.84,139,699,0.413,7.86
Cambodia,6,4.9,58.0,0.9,28.4,42.34,80,2727,0.598,13.96
Cameroon,4,3.9,49.8,1.3,19.6,27.22,126,2299,0.532,17.8
Canada,2,8.0,80.3,7.1,64.0,39.40,89,33375,0.961,32.31
Central African Republic,4,4.0,43.7,1.6,17.6,22.88,137,1224,0.384,4.19
Chad,4,5.4,50.4,1.7,27.0,34.27,109,1427,0.388,10.15
Chile,1,6.3,78.3,3.0,49.2,49.72,46,12027,0.867,16.3
