State,Price,Size,Beds,Baths
CA,500,3.2,5,3.5
CA,995,3.7,4,3.5
CA,609,2.2,4,3
CA,1199,2.8,3,2.5
CA,949,1.4,3,2
CA,415,1.7,3,2.5
CA,895,2.1,3,2
CA,775,1.6,3,3
CA,109,0.6,1,1
CA,5900,4.8,4,4.5
CA,219,1.1,3,2
CA,255,1.2,3,2
CA,86,0.6,1,1
CA,62,1.2,3,2
CA,165,1.9,5,3.5
CA,1695,6.9,5,5.5
CA,499,1.4,3,2
CA,47,1.5,3,2
CA,195,2,3,2.5
CA,775,1,2,2
CA,199,1.4,3,2
CA,480,3,5,3
CA,173,0.9,3,1
CA,189,2.5,2,2
CA,230,1.7,3,2
CA,380,2.1,5,3
CA,110,0.8,2,1
CA,499,1.3,3,2
CA,399,1.4,3,2
CA,2450,5,4,5
