State,Price,Size,Beds,Baths
NY,145,1.3,3,1.5
NY,875,2.9,7,3.75
NY,300,1.5,3,2.5
NY,370,1.1,2,1
NY,268,1.5,2,2
NY,1399,4.8,6,5
NY,1125,3.1,3,2.5
NY,299,1.4,3,2
NY,110,1.2,3,1
NY,2999,6,7,8
NY,170,1,2,1
NY,269,1.5,3,1.5
NY,150,1,2,1.5
NY,288,1.8,3,2.1
NY,350,1.3,3,2
NY,120,0.9,1,1
NY,309,2.4,4,2.5
NY,1500,1.5,2,1.5
NY,635,2.5,4,2.5
NY,350,0.9,2,1
NY,459,1.8,4,2.5
NY,275,2.9,4,1.5
NY,275,1.8,3,2
NY,2500,3.7,3,3
NY,187,1.4,3,1.5
NY,238,1.7,3,1.5
NY,155,0.7,1,1
NY,175,1.6,3,1.5
NY,569,3.2,4,2
NY,105,1.2,2,2.5
