Year,Quarter,Houses
2000,Q1,278.2
2000,Q2,357.0
2000,Q3,320.5
2000,Q4,275.2
2001,Q1,273.8
2001,Q2,373.8
2001,Q3,341.1
2001,Q4,284.5
2002,Q1,293.3
2002,Q2,386.0
2002,Q3,360.6
2002,Q4,318.6
2003,Q1,304.1
2003,Q2,406.3
2003,Q3,412.0
2003,Q4,376.7
2004,Q1,345.1
2004,Q2,455.7
2004,Q3,439.9
2004,Q4,369.8
2005,Q1,368.8
2005,Q2,484.7
2005,Q3,470.6
2005,Q4,391.7
2006,Q1,382.3
2006,Q2,432.7
2006,Q3,372.3
2006,Q4,278.0
2007,Q1,259.6
2007,Q2,332.9
2007,Q3,265.3
2007,Q4,188.3
2008,Q1,161.9
2008,Q2,193.9
2008,Q3,163.0
2008,Q4,103.2
2009,Q1,78.3
2009,Q2,123.7
2009,Q3,138.3
2009,Q4,104.7
2010,Q1,114.3
2010,Q2,142.2
2010,Q3,119.0
2010,Q4,95.6
2011,Q1,89.5
2011,Q2,123.4
2011,Q3,117.7
2011,Q4,99.9
2012,Q1,105.5
2012,Q2,151.1
2012,Q3,150.1
2012,Q4,128.6
2013,Q1,136.1
2013,Q2,174.1
2013,Q3,164.9
2013,Q4,142.6
2014,Q1,133.8
2014,Q2,182.6
2014,Q3,177.6
2014,Q4,153.8
2015,Q1,139.9
2015,Q2,205.4
2015,Q3,203.2
2015,Q4,166.1
,,
,,
