 
"","PM05197PA"
"","Índices fin de periodo (variación porcentual) - Índice de Precios al Consumidor (IPC)"
1520,n.d.
1521,n.d.
1522,n.d.
1523,n.d.
1524,n.d.
1525,n.d.
1526,n.d.
1527,n.d.
1528,n.d.
1529,n.d.
1530,n.d.
1531,n.d.
1532,n.d.
1533,n.d.
1534,n.d.
1535,n.d.
1536,n.d.
1537,n.d.
1538,n.d.
1539,n.d.
1540,n.d.
1541,n.d.
1542,n.d.
1543,n.d.
1544,n.d.
1545,n.d.
1546,n.d.
1547,n.d.
1548,n.d.
1549,n.d.
1550,n.d.
1551,n.d.
1552,n.d.
1553,n.d.
1554,n.d.
1555,n.d.
1556,n.d.
1557,n.d.
1558,n.d.
1559,n.d.
1560,n.d.
1561,n.d.
1562,n.d.
1563,n.d.
1564,n.d.
1565,n.d.
1566,n.d.
1567,n.d.
1568,n.d.
1569,n.d.
1570,n.d.
1571,n.d.
1572,n.d.
1573,n.d.
1574,n.d.
1575,n.d.
1576,n.d.
1577,n.d.
1578,n.d.
1579,n.d.
1580,n.d.
1581,n.d.
1582,n.d.
1583,n.d.
1584,n.d.
1585,n.d.
1586,n.d.
1587,n.d.
1588,n.d.
1589,n.d.
1590,n.d.
1591,n.d.
1592,n.d.
1593,n.d.
1594,n.d.
1595,n.d.
1596,n.d.
1597,n.d.
1598,n.d.
1599,n.d.
1600,n.d.
1601,n.d.
1602,n.d.
1603,n.d.
1604,n.d.
1605,n.d.
1606,n.d.
1607,n.d.
1608,n.d.
1609,n.d.
1610,n.d.
1611,n.d.
1612,n.d.
1613,n.d.
1614,n.d.
1615,n.d.
1616,n.d.
1617,n.d.
1618,n.d.
1619,n.d.
1620,n.d.
1621,n.d.
1622,n.d.
1623,n.d.
1624,n.d.
1625,n.d.
1626,n.d.
1627,n.d.
1628,n.d.
1629,n.d.
1630,n.d.
1631,n.d.
1632,n.d.
1633,n.d.
1634,n.d.
1635,n.d.
1636,n.d.
1637,n.d.
1638,n.d.
1639,n.d.
1640,n.d.
1641,n.d.
1642,n.d.
1643,n.d.
1644,n.d.
1645,n.d.
1646,n.d.
1647,n.d.
1648,n.d.
1649,n.d.
1650,n.d.
1651,n.d.
1652,n.d.
1653,n.d.
1654,n.d.
1655,n.d.
1656,n.d.
1657,n.d.
1658,n.d.
1659,n.d.
1660,n.d.
1661,n.d.
1662,n.d.
1663,n.d.
1664,n.d.
1665,n.d.
1666,n.d.
1667,n.d.
1668,n.d.
1669,n.d.
1670,n.d.
1671,n.d.
1672,n.d.
1673,n.d.
1674,n.d.
1675,n.d.
1676,n.d.
1677,n.d.
1678,n.d.
1679,n.d.
1680,n.d.
1681,n.d.
1682,n.d.
1683,n.d.
1684,n.d.
1685,n.d.
1686,n.d.
1687,n.d.
1688,n.d.
1689,n.d.
1690,n.d.
1691,n.d.
1692,n.d.
1693,n.d.
1694,n.d.
1695,n.d.
1696,n.d.
1697,n.d.
1698,n.d.
1699,n.d.
1700,n.d.
1701,n.d.
1702,n.d.
1703,n.d.
1704,n.d.
1705,n.d.
1706,n.d.
1707,n.d.
1708,n.d.
1709,n.d.
1710,n.d.
1711,n.d.
1712,n.d.
1713,n.d.
1714,n.d.
1715,n.d.
1716,n.d.
1717,n.d.
1718,n.d.
1719,n.d.
1720,n.d.
1721,n.d.
1722,n.d.
1723,n.d.
1724,n.d.
1725,n.d.
1726,n.d.
1727,n.d.
1728,n.d.
1729,n.d.
1730,n.d.
1731,n.d.
1732,n.d.
1733,n.d.
1734,n.d.
1735,n.d.
1736,n.d.
1737,n.d.
1738,n.d.
1739,n.d.
1740,n.d.
1741,n.d.
1742,n.d.
1743,n.d.
1744,n.d.
1745,n.d.
1746,n.d.
1747,n.d.
1748,n.d.
1749,n.d.
1750,n.d.
1751,n.d.
1752,n.d.
1753,n.d.
1754,n.d.
1755,n.d.
1756,n.d.
1757,n.d.
1758,n.d.
1759,n.d.
1760,n.d.
1761,n.d.
1762,n.d.
1763,n.d.
1764,n.d.
1765,n.d.
1766,n.d.
1767,n.d.
1768,n.d.
1769,n.d.
1770,n.d.
1771,n.d.
1772,n.d.
1773,n.d.
1774,n.d.
1775,n.d.
1776,n.d.
1777,n.d.
1778,n.d.
1779,n.d.
1780,n.d.
1781,n.d.
1782,n.d.
1783,n.d.
1784,n.d.
1785,n.d.
1786,n.d.
1787,n.d.
1788,n.d.
1789,n.d.
1790,n.d.
1791,n.d.
1792,n.d.
1793,n.d.
1794,n.d.
1795,n.d.
1796,n.d.
1797,n.d.
1798,n.d.
1799,n.d.
1800,n.d.
1801,n.d.
1802,n.d.
1803,n.d.
1804,n.d.
1805,n.d.
1806,n.d.
1807,n.d.
1808,n.d.
1809,n.d.
1810,n.d.
1811,n.d.
1812,n.d.
1813,n.d.
1814,n.d.
1815,n.d.
1816,n.d.
1817,n.d.
1818,n.d.
1819,n.d.
1820,n.d.
1821,n.d.
1822,n.d.
1823,n.d.
1824,n.d.
1825,n.d.
1826,n.d.
1827,n.d.
1828,n.d.
1829,n.d.
1830,n.d.
1831,n.d.
1832,n.d.
1833,n.d.
1834,n.d.
1835,n.d.
1836,n.d.
1837,n.d.
1838,n.d.
1839,n.d.
1840,n.d.
1841,n.d.
1842,n.d.
1843,n.d.
1844,n.d.
1845,n.d.
1846,n.d.
1847,n.d.
1848,n.d.
1849,n.d.
1850,n.d.
1851,n.d.
1852,n.d.
1853,n.d.
1854,n.d.
1855,n.d.
1856,n.d.
1857,n.d.
1858,n.d.
1859,n.d.
1860,n.d.
1861,n.d.
1862,n.d.
1863,n.d.
1864,n.d.
1865,n.d.
1866,n.d.
1867,n.d.
1868,n.d.
1869,n.d.
1870,n.d.
1871,n.d.
1872,n.d.
1873,n.d.
1874,n.d.
1875,n.d.
1876,n.d.
1877,n.d.
1878,n.d.
1879,n.d.
1880,n.d.
1881,n.d.
1882,n.d.
