DATE,IPG2211A2N
1939-01-01,3.3336
1939-02-01,3.3591
1939-03-01,3.4354
1939-04-01,3.4609
1939-05-01,3.4609
1939-06-01,3.5117
1939-07-01,3.5117
1939-08-01,3.5626
1939-09-01,3.6644
1939-10-01,3.6644
1939-11-01,3.6899
1939-12-01,3.6899
1940-01-01,3.7153
1940-02-01,3.7662
1940-03-01,3.7917
1940-04-01,3.7917
1940-05-01,3.8171
1940-06-01,3.8680
1940-07-01,3.8680
1940-08-01,3.9189
1940-09-01,3.9698
1940-10-01,3.9952
1940-11-01,4.0970
1940-12-01,4.0970
1941-01-01,4.1225
1941-02-01,4.1734
1941-03-01,4.2243
1941-04-01,4.2752
1941-05-01,4.3006
1941-06-01,4.3770
1941-07-01,4.4278
1941-08-01,4.4787
1941-09-01,4.5042
1941-10-01,4.5296
1941-11-01,4.5805
1941-12-01,4.6823
1942-01-01,4.7332
1942-02-01,4.7841
1942-03-01,4.8096
1942-04-01,4.8096
1942-05-01,4.8096
1942-06-01,4.8350
1942-07-01,4.9877
1942-08-01,5.0131
1942-09-01,5.0386
1942-10-01,5.0386
1942-11-01,5.1149
1942-12-01,5.1913
1943-01-01,5.1404
1943-02-01,5.2167
1943-03-01,5.2422
1943-04-01,5.3185
1943-05-01,5.3440
1943-06-01,5.4457
1943-07-01,5.4966
1943-08-01,5.5221
1943-09-01,5.6239
1943-10-01,5.6239
1943-11-01,5.7002
1943-12-01,5.7002
1944-01-01,5.6493
1944-02-01,5.7257
1944-03-01,5.8275
1944-04-01,5.8529
1944-05-01,5.8529
1944-06-01,5.8529
1944-07-01,5.8020
1944-08-01,5.8275
1944-09-01,5.8020
1944-10-01,5.7511
1944-11-01,5.8020
1944-12-01,5.8275
1945-01-01,5.9292
1945-02-01,5.9292
1945-03-01,5.9038
1945-04-01,5.9038
1945-05-01,5.9547
1945-06-01,6.0310
1945-07-01,6.0056
1945-08-01,5.9038
1945-09-01,5.8020
1945-10-01,5.7511
1945-11-01,5.8020
1945-12-01,5.8529
1946-01-01,5.8529
1946-02-01,5.8529
1946-03-01,5.8529
1946-04-01,5.9547
1946-05-01,6.0056
1946-06-01,6.0310
1946-07-01,6.1583
1946-08-01,6.2601
1946-09-01,6.3364
1946-10-01,6.4127
1946-11-01,6.4382
1946-12-01,6.4636
1947-01-01,6.6418
1947-02-01,6.5145
1947-03-01,6.4636
1947-04-01,6.4636
1947-05-01,6.4382
1947-06-01,6.4382
1947-07-01,6.4382
1947-08-01,6.6163
1947-09-01,6.7436
1947-10-01,6.7690
1947-11-01,6.8454
1947-12-01,7.1762
1948-01-01,7.5324
1948-02-01,7.3543
1948-03-01,7.3798
1948-04-01,7.2271
1948-05-01,7.0744
1948-06-01,7.1253
1948-07-01,7.1762
1948-08-01,7.3543
1948-09-01,7.4815
1948-10-01,7.5579
1948-11-01,7.6597
1948-12-01,7.9650
1949-01-01,8.1432
1949-02-01,7.9650
1949-03-01,7.8633
1949-04-01,7.6851
1949-05-01,7.5324
1949-06-01,7.5833
1949-07-01,7.6851
1949-08-01,7.8633
1949-09-01,7.9396
1949-10-01,7.8887
1949-11-01,8.0923
1949-12-01,8.5503
1950-01-01,8.9575
1950-02-01,8.7539
1950-03-01,8.8048
1950-04-01,8.7030
1950-05-01,8.6776
1950-06-01,8.7539
1950-07-01,8.7794
1950-08-01,8.9829
1950-09-01,9.1102
1950-10-01,9.2629
1950-11-01,9.3901
1950-12-01,9.7209
1951-01-01,10.2808
1951-02-01,10.1281
1951-03-01,10.1281
1951-04-01,10.1026
1951-05-01,9.8990
1951-06-01,10.0263
1951-07-01,10.0772
1951-08-01,10.3062
1951-09-01,10.4080
1951-10-01,10.3317
1951-11-01,10.5352
1951-12-01,10.8406
1952-01-01,11.3750
1952-02-01,11.1205
1952-03-01,11.0442
1952-04-01,10.7643
1952-05-01,10.5607
1952-06-01,10.6370
1952-07-01,10.8152
1952-08-01,11.1714
1952-09-01,11.3750
1952-10-01,11.3496
1952-11-01,11.4513
1952-12-01,11.8585
1953-01-01,12.2657
1953-02-01,11.8839
1953-03-01,11.9603
1953-04-01,11.8839
1953-05-01,11.7313
1953-06-01,11.8839
1953-07-01,12.0621
1953-08-01,12.2402
1953-09-01,12.2402
1953-10-01,12.1384
1953-11-01,12.0621
1953-12-01,12.4692
1954-01-01,13.1563
1954-02-01,12.8001
1954-03-01,12.7492
1954-04-01,12.5965
1954-05-01,12.3420
1954-06-01,12.5456
1954-07-01,12.8764
1954-08-01,13.2072
1954-09-01,13.2581
1954-10-01,13.1563
1954-11-01,13.2072
1954-12-01,13.8688
1955-01-01,14.2760
1955-02-01,14.2251
1955-03-01,14.2251
1955-04-01,14.0724
1955-05-01,13.7925
1955-06-01,13.9197
