Rain,NAME,DATE,Season,Ave Wind,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF5,WSF5,Fog,Heavy Fog,Thunder,Sleet,Hail,Smoke,High Winds
0,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/1/2016,Winter,4.92,0,0,0,36,46,28,70,13,,,,,,,
0,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/2/2016,Winter,5.59,0,0,0,33,42,25,110,29.1,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/3/2016,Winter,9.17,0.02,0,0,37,40,31,110,36.9,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/4/2016,Winter,7.61,0.15,0,0,36,38,35,10,17,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/5/2016,Winter,5.37,0.11,0,0,38,46,36,80,18.1,1,,,,,,
0,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/6/2016,Winter,6.49,0,0,0,44,53,37,100,16.1,,,,,,,
0,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/7/2016,Winter,2.91,0,0,0,41,44,34,20,8.9,1,1,,,,,
0,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/8/2016,Winter,1.57,0,0,0,42,48,36,120,14.1,1,,,,,,
0,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/9/2016,Winter,2.91,0,0,0,39,49,30,130,12.1,1,1,,,,,
0,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/10/2016,Winter,8.05,0,0,0,43,52,38,110,21.9,,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/11/2016,Winter,6.93,0.16,0,0,41,47,35,150,23,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/12/2016,Winter,11.63,0.51,0,0,45,48,40,120,29.1,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/13/2016,Winter,7.83,0.75,0,0,47,54,41,180,28,1,,,,,,
0,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/14/2016,Winter,6.93,0,0,0,42,48,36,20,16.1,,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/15/2016,Winter,6.04,0.05,0,0,40,47,33,120,18.1,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/16/2016,Winter,9.17,0.4,0,0,46,52,42,210,25.1,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/17/2016,Winter,7.61,0.33,0,0,47,49,43,160,25.1,,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/18/2016,Winter,7.61,0.06,0,0,47,52,43,200,36,,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/19/2016,Winter,4.47,0.49,0,0,45,47,42,360,17,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/20/2016,Winter,6.26,0.27,0,0,44,50,40,120,18.1,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/21/2016,Winter,7.61,1.15,0,0,47,53,45,130,16.1,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/22/2016,Winter,9.4,0.26,0,0,51,55,44,220,25.9,1,,,,,,
1,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/23/2016,Winter,4.7,0.77,0,0,45,46,43,360,16.1,1,,,,,,
