Year,LifeExpectancy,Vehicles
1970,70.8,108.4
1971,71.1,113
1972,71.2,118.8
1973,71.4,125.7
1974,72,129.9
1975,72.6,132.9
1976,72.9,138.5
1977,73.3,142.1
1978,73.5,148.4
1979,73.9,151.9
1980,73.7,155.8
1981,74.1,158.3
1982,74.5,159.6
1983,74.6,163.7
1984,74.7,166.2
1985,74.7,171.7
1986,74.7,175.7
1987,74.9,178.9
1988,74.9,184.4
1989,75.1,187.4
1990,75.4,188.8
1991,75.5,188.1
1992,75.8,190.4
1993,75.5,194.1
1994,75.7,198
1995,75.8,201.5
1996,76.1,206.4
1997,76.5,207.8
1998,76.7,211.6
1999,76.7,216.3
2000,76.9,221.5
2001,77.2,230.4
2002,77.3,229.6
2003,77.4,231.4
2004,77.8,237.2
2005,77.4,241.2
2006,77.7,244.2
2007,77.9,247.3
2008,78.1,248.2
2009,78.5,246.3
2010,78.7,242.1
2011,78.7,244.8
2012,78.8,249.9
2013,78.8,251.9
