Condition,BMGain,Corticosterone,DayPct,Consumption,GlucoseInt,GTT15,GTT120,Activity
Light,9.89,42.132,71.552,3.387,Yes,378.704,328.704,5752
Dark,5.02,87.838,31.063,3.791,No,228.448,134.483,1437
Light,9.58,48.238,61.453,3.451,No,379.091,227.273,1256
Light,11.2,92.191,85.978,3.501,Yes,366.129,383.871,244
Dark,6.67,191.22,41.408,3.923,No,231.183,220.43,2541
Light,9.05,51.999,64.827,4.24,No,392.373,250,1231
Dark,8.17,67.7,47.573,4.489,No,226.563,141.406,346
Dark,2.79,41.017,34.947,4.161,No,323.077,199.038,5837
Light,12.33,12.252,81.6,3.479,Yes,466.346,470.192,3582
Dark,8.13,21.817,41.94,4.416,No,500,190.361,877
Light,9.39,3,87.257,5.94,Yes,259.615,413.462,2657
Light,10.88,132.4,70.441,4.586,No,348.78,126.016,153
Dark,6.34,23.403,40.5,4.89,No,280,118.333,1649
Light,9.37,8.615,84.415,4.873,Yes,335.652,286.957,4482
Dark,6.32,70.47,28.95,4.946,No,299.174,153.719,728
Light,17.4,66.679,81.636,7.177,Yes,435.644,405.941,6702
Dark,3.97,56.718,21.846,4.004,No,461.25,230,6048
