"county_name","county_fips","driver_race_Black","driver_race_White","black_pop","white_pop","pct_black_stopped","pct_white_stopped","wb_delta","bias"
"Adams County",28001,583,359,17757,12856,0.0328321225432224,0.0279247044181705,-0.0049074181250519,"black bias"
"Alcorn County",28003,468,2877,4281,31563,0.109320252277505,0.0911510312707917,-0.0181692210067133,"black bias"
"Amite County",28005,1589,1331,5416,7395,0.293389955686854,0.179986477349561,-0.113403478337293,"black bias"
"Attala County",28007,2096,2107,8194,10649,0.25579692457896,0.197858953892384,-0.057937970686576,"black bias"
"Benton County",28009,121,93,3078,5166,0.039311241065627,0.0180023228803717,-0.0213089181852553,"black bias"
"Bolivar County",28011,3162,1364,21648,11197,0.146064301552106,0.121818344199339,-0.024245957352767,"black bias"
"Calhoun County",28013,726,932,3991,10103,0.181909295915811,0.0922498267841235,-0.0896594691316875,"black bias"
"Carroll County",28015,1082,706,3470,6702,0.311815561959654,0.105341689048045,-0.206473872911609,"black bias"
"Chickasaw County",28017,2394,1474,7549,9522,0.317128096436614,0.154799411888259,-0.162328684548355,"black bias"
"Choctaw County",28019,248,365,2596,5661,0.0955315870570108,0.0644762409468292,-0.0310553461101816,"black bias"
"Claiborne County",28021,1079,308,7918,1271,0.136271785804496,0.242328874901652,0.106057089097156,"white bias"
"Clarke County",28023,313,270,5731,10502,0.0546152503926016,0.025709388687869,-0.0289058617047326,"black bias"
"Clay County",28025,724,257,11809,8213,0.0613091709712931,0.0312918543772069,-0.0300173165940862,"black bias"
"Coahoma County",28027,1706,885,19167,5710,0.0890071477017791,0.154991243432574,0.0659840957307949,"white bias"
"Copiah County",28029,3479,2606,14833,13316,0.234544596507787,0.195704415740463,-0.038840180767324,"black bias"
"Covington County",28031,1198,700,6982,12226,0.171584073331424,0.0572550302633731,-0.114329043068051,"black bias"
"DeSoto County",28033,553,650,40230,120452,0.0137459607258265,0.00539634045096802,-0.00834962027485848,"black bias"
"Forrest County",28035,1806,2629,27910,45641,0.0647079899677535,0.057601717753774,-0.0071062722139795,"black bias"
"Franklin County",28037,1393,1114,2816,4997,0.494673295454545,0.222933760256154,-0.271739535198391,"black bias"
"George County",28039,865,3913,1832,20627,0.472161572052402,0.189702816696563,-0.282458755355839,"black bias"
"Greene County",28041,303,750,3647,10179,0.0830819851933096,0.0736811081638668,-0.0094008770294428,"black bias"
"Grenada County",28043,1211,1433,9417,11991,0.1285972177976,0.119506296388958,-0.009090921408642,"black bias"
"Hancock County",28045,516,3274,4172,39686,0.123681687440077,0.0824976062087386,-0.0411840812313384,"black bias"
"Harrison County",28047,1448,4646,45678,136231,0.0317001620035903,0.034103838333419,0.0024036763298287,"white bias"
"Hinds County",28049,3296,1697,172869,67125,0.0190664607303797,0.0252811918063315,0.0062147310759518,"white bias"
"Holmes County",28051,2975,1341,15498,3105,0.191960252935863,0.431884057971014,0.239923805035151,"white bias"
"Humphreys County",28053,1438,680,6774,2031,0.212282255683496,0.334810438207779,0.122528182524283,"white bias"
"Issaquena County",28055,460,677,841,443,0.546967895362664,1.52821670428894,0.981248808926276,"white bias"
