NFLTeam,NFL_Malevolence,ZPenYds
LA Raiders,5.1,1.19
Pittsburgh,5,0.48
Cincinnati,4.97,0.27
New Orleans,4.83,0.1
Chicago,4.68,0.29
Kansas City,4.58,-0.19
Washington,4.4,-0.07
St. Louis,4.27,-0.01
NY Jets,4.12,0.01
LA Rams,4.1,-0.09
Cleveland,4.05,0.44
San Diego,4.05,0.27
Green Bay,4,-0.73
Philadelphia,3.97,-0.49
Minnesota,3.9,-0.81
Atlanta,3.87,0.3
Indianapolis,3.83,-0.19
San Francisco,3.83,0.09
Seattle,3.82,0.02
Denver,3.8,0.24
Tampa Bay,3.77,-0.41
New England,3.6,-0.18
Buffalo,3.53,0.63
Detroit,3.38,0.04
NY Giants,3.27,-0.32
Dallas,3.15,0.23
Houston,2.88,0.38
Miami,2.8,-1.6
