NHLTeam,NHL_Malevolence,ZPenMin
Vancouver,5.33,0.88
Philadelphia,5.17,2.01
Boston,5.13,0.42
New Jersey,4.45,-0.78
Pittsburgh,4.27,0.64
Chicago,4.18,-0.02
Montreal,4.18,-0.70
Detroit,4.15,0.44
Edmonton,4.15,0.58
Calgary,4.13,-0.40
LA Kings,4.05,-0.20
Buffalo,4.00,-0.68
Minnesota,4.00,-0.11
NY Rangers,3.90,-0.31
NY Islanders,3.80,-0.35
Winnepeg,3.78,-0.30
St. Louis,3.75,-0.09
Washington,3.73,-0.07
Toronto,3.58,0.34
Quebec,3.33,0.41
Hartford,3.32,-0.34
,,
,,
,,
,,
,,
,,
,,
