Animal,Gestation,Longevity
baboon,187,20
"bear,black",219,18
"bear,grizzly",225,25
"bear,polar",240,20
beaver,122,5
buffalo,278,15
camel,406,12
cat,63,12
chimpanzee,231,20
chipmunk,31,6
cow,284,15
deer,201,8
dog,61,12
donkey,365,12
elephant,645,40
elk,250,15
fox,52,7
giraffe,425,10
goat,151,8
gorilla,257,20
guinea pig,68,4
hippopotamus,238,25
horse,330,20
kangaroo,42,7
leopard,98,12
lion,100,15
monkey,164,15
moose,240,12
mouse,21,3
opposum,15,1
pig,112,10
puma,90,12
rabbit,31,5
rhinoceros,450,15
sea lion,350,12
sheep,154,12
squirrel,44,10
tiger,105,16
wolf,63,5
zebra,365,15
