Husband,Wife
53,50
38,34
46,44
30,36
31,23
26,31
29,25
48,51
65,46
29,26
28,23
29,32
25,22
22,21
21,24
43,50
24,27
38,33
33,26
35,29
40,29
27,25
27,24
49,38
48,39
27,27
26,24
40,34
35,37
21,26
32,39
30,28
60,52
36,40
25,23
66,55
52,34
41,40
43,40
53,44
25,22
30,33
22,19
33,34
53,40
34,29
75,67
23,21
39,30
22,21
27,24
27,25
27,27
29,29
24,27
32,24
19,18
34,26
39,38
60,52
30,27
27,24
25,22
49,39
31,30
22,22
25,23
29,32
26,25
49,52
63,45
27,27
29,31
22,21
41,41
28,20
20,18
24,22
29,33
45,45
38,34
50,43
23,22
48,41
40,38
34,30
37,30
35,30
27,26
34,28
48,39
25,24
21,20
26,23
24,27
24,22
21,22
29,31
31,25
29,28
20,18
67,68
29,27
49,51
45,40
