Choice,NoChoice,Difference
114,131,-17
126,136,-10
140,130,10
121,122,-1
123,130,-7
123,144,-21
137,133,4
114,124,-10
118,110,8
123,135,-12
116,128,-12
128,132,-4
141,145,-4
131,142,-11
125,179,-54
138,115,23
111,140,-29
128,135,-7
126,142,-16
111,105,6
122,124,-2
123,111,12
142,123,19
127,98,29
132,135,-3
133,112,21
98,106,-8
117,103,14
98,116,-18
132,96,36
104,116,-12
125,114,11
118,114,4
117,108,9
116,104,12
110,114,-4
132,111,21
106,101,5
110,115,-5
139,131,8
101,99,2
125,110,15
117,112,5
118,111,7
116,109,7
105,95,10
129,120,9
124,106,18
113,92,21
124,112,12
