Number,Gender,Age Range,Have Bak Account,Bank account connected to MB,MB used for,Importance,Benefit,Bank Visit,MB Safety,Influence,Satisfaction
1,Male,21-30,Yes,Current Account,Airtime Purchase,Very,CostCharges,FewTimesAyear,Somewhat,TimeSaving,HighlySatisfactory
2,Female,21-30,Yes,Current Account,Money Transfer,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,HighlySatisfactory
3,Female,21-30,Yes,Current Account,Making Payments,Very,CostCharges,FewTimesAyear,Very,TimeSaving,HighlySatisfactory
4,Female,21-30,Yes,Current Account,Airtime Purchase,,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
5,Female,21-30,Yes,Current Account,Making Payments,Very,CostCharges,FewTimesAyear,Very,TimeSaving,Average
6,Female,31-40,Yes,Savings Account,Making Payments,Very,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
7,Male,21-30,Yes,Current Account,Cash Withdraw,Somewhat,CostCharges,FewTimesAyear,Very,TimeSaving,Satisfactory
8,Male,21-30,Yes,Current Account,Making Payments,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,HighlySatisfactory
9,Male,21-30,Yes,Current Account,Making Payments,Very,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
10,Female,21-30,Yes,Current Account,Making Payments,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
11,Female,21-30,Yes,Savings Account,Making Payments,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
12,Male,41-50,Yes,Savings Account,Airtime Purchase,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
13,Male,21-30,Yes,Current Account,Making Payments,Very,CostCharges,FewTimesAyear,Very,TimeSaving,Satisfactory
14,Male,21-30,Yes,Current Account,Making Payments,Very,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
15,Male,21-30,Yes,Current Account,Airtime Purchase,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
16,Female,21-30,Yes,Current Account,Cash Withdraw,Very,CostCharges,FewTimesAyear,Very,TimeSaving,Satisfactory
17,Male,21-30,Yes,Current Account,Making Payments,Very,GoodService,FewTimesAyear,Very,CostSaving,HighlySatisfactory
18,Male,21-30,Yes,Current Account,Cash Withdraw,Very,CostCharges,OnceMonth,Somewhat,TimeSaving,Satisfactory
19,Male,21-30,Yes,Current Account,Cash Withdraw,Very,GoodService,OnceMonth,Somewhat,TimeSaving,Average
20,Male,21-30,Yes,Current Account,Cash Withdraw,Very,GoodService,OnceMonth,Somewhat,TimeSaving,Average
21,Male,21-30,Yes,Current Account,Cash Withdraw,Somewhat,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
22,Male,31-40,Yes,Savings Account,Making Payments,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
23,Female,31-40,Yes,Savings Account,Making Payments,Very,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Average
24,Male,21-30,Yes,Current Account,Airtime Purchase,Very,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
25,Male,21-30,Yes,Business Account,Making Payments,Very,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
27,Female,21-30,Yes,Current Account,Money Transfer,Somewhat,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
28,Female,21-30,Yes,Savings Account,Making Payments,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Average
29,Female,31-40,Yes,Current Account,Making Payments,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
30,Female,31-40,Yes,Savings Account,Making Payments,Very,CostCharges,FewTimesAyear,Very,TimeSaving,HighlySatisfactory
31,Female,21-30,Yes,Current Account,Making Payments,Somewhat,CostCharges,FewTimesAyear,NotAtAll,TimeSaving,Average
32,Female,21-30,Yes,Current Account,Making Payments,Somewhat,CostCharges,FewTimesAyear,NotAtAll,TimeSaving,Average
33,Female,21-30,Yes,Current Account,Making Payments,Somewhat,CostCharges,FewTimesAyear,NotAtAll,TimeSaving,Average
34,Female,21-30,Yes,Current Account,Making Payments,Very,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
35,Male,21-30,Yes,Current Account,Cash Withdraw,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
36,Male,21-30,Yes,Current Account,Cash Withdraw,Somewhat,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Average
37,Male,21-30,Yes,Current Account,Making Payments,Very,CostCharges,OnceMonth,Somewhat,TimeSaving,Satisfactory
38,Female,21-30,Yes,Current Account,Making Payments,Somewhat,CostCharges,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
39,Male,21-30,Yes,Current Account,Making Payments,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
40,Male,21-30,Yes,Current Account,Cash Withdraw,Somewhat,GoodService,FewTimesAyear,Very,TimeSaving,Satisfactory
43,Female,21-30,Yes,Savings Account,Money Transfer,Very,GoodService,OnceMonth,Very,TimeSaving,HighlySatisfactory
45,Male,21-30,Yes,None,Money Transfer,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
46,Female,31-40,Yes,Current Account,Making Payments,Very,CostCharges,FewTimesAyear,Very,CostSaving,Satisfactory
47,Male,21-30,Yes,Current Account,Cash Withdraw,Very,GoodService,FewTimesAyear,Somewhat,TimeSaving,Satisfactory
