"DATE","DAUTONSA","year"
2011-01-01,258.576,2011
2011-02-01,338.615,2011
2011-03-01,445.315,2011
2011-04-01,405.418,2011
2011-05-01,362.214,2011
2011-06-01,348.95,2011
2011-07-01,329.517,2011
2011-08-01,340.459,2011
2011-09-01,327.466,2011
2011-10-01,321.021,2011
2011-11-01,304.949,2011
2011-12-01,363.464,2011
2012-01-01,323.424,2012
2012-02-01,430.209,2012
2012-03-01,528.054,2012
2012-04-01,431.834,2012
2012-05-01,491.05,2012
2012-06-01,459.854,2012
2012-07-01,393.252,2012
2012-08-01,452.837,2012
2012-09-01,411.972,2012
2012-10-01,369.82,2012
2012-11-01,382.692,2012
2012-12-01,444.846,2012
2013-01-01,383.879,2013
2013-02-01,446.362,2013
2013-03-01,544.516,2013
2013-04-01,466.742,2013
2013-05-01,519.361,2013
2013-06-01,499.66,2013
2013-07-01,446.915,2013
2013-08-01,516.827,2013
2013-09-01,383.073,2013
2013-10-01,398.003,2013
2013-11-01,406.615,2013
2013-12-01,421.205,2013
2014-01-01,344.189,2014
2014-02-01,409.921,2014
2014-03-01,534.342,2014
2014-04-01,470.222,2014
2014-05-01,564.577,2014
2014-06-01,499.801,2014
2014-07-01,479.974,2014
2014-08-01,556.87,2014
2014-09-01,414.495,2014
2014-10-01,430.949,2014
2014-11-01,428.752,2014
2014-12-01,475.786,2014
2015-01-01,386.01,2015
2015-02-01,419.495,2015
2015-03-01,525.027,2015
2015-04-01,477.314,2015
2015-05-01,563.176,2015
2015-06-01,491.397,2015
2015-07-01,481.665,2015
2015-08-01,496.815,2015
2015-09-01,446.569,2015
2015-10-01,447.743,2015
2015-11-01,387.789,2015
2015-12-01,472.123,2015
2016-01-01,361.397,2016
2016-02-01,427.27,2016
2016-03-01,502.115,2016
2016-04-01,447.76,2016
2016-05-01,468.254,2016
2016-06-01,452.263,2016
2016-07-01,437.189,2016
2016-08-01,433.38,2016
2016-09-01,419.56,2016
2016-10-01,377.266,2016
2016-11-01,374.906,2016
2016-12-01,444.215,2016
2017-01-01,307.619,2017
2017-02-01,368.826,2017
2017-03-01,446.58,2017
2017-04-01,411.024,2017
2017-05-01,433.909,2017
2017-06-01,399.619,2017
2017-07-01,376.212,2017
2017-08-01,394.215,2017
2017-09-01,406.634,2017
2017-10-01,345.309,2017
2017-11-01,340.959,2017
