Player,Pos,Age,Team,Games,Starts,Mins,MinPerGame,FGMade,FGAttempt,FGPct,FG3Made,FG3Attempt,FG3Pct,FTMade,FTAttempt,FTPct,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Steven Adams,C,21,OKC,70,67,1771,25.3,217,399,0.544,0,2,0,103,205,0.502,199,324,523,66,38,86,99,222,537
Arron Afflalo,SG,29,TOT,78,72,2502,32.1,375,884,0.424,118,333,0.354,167,198,0.843,27,220,247,129,41,7,116,167,1035
LaMarcus Aldridge,PF,29,POR,71,71,2512,35.4,659,1415,0.466,37,105,0.352,306,362,0.845,177,549,726,124,48,68,122,125,1661
Tony Allen,SG,33,MEM,63,41,1648,26.2,225,455,0.495,10,29,0.345,79,126,0.627,103,177,280,86,129,30,86,166,539
Ryan Anderson,PF,26,NOP,61,5,1675,27.5,291,729,0.399,122,359,0.34,129,151,0.854,108,187,295,55,33,20,62,113,833
Giannis Antetokounmpo,SG,20,MIL,81,71,2541,31.4,383,780,0.491,7,44,0.159,257,347,0.741,100,442,542,207,73,85,173,254,1030
Carmelo Anthony,SF,30,NYK,40,40,1428,35.7,358,806,0.444,61,179,0.341,189,237,0.797,72,192,264,122,40,17,89,87,966
Trevor Ariza,SF,29,HOU,82,82,2930,35.7,366,910,0.402,194,555,0.35,122,143,0.853,77,382,459,209,152,17,141,186,1048
Omer Asik,C,28,NOP,76,76,1982,26.1,213,412,0.517,0,0,,131,225,0.582,244,504,748,72,29,54,95,144,557
D.J. Augustin,PG,27,TOT,82,14,1964,24,258,647,0.399,83,246,0.337,178,205,0.868,20,141,161,353,49,3,145,93,777
Andrea Bargnani,C,29,NYK,29,22,785,27.1,164,361,0.454,15,41,0.366,87,107,0.813,32,95,127,46,2,27,42,53,430
Harrison Barnes,SF,22,GSW,82,82,2318,28.3,316,656,0.482,87,215,0.405,108,150,0.72,117,336,453,116,61,19,71,146,827
Matt Barnes,SF,34,LAC,76,74,2271,29.9,277,624,0.444,136,376,0.362,74,95,0.779,51,251,302,114,67,50,87,240,764
Nicolas Batum,SF,26,POR,71,71,2380,33.5,240,600,0.4,100,309,0.324,84,98,0.857,62,354,416,341,78,40,132,106,664
Bradley Beal,SG,21,WAS,63,59,2107,33.4,363,851,0.427,106,259,0.409,130,166,0.783,57,184,241,194,76,18,123,136,962
Patrick Beverley,PG,26,HOU,56,55,1727,30.8,204,532,0.383,115,323,0.356,45,60,0.75,67,170,237,192,59,23,83,182,568
Eric Bledsoe,PG,25,PHO,81,81,2800,34.6,468,1046,0.447,88,272,0.324,353,441,0.8,72,351,423,493,127,45,274,189,1377
Chris Bosh,C,30,MIA,44,44,1556,35.4,343,745,0.46,63,168,0.375,179,232,0.772,46,264,310,95,41,25,95,69,928
Avery Bradley,SG,24,BOS,77,77,2428,31.5,434,1012,0.429,124,352,0.352,79,100,0.79,46,195,241,135,82,15,109,177,1071
Corey Brewer,SF,28,TOT,80,17,2087,26.1,343,805,0.426,63,235,0.268,168,226,0.743,80,217,297,173,114,19,131,173,917
Jabari Brown,SG,22,LAL,19,5,568,29.9,70,170,0.412,23,62,0.371,64,85,0.753,3,33,36,40,12,2,32,33,227
Kobe Bryant,SG,36,LAL,35,35,1207,34.5,266,713,0.373,54,184,0.293,196,241,0.813,26,173,199,197,47,7,128,65,782
Trey Burke,PG,22,UTA,76,43,2288,30.1,370,1005,0.368,124,390,0.318,109,145,0.752,31,173,204,328,65,15,124,119,973
Alec Burks,SG,23,UTA,27,27,899,33.3,121,300,0.403,26,68,0.382,106,129,0.822,19,95,114,82,17,5,52,64,374
Jimmy Butler,SG,25,CHI,65,65,2513,38.7,421,912,0.462,73,193,0.378,386,463,0.834,114,265,379,212,114,36,93,108,1301
Jose Calderon,PG,33,NYK,42,42,1270,30.2,147,354,0.415,59,142,0.415,29,32,0.906,19,105,124,198,31,0,75,76,382
Kentavious Caldwell-Pope,SG,21,DET,82,82,2587,31.5,390,972,0.401,153,444,0.345,110,158,0.696,46,209,255,109,93,18,94,161,1043
DeMarre Carroll,SF,28,ATL,70,69,2189,31.3,318,653,0.487,120,304,0.395,127,181,0.702,99,273,372,118,94,17,75,154,883
Michael Carter-Williams,PG,23,TOT,66,63,2149,32.6,364,919,0.396,36,153,0.235,202,291,0.694,64,289,353,442,111,30,253,167,966
Mario Chalmers,PG,28,MIA,80,37,2368,29.6,267,663,0.403,73,248,0.294,206,266,0.774,24,182,206,307,122,10,173,251,813
Tyson Chandler,C,32,DAL,75,75,2286,30.5,293,440,0.666,0,0,,185,257,0.72,294,570,864,84,42,91,105,169,771
Wilson Chandler,SF,27,DEN,78,75,2471,31.7,418,975,0.429,139,406,0.342,110,142,0.775,96,379,475,134,58,29,110,231,1085
Jordan Clarkson,PG,22,LAL,59,38,1476,25,267,596,0.448,38,121,0.314,131,158,0.829,56,135,191,206,51,12,96,109,703
Norris Cole,PG,26,TOT,75,25,1831,24.4,230,558,0.412,55,176,0.313,58,81,0.716,13,146,159,255,57,15,99,124,573
Darren Collison,PG,27,SAC,45,45,1565,34.8,260,550,0.473,60,161,0.373,145,184,0.788,19,124,143,252,67,14,112,95,725
Mike Conley,PG,27,MEM,70,70,2225,31.8,393,882,0.446,107,277,0.386,214,249,0.859,29,180,209,375,89,14,156,139,1107
DeMarcus Cousins,C,24,SAC,59,59,2013,34.1,498,1066,0.467,2,8,0.25,423,541,0.782,185,562,747,210,90,103,254,241,1421
Robert Covington,SF,24,PHI,70,49,1956,27.9,299,756,0.396,167,446,0.374,178,217,0.82,65,251,316,105,97,31,128,189,943
Jamal Crawford,SG,34,LAC,64,4,1703,26.6,332,839,0.396,119,364,0.327,227,252,0.901,18,106,124,158,59,14,92,108,1010
Dante Cunningham,PF,27,NOP,66,27,1652,25,155,339,0.457,1,10,0.1,29,47,0.617,70,186,256,50,46,37,35,101,340
Stephen Curry,PG,26,GSW,80,80,2613,32.7,653,1341,0.487,286,646,0.443,308,337,0.914,56,285,341,619,163,16,249,158,1900
Anthony Davis,PF,21,NOP,68,68,2455,36.1,642,1199,0.535,1,12,0.083,371,461,0.805,173,523,696,149,100,200,95,141,1656
