Team,Wins,Losses,WinPct,PtsFor,PtsAgainst
Golden State Warriors ,73,9,0.89,114.9,104.1
San Antonio Spurs,67,15,0.817,103.5,92.9
Cleveland Cavaliers,57,25,0.695,104.3,98.3
Toronto Raptors,56,26,0.683,102.7,98.2
Oklahoma City Thunder,55,27,0.671,110.2,102.9
Los Angeles Clippers,53,29,0.646,104.5,100.2
Miami Heat,48,34,0.585,100,98.4
Atlanta Hawks,48,34,0.585,102.8,99.2
Boston Celtics ,48,34,0.585,105.7,102.5
Charlotte Hornets,48,34,0.585,103.4,100.7
Indiana Pacers,45,37,0.549,102.2,100.5
Detroit Pistons,44,38,0.537,102,101.4
Portland Trail Blazers ,44,38,0.537,105.1,104.3
Chicago Bulls,42,40,0.512,101.6,103.1
Dallas Mavericks,42,40,0.512,102.3,102.6
Memphis Grizzlies,42,40,0.512,99.1,101.3
Washington Wizards,41,41,0.5,104.1,104.6
Houston Rockets,41,41,0.5,106.5,106.4
Utah Jazz,40,42,0.488,97.7,95.9
Orlando Magic,35,47,0.427,102.1,103.7
Milwaukee Bucks,33,49,0.402,99,103.2
Sacramento Kings,33,49,0.402,106.6,109.1
Denver Nuggets,33,49,0.402,101.9,105
New York Knicks,32,50,0.39,98.4,101.1
New Orleans Pelicans,30,52,0.366,102.7,106.5
Minnesota Timberwolves,29,53,0.354,102.4,106
Phoenix Suns,23,59,0.28,100.9,107.5
Brooklyn Nets,21,61,0.256,98.6,106
Los Angeles Lakers,17,65,0.207,97.3,106.9
Philadelphia 76ers,10,72,0.122,97.4,107.6
