Player,Position,Team,TotalMoney,YearlySalary
Aaron Rodgers,QB,Packers,110,22
Russell Wilson,QB,Seahawks,87.6,21.9
Ben Roethlisberger,QB,Steelers,87.4,21.85
Philip Rivers,QB,Chargers,83.25,20.813
Cam Newton,QB,Panthers,103.8,20.76
Matt Ryan,QB,Falcons,103.75,20.75
Joe Flacco,QB,Ravens,120.6,20.1
Drew Brees,QB,Saints,100,20
Ryan Tannehill,QB,Dolphins,77,19.25
Ndamukong Suh,43DT,Dolphins,114.375,19.063
Colin Kaepernick,QB,49ers,114,19
Jay Cutler,QB,Bears,126.7,18.1
Tony Romo,QB,Cowboys,108,18
Matt Stafford,QB,Lions,53,17.667
Alex Smith,QB,Chiefs,68,17
Peyton Manning,QB,Broncos,34,17
Justin Houston,34OLB,Chiefs,101,16.833
JJ Watt,34DE,Texans,100,16.667
Carson Palmer,QB,Cardinals,49.5,16.5
Eli Manning,QB,Giants,97.5,16.25
Calvin Johnson,WR,Lions,113.45,16.207
Mario Williams,43DE,Bills,96,16
Andy Dalton,QB,Bengals,96,16
Marcell Dareus,43DT,Bills,95.1,15.85
AJ Green,WR,Bengals,60,15
Jason Pierre Paul,43DE,Giants,14.813,14.813
Robert Quinn,43DE,Rams,57.015,14.254
Julio Jones,WR,Falcons,71.25,14.25
Darrelle Revis,CB,Jets,70.121,14.024
Patrick Peterson,CB,Cardinals,70.05,14.01
Dez Bryant,WR,Cowboys,70,14
Demaryius Thomas,WR,Broncos,70,14
Richard Sherman,CB,Seahawks,56,14
Adrian Peterson,RB,Vikings,42,14
Gerald McCoy,43DT,Buccaneers,95.2,13.6
Joe Haden,CB,Browns,67.5,13.5
Trent Williams,LT,Redskins,66,13.2
Clay Matthews,34OLB,Packers,66,13.2
Sam Bradford,QB,Eagles,78,13
TY Hilton,WR,Colts,65,13
Charles Johnson,43DE,Panthers,76,12.667
Luke Kuechly,ILB,Panthers,61.795,12.359
Nick Foles,QB,Rams,24.5,12.25
Tyron Smith,LT,Cowboys,97.6,12.2
Haloti Ngata,43DT,Lions,48.524,12.131
Chris Long,43DE,Rams,48.19,12.048
Mike Wallace,WR,Vikings,60,12
Marshawn Lynch,RB,Seahawks,24,12
Joe Thomas,LT,Browns,80.5,11.5
Ryan Kerrigan,34OLB,Redskins,57.5,11.5
Greg Hardy,43DE,Cowboys,11.312,11.312
Vincent Jackson,WR,Buccaneers,55.556,11.111
Calais Campbell,34DE,Cardinals,55,11
Jeremy Maclin,WR,Chiefs,55,11
