Team,Season,Preseason,RegularWins
ARZ,2005,3,5
ARZ,2006,2,5
ARZ,2007,0,8
ARZ,2008,2,9
ARZ,2009,0,10
ARZ,2010,3,5
ARZ,2011,2,8
ARZ,2012,1,5
ARZ,2013,3,10
ARZ,2014,1,11
ATL,2005,4,8
ATL,2006,2,7
ATL,2007,3,4
ATL,2008,2,11
ATL,2009,2,9
ATL,2010,2,13
ATL,2011,0,10
ATL,2012,1,13
ATL,2013,0,4
ATL,2014,2,6
BLT,2005,2,6
BLT,2006,2,13
BLT,2007,1,5
BLT,2008,1,11
BLT,2009,4,9
BLT,2010,3,12
BLT,2011,3,12
BLT,2012,2,10
BLT,2013,2,8
BLT,2014,4,10
BUF,2005,2,5
BUF,2006,1,7
BUF,2007,2,7
BUF,2008,2,7
BUF,2009,1,6
BUF,2010,2,4
BUF,2011,1,6
BUF,2012,0,6
BUF,2013,2,6
BUF,2014,1,9
CAR,2005,2,11
CAR,2006,4,8
CAR,2007,1,7
CAR,2008,2,12
CAR,2009,0,8
CAR,2010,1,2
CAR,2011,1,6
CAR,2012,2,7
CAR,2013,3,12
CAR,2014,2,7
CHI,2005,3,11
CHI,2006,2,13
CHI,2007,3,7
CHI,2008,1,9
CHI,2009,3,7
CHI,2010,0,11
CHI,2011,2,8
CHI,2012,3,10
CHI,2013,2,8
CHI,2014,2,5
CIN,2005,2,11
CIN,2006,4,8
CIN,2007,1,7
CIN,2008,2,4
CIN,2009,2,10
CIN,2010,3,4
CIN,2011,1,9
CIN,2012,2,10
CIN,2013,3,11
CIN,2014,2,10
CLV,2005,3,6
CLV,2006,2,4
CLV,2007,3,10
CLV,2008,0,4
CLV,2009,2,5
CLV,2010,2,5
CLV,2011,1,4
CLV,2012,2,5
CLV,2013,3,4
CLV,2014,1,7
DAL,2005,3,9
DAL,2006,3,9
DAL,2007,2,13
DAL,2008,2,9
DAL,2009,2,11
DAL,2010,3,6
DAL,2011,2,8
DAL,2012,3,8
DAL,2013,2,8
DAL,2014,0,12
DEN,2005,4,13
DEN,2006,3,9
DEN,2007,2,7
DEN,2008,2,8
DEN,2009,1,8
DEN,2010,1,4
DEN,2011,2,8
DEN,2012,2,13
DEN,2013,2,13
DEN,2014,3,12
DET,2005,1,5
DET,2006,1,3
DET,2007,2,7
DET,2008,4,0
DET,2009,3,2
DET,2010,3,6
DET,2011,4,10
DET,2012,2,4
DET,2013,3,7
DET,2014,3,11
GB,2005,2,4
GB,2006,1,8
GB,2007,2,13
GB,2008,1,6
GB,2009,3,11
GB,2010,2,10
GB,2011,3,15
GB,2012,2,11
GB,2013,1,8
GB,2014,3,12
HST,2005,1,2
HST,2006,3,6
HST,2007,2,8
HST,2008,2,8
HST,2009,2,9
HST,2010,1,6
HST,2011,3,10
HST,2012,3,12
HST,2013,3,2
HST,2014,2,9
IND,2005,0,14
IND,2006,1,12
IND,2007,1,13
