ANIO,MES,DEPARTAMENTO,PROVINCIA,DISTRITO,PRESTADOR,CONEX_ACTIVAS
2021,202101,TACNA,TACNA,TACNA,EPS TACNA S.A.,87170
2021,202102,TACNA,TACNA,TACNA,EPS TACNA S.A.,87151
2021,202103,TACNA,TACNA,TACNA,EPS TACNA S.A.,86880
2021,202104,TACNA,TACNA,TACNA,EPS TACNA S.A.,86789
2021,202105,TACNA,TACNA,TACNA,EPS TACNA S.A.,86862
2021,202106,TACNA,TACNA,TACNA,EPS TACNA S.A.,86302
2021,202107,TACNA,TACNA,TACNA,EPS TACNA S.A.,86009
2021,202108,TACNA,TACNA,TACNA,EPS TACNA S.A.,86381
2021,202109,TACNA,TACNA,TACNA,EPS TACNA S.A.,86023
2021,202110,TACNA,TACNA,TACNA,EPS TACNA S.A.,86037
2021,202111,TACNA,TACNA,TACNA,EPS TACNA S.A.,86478
2021,202112,TACNA,TACNA,TACNA,EPS TACNA S.A.,86490
2021,202101,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1541166
2021,202102,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1542110
2021,202103,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1538711
2021,202104,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1541464
2021,202105,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1542872
2021,202106,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1544092
2021,202107,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1544841
2021,202108,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1541395
2021,202109,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1536541
2021,202110,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1539531
2021,202111,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1541494
2021,202112,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1543892
2021,202101,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,179210
2021,202102,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,178593
2021,202103,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,178922
2021,202104,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,179452
2021,202105,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,180308
2021,202106,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,180390
2021,202107,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,181071
2021,202108,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,181566
2021,202109,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,182090
2021,202110,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,182558
2021,202111,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,183134
2021,202112,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,183342
2021,202101,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166128
2021,202102,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166268
2021,202103,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166359
2021,202104,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166735
2021,202105,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166944
2021,202106,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,167116
2021,202107,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166834
2021,202108,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166569
2021,202109,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166356
2021,202110,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166527
2021,202111,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166872
2021,202112,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166795
2021,202101,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,302858
2021,202102,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,303687
2021,202103,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,304313
2021,202104,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,305000
2021,202105,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,305568
2021,202106,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,306041
2021,202107,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,306596
2021,202108,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,306703
2021,202109,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,307211
2021,202110,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,308200
2021,202111,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,308817
2021,202112,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,309416
2021,202101,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,90113
2021,202102,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,90254
2021,202103,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,90615
2021,202104,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,91024
2021,202105,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,91228
2021,202106,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,91524
2021,202107,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,91707
2021,202108,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,94460
2021,202109,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,94651
2021,202110,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,94301
2021,202111,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,94031
2021,202112,CUSCO,CUSCO,CUSCO,EPS SEDACUSCO S.A.,94381
2021,202101,PIURA,PIURA,PIURA,EPS GRAU S.A.,199546
2021,202102,PIURA,PIURA,PIURA,EPS GRAU S.A.,199732
2021,202103,PIURA,PIURA,PIURA,EPS GRAU S.A.,199195
2021,202104,PIURA,PIURA,PIURA,EPS GRAU S.A.,199591
2021,202105,PIURA,PIURA,PIURA,EPS GRAU S.A.,199892
2021,202106,PIURA,PIURA,PIURA,EPS GRAU S.A.,200156
2021,202107,PIURA,PIURA,PIURA,EPS GRAU S.A.,200412
2021,202108,PIURA,PIURA,PIURA,EPS GRAU S.A.,200477
2021,202109,PIURA,PIURA,PIURA,EPS GRAU S.A.,201046
2021,202110,PIURA,PIURA,PIURA,EPS GRAU S.A.,201339
2021,202111,PIURA,PIURA,PIURA,EPS GRAU S.A.,202012
2021,202112,PIURA,PIURA,PIURA,EPS GRAU S.A.,202319
2022,202201,TACNA,TACNA,TACNA,EPS TACNA S.A.,86403
2022,202202,TACNA,TACNA,TACNA,EPS TACNA S.A.,86265
2022,202203,TACNA,TACNA,TACNA,EPS TACNA S.A.,86921
2022,202204,TACNA,TACNA,TACNA,EPS TACNA S.A.,86490
2022,202205,TACNA,TACNA,TACNA,EPS TACNA S.A.,86695
2022,202206,TACNA,TACNA,TACNA,EPS TACNA S.A.,86961
2022,202207,TACNA,TACNA,TACNA,EPS TACNA S.A.,86980
2022,202208,TACNA,TACNA,TACNA,EPS TACNA S.A.,87038
2022,202209,TACNA,TACNA,TACNA,EPS TACNA S.A.,87099
2022,202210,TACNA,TACNA,TACNA,EPS TACNA S.A.,87491
2022,202211,TACNA,TACNA,TACNA,EPS TACNA S.A.,87440
2022,202212,TACNA,TACNA,TACNA,EPS TACNA S.A.,87423
2022,202201,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1545380
2022,202202,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1547550
2022,202203,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1550059
2022,202204,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1551722
2022,202205,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1553861
2022,202206,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1554568
2022,202207,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1556205
2022,202208,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1555802
2022,202209,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1558158
2022,202210,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1558518
2022,202211,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1560968
2022,202212,LIMA,LIMA,EL AGUSTINO,SEDAPAL,1560140
2022,202201,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,183797
2022,202202,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,183966
2022,202203,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,184855
2022,202204,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,185338
2022,202205,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,183020
2022,202206,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,180134
2022,202207,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,177459
2022,202208,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,177157
2022,202209,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,178351
2022,202210,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,178937
2022,202211,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,179926
2022,202212,LA LIBERTAD,TRUJILLO,TRUJILLO,SEDALIB S.A.,179005
2022,202201,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166717
2022,202202,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,167290
2022,202203,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,168610
2022,202204,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,167255
2022,202205,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,167606
2022,202206,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166145
2022,202207,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166874
2022,202208,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,166565
2022,202209,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,164925
2022,202210,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,163913
2022,202211,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,162478
2022,202212,LAMBAYEQUE,CHICLAYO,CHICLAYO,EPSEL S.A.,162271
2022,202201,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,310231
2022,202202,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,311200
2022,202203,AREQUIPA,AREQUIPA,AREQUIPA,SEDAPAR S.A.,312035
