Athlete,Country,Time,Minutes
Stephen KIPROTICH,UGA,2:08:01,128.02
Abel KIRUI,KEN,2:08:27,128.45
Wilson Kipsang KIPROTICH,KEN,2:09:37,129.62
Mebrahtom KEFLEZIGHI,USA,2:11:06,131.10
Marilson DOS SANTOS,BRA,2:11:10,131.17
Kentaro NAKAMOTO,JPN,2:11:16,131.27
Cutbert NYASANGO,ZIM,2:12:08,132.13
Paulo Roberto PAULA,BRA,2:12:17,132.28
Henryk SZOST,POL,2:12:28,132.47
Ruggero PERTILE,ITA,2:12:45,132.75
Viktor RÖTHLIN,SUI,2:12:48,132.80
Oleksandr SITKOVSKYY,UKR,2:12:56,132.93
Franck DE ALMEIDA,BRA,2:13:35,133.58
Aleksey REUNKOV,RUS,2:13:49,133.82
Wirimai JUWAWO,ZIM,2:14:09,134.15
Michael SHELLEY,AUS,2:14:10,134.17
Emmanuel Kipchirchir MUTAI,KEN,2:14:49,134.82
Rachid KISRI,MAR,2:15:09,135.15
Yared ASMEROM,ERI,2:15:24,135.40
Dylan WYKES,CAN,2:15:26,135.43
Raul PACHECO,PER,2:15:35,135.58
Eric GILLIS,CAN,2:16:00,136.00
Dmitriy SAFRONOV,RUS,2:16:04,136.07
Carles CASTILLEJO,ESP,2:16:17,136.28
Iaroslav MUSINSCHI,MDA,2:16:25,136.42
Marius IONESCU,ROU,2:16:28,136.47
Reid COOLSAET,CAN,2:16:29,136.48
Martin DENT,AUS,2:16:29,136.48
Vitaliy SHAFAR,UKR,2:16:36,136.60
Lee MERRIEN,GBR,2:17:00,137.00
Ignacio CACERES,ESP,2:17:11,137.18
Duhaeng LEE,KOR,2:17:19,137.32
Faustine MUSSA,TAN,2:17:39,137.65
Jose Carlos HERNANDEZ,ESP,2:17:48,137.80
Miguel BARZOLA,ARG,2:17:54,137.90
Urige BUTA,NOR,2:17:58,137.97
Grigoriy ANDREEV,RUS,2:18:20,138.33
Jose Amado GARCIA,GUA,2:18:23,138.38
Daniel VARGAS,MEX,2:18:26,138.43
Ryo YAMAMOTO,JPN,2:18:34,138.57
Jesper FAURSCHOU,DEN,2:18:44,138.73
Kari Steinn KARLSSON,ISL,2:18:47,138.78
Lusapho APRIL,RSA,2:19:00,139.00
Mike TEBULO,MAW,2:19:11,139.18
Arata FUJIWARA,JPN,2:19:11,139.18
Primoz KOBE,SLO,2:19:28,139.47
Guor MARIAL,IOA,2:19:32,139.53
Luis FEITEIRA,POR,2:19:40,139.67
Stephen MOKOKA,RSA,2:19:52,139.87
Miguel Angel ALMACHI,ECU,2:19:53,139.88
Ser-Od BAT-OCHIR,MGL,2:20:10,140.17
Song-Chol PAK,PRK,2:20:20,140.33
Kwang-Hyok KIM,PRK,2:20:20,140.33
Guojian DONG,CHN,2:20:39,140.65
Anuradha COORAY,SRI,2:20:41,140.68
Methkal ABU DRAIS,JOR,2:21:00,141.00
Mark KENNEALLY,IRL,2:21:13,141.22
Yonas KIFLE,ERI,2:21:25,141.42
Ivan BABARYKA,UKR,2:21:52,141.87
Carlos CORDERO,MEX,2:22:08,142.13
Scott OVERALL,GBR,2:22:37,142.62
Pedro MORA,VEN,2:22:40,142.67
Jeff HUNT,AUS,2:22:59,142.98
Stsiapan RAHAUTSOU,BLR,2:23:23,143.38
Cesar LIZANO,CRC,2:24:16,144.27
Samson RAMADHANI,TAN,2:24:53,144.88
Jan KREISINGER,CZE,2:25:03,145.05
Mohammed Abduh BAKHET,QAT,2:25:17,145.28
Jussi UTRIAINEN,FIN,2:26:25,146.42
Arturo MALAQUIAS,MEX,2:26:37,146.62
Wissem HOSNI,TUN,2:26:43,146.72
Tamas KOVACS,HUN,2:27:48,147.80
Sinkweon JANG,KOR,2:28:20,148.33
Antoni BERNADO,AND,2:28:34,148.57
Marcel TSCHOPP,LIE,2:28:54,148.90
Bekir KARAYEL,TUR,2:29:38,149.63
Chia-Che CHANG,TPE,2:29:58,149.97
Ram Singh YADAV,IND,2:30:06,150.10
Jean Pierre MVUYEKURE,RWA,2:30:19,150.32
Konstadinos POULIOS,GRE,2:33:17,153.28
Zohar ZEMIRO,ISR,2:34:59,154.98
Jinhyeok JEONG,KOR,2:38:45,158.75
Juan Carlos CARDONA,COL,2:40:13,160.22
Augusto SOARES,TLS,2:45:09,165.15
Tsepo RAMONENE,LES,2:55:54,175.90
