Player,Position,Age,Games,Goals,Assists,Points,PlusMinus,PenMins,MinPerGame
Erik Karlsson,D,24,82,21,45,66,7,42,27.3
Mark Stone,RW,22,80,26,38,64,21,14,17.0
Kyle Turris,C,25,82,24,40,64,5,36,19.2
Bobby Ryan,RW,27,78,18,36,54,5,24,17.5
Mike Hoffman,LW,25,79,27,21,48,16,14,14.6
Mika Zibanejad,C,21,80,20,26,46,0,20,16.4
Clarke MacArthur,LW,29,62,16,20,36,-6,36,17.0
Milan Michalek,LW,30,66,13,21,34,3,33,16.4
David Legwand,C,34,80,9,18,27,1,32,13.9
Alex Chiasson,RW,24,76,11,15,26,-5,67,13.4
Erik Condra,RW,28,68,9,14,23,13,30,14.5
Cody Ceci,D,21,81,5,16,21,-4,6,19.3
Jean-Gabriel Pageau,C,22,50,10,9,19,4,9,14.2
Curtis Lazar,C,19,67,6,9,15,1,14,12.9
Patrick Wiercioch,D,24,56,3,10,13,3,28,18.1
Eric Gryba,D,26,75,0,12,12,11,97,15.7
Mark Borowiecki,D,25,63,1,10,11,15,107,15.9
Marc Methot,D,29,45,1,10,11,22,18,22.7
Jared Cowen,D,24,54,3,6,9,-11,45,18.1
Chris Neil,RW,35,38,4,3,7,5,78,9.7
Matt Puempel,LW,22,13,2,1,3,6,8,8.0
Zack Smith,C,26,37,2,1,3,-8,18,12.0
Chris Phillips,D,36,36,0,3,3,0,14,20.9
Colin Greening,LW,28,26,1,0,1,-5,29,9.8
