FECHA_CORTE;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_CCPP;CENTRO_POBLADO_ PTOATENC;CODIGO_2023_PLAFORMA_P;NOMBRE_PLATAFORMA_MOVIL_P;TIPO_PLATAFORMA;NIVEL_GOBIERNO;SECTOR;ENTIDAD;FECHA_INTERVENCION;ATENCIONES;MES;ANIO;TRIMESTRE
20240528;LORETO;ALTO AMAZONAS;LAGUNAS;1602060040;TAMARATE;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240325; 12 ;202403;2024;I
20240528;LORETO;ALTO AMAZONAS;LAGUNAS;1602060040;TAMARATE;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240326; 25 ;202403;2024;I
20240528;LORETO;ALTO AMAZONAS;LAGUNAS;1602060040;TAMARATE;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240327; 22 ;202403;2024;I
20240528;LORETO;ALTO AMAZONAS;LAGUNAS;1602060040;TAMARATE;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240325; 27 ;202403;2024;I
20240528;LORETO;ALTO AMAZONAS;LAGUNAS;1602060040;TAMARATE;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240326; 111 ;202403;2024;I
20240528;LORETO;ALTO AMAZONAS;LAGUNAS;1602060040;TAMARATE;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240327; 84 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060001;ALIANZA CRISTIANA;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240314; 34 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060001;ALIANZA CRISTIANA;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240315; 76 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060001;ALIANZA CRISTIANA;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240316; 60 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060001;ALIANZA CRISTIANA;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240317; 46 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060001;ALIANZA CRISTIANA;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240314; 12 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060001;ALIANZA CRISTIANA;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240315; 192 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060001;ALIANZA CRISTIANA;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240316; 235 ;202403;2024;I
