date,value
1991-02-03,6.621
1991-02-10,6.433
1991-02-17,6.582000000000001
1991-02-24,7.224
1991-03-03,6.875
1991-03-10,6.947
1991-03-17,7.327999999999999
1991-03-24,6.777
1991-03-31,7.502999999999999
1991-04-07,6.916
1991-04-14,7.045
1991-04-21,6.956
1991-04-28,6.976
1991-05-05,7.185
1991-05-12,6.899
1991-05-19,7.396
1991-05-26,7.287000000000001
1991-06-02,7.22
1991-06-09,7.651
1991-06-16,7.72
1991-06-23,7.542999999999999
1991-06-30,7.961
1991-07-07,7.327000000000001
1991-07-14,7.38
1991-07-21,7.501
1991-07-28,7.605
1991-08-04,7.584
1991-08-11,7.401
1991-08-18,7.505
1991-08-25,7.4270000000000005
1991-09-01,6.992999999999999
1991-09-08,7.402
1991-09-15,7.391
1991-09-22,7.087999999999999
1991-09-29,6.949
1991-10-06,7.506
1991-10-13,7.396
1991-10-20,7.421
1991-10-27,7.159
1991-11-03,7.379
1991-11-10,7.369
1991-11-17,6.652
1991-11-24,6.769
1991-12-01,6.827999999999999
1991-12-08,7.343999999999999
1991-12-15,7.447
1991-12-22,7.186
1991-12-29,6.642
1992-01-05,6.787999999999999
1992-01-12,6.7829999999999995
1992-01-19,7.037000000000001
1992-01-26,7.112
1992-02-02,7.039
1992-02-09,6.5760000000000005
1992-02-16,7.002000000000001
1992-02-23,6.77
1992-03-01,7.002000000000001
1992-03-08,6.806
1992-03-15,7.221
1992-03-22,7.379
1992-03-29,7.027
1992-04-05,7.744
1992-04-12,6.4639999999999995
1992-04-19,7.376
1992-04-26,7.899
1992-05-03,7.318
1992-05-10,7.1739999999999995
1992-05-17,7.086
1992-05-24,7.774
1992-05-31,7.104
1992-06-07,7.129
1992-06-14,7.407
1992-06-21,7.7010000000000005
1992-06-28,7.572
1992-07-05,7.813
1992-07-12,7.422000000000001
1992-07-19,7.792000000000001
1992-07-26,7.433
1992-08-02,7.796
1992-08-09,7.7
1992-08-16,7.365
1992-08-23,7.814
1992-08-30,7.3260000000000005
1992-09-06,7.473
1992-09-13,7.181
1992-09-20,7.2860000000000005
1992-09-27,7.292999999999999
1992-10-04,7.513999999999999
1992-10-11,7.204
1992-10-18,7.276
1992-10-25,7.5089999999999995
1992-11-01,6.922999999999999
1992-11-08,7.056
1992-11-15,7.24
1992-11-22,7.138
1992-11-29,7.432
1992-12-06,7.354
1992-12-13,7.4
1992-12-20,7.596
1992-12-27,7.358
1993-01-03,6.852
1993-01-10,6.726
1993-01-17,7.131
1993-01-24,6.603
1993-01-31,7.322
1993-02-07,6.779
1993-02-14,7.325
1993-02-21,6.961
1993-02-28,7.188
1993-03-07,7.1
1993-03-14,7.239
1993-03-21,7.194
1993-03-28,6.9639999999999995
1993-04-04,6.797000000000001
1993-04-11,7.561
1993-04-18,7.392
1993-04-25,7.47
1993-05-02,7.657
1993-05-09,7.649
1993-05-16,7.295
1993-05-23,7.364
1993-05-30,7.018
1993-06-06,7.74
1993-06-13,7.392
1993-06-20,7.803999999999999
1993-06-27,7.867999999999999
1993-07-04,7.577999999999999
1993-07-11,8.113
1993-07-18,7.916
1993-07-25,7.336
1993-08-01,8.033
1993-08-08,7.581
1993-08-15,8.187000000000001
1993-08-22,7.629
1993-08-29,7.386
1993-09-05,7.888999999999999
1993-09-12,7.478
1993-09-19,7.485
