"date","time","size","version","os","country","ip_id"
"2020-04-24","01:28:39",86525652,"3.6.3","win","MX",1
"2020-04-24","01:28:50",86532491,"3.6.3","win","HK",2
"2020-04-24","01:28:56",81867664,"3.6.3","osx",NA,3
"2020-04-24","01:29:25",87698787,"devel","win","US",4
"2020-04-24","01:29:26",86429667,"3.6.3","win","SG",5
"2020-04-24","01:29:47",86524495,"3.6.3","win","US",6
"2020-04-24","01:29:49",33346332,"3.6.3","src","US",7
"2020-04-24","01:29:53",36272644,"3.6.3","win","CN",8
"2020-04-24","01:31:35",86525221,"3.6.3","win","CO",9
"2020-04-24","01:32:05",86525543,"3.6.3","win","US",10
"2020-04-24","01:32:10",81872927,"3.6.3","osx",NA,3
"2020-04-24","01:32:23",688678,"3.6.3","win","US",11
"2020-04-24","01:32:16",81866993,"3.6.3","osx","US",12
"2020-04-24","01:32:25",87701549,"devel","win","US",11
"2020-04-24","01:32:24",86601283,"3.6.3patched","win","US",6
"2020-04-24","01:32:26",86525164,"3.6.3","win","BR",13
"2020-04-24","01:32:22",86603921,"3.6.3patched","win","US",4
"2020-04-24","01:32:24",891158,"3.6.3","win","US",11
"2020-04-24","01:32:47",86524508,"3.6.3","win","BR",13
"2020-04-24","01:32:51",81774910,"3.6.3","osx","US",14
"2020-04-24","16:53:50",30200644,"3.4.1","src","US",15
"2020-04-24","16:53:47",81864846,"3.6.3","osx","US",16
"2020-04-24","16:54:14",87669127,"4.0.0","win","IT",17
"2020-04-24","16:54:11",87660613,"4.0.0","win","KR",18
"2020-04-24","16:54:16",81864810,"3.6.3","osx","CA",19
"2020-04-24","16:54:10",87564166,"4.0.0","win",NA,3
"2020-04-24","16:54:20",87660318,"4.0.0","win","IN",20
"2020-04-24","16:54:51",87564156,"4.0.0","win",NA,3
"2020-04-24","16:54:26",87564156,"4.0.0","win","FR",21
"2020-04-24","16:55:05",81136243,"3.6.2","osx",NA,3
"2020-04-24","16:55:20",86429665,"3.6.3","win","US",22
"2020-04-24","16:55:10",87663990,"4.0.0","win","US",23
"2020-04-24","16:55:41",43529,"3.6.1","src","CN",24
"2020-04-24","16:55:49",74695182,"4.0.0","win","US",25
"2020-04-24","16:55:55",87564166,"4.0.0","win","US",26
"2020-04-24","16:55:28",87564156,"4.0.0","win",NA,3
"2020-04-24","16:55:56",1742407,"3.6.1","src","CN",27
"2020-04-24","16:56:35",87564163,"4.0.0","win","US",28
"2020-04-24","16:56:35",87666575,"4.0.0","win","IN",29
"2020-04-24","16:56:37",87664801,"4.0.0","win","TW",30
"2020-04-24","16:55:24",81774916,"3.6.3","osx","US",31
"2020-04-24","16:56:50",81877120,"3.6.3","osx","US",32
"2020-04-24","16:56:48",87660246,"4.0.0","win",NA,3
"2020-04-24","16:56:40",87564156,"4.0.0","win","US",33
"2020-04-24","16:56:49",87564156,"4.0.0","win","US",34
"2020-04-24","16:57:09",33210898,"4.0.0","src",NA,3
"2020-04-24","16:57:01",82383505,"4.0.0","win",NA,3
"2020-04-24","16:57:02",87564164,"4.0.0","win","KR",18
"2020-04-24","16:57:11",86604505,"3.6.3patched","win","US",35
"2020-04-24","16:57:13",81154747,"3.6.3.nn","osx","US",32
"2020-04-24","16:57:16",87667654,"4.0.0","win","US",36
"2020-04-24","16:57:24",85130001,"3.6.3","win","US",37
"2020-04-24","16:57:20",81135847,"latest","osx","US",38
"2020-04-24","16:57:34",81865608,"3.6.3","osx","CA",39
"2020-04-24","16:57:42",87564165,"4.0.0","win","US",40
"2020-04-24","16:57:51",87660318,"4.0.0","win","US",41
"2020-04-24","16:57:51",87564166,"4.0.0","win","FR",42
"2020-04-24","16:58:00",87660405,"4.0.0","win",NA,3
"2020-04-24","16:58:09",33217718,"4.0.0","src","CA",43
"2020-04-24","16:58:03",87662766,"4.0.0","win","US",44
"2020-04-24","16:58:15",87661532,"4.0.0","win","US",45
"2020-04-24","16:58:27",87564156,"4.0.0","win","ES",46
"2020-04-24","16:58:34",86602777,"3.6.3patched","win","US",11
"2020-04-24","14:18:37",33215823,"4.0.0","src",NA,3
"2020-04-24","14:18:43",86429666,"3.6.3","win","US",47
"2020-04-24","14:18:34",81774920,"3.6.3","osx","US",14
"2020-04-24","14:18:49",87660293,"4.0.0","win","DE",48
"2020-04-24","14:18:41",8955209,"3.6.1","src","CN",49
"2020-04-24","14:18:47",81774920,"3.6.3","osx","US",14
"2020-04-24","14:18:48",87564166,"4.0.0","win","CN",50
"2020-04-24","14:18:57",590843,"3.6.1","src",NA,3
"2020-04-24","14:18:50",81774920,"3.6.3","osx","US",14
"2020-04-24","14:18:53",87660202,"4.0.0","win",NA,3
"2020-04-24","14:18:50",87661452,"4.0.0","win","MA",51
"2020-04-24","14:19:03",87662951,"4.0.0","win",NA,3
"2020-04-24","14:19:08",33211167,"4.0.0","src","LT",52
"2020-04-24","14:19:19",1054734,"3.6.1","src","CN",53
"2020-04-24","14:19:12",261373,"3.6.1","src","CN",54
"2020-04-24","14:19:27",87660760,"4.0.0","win","CO",55
"2020-04-24","14:19:29",87669000,"4.0.0","win","VN",56
"2020-04-24","14:19:36",87663397,"4.0.0","win","DK",57
"2020-04-24","14:19:32",81774920,"3.6.3","osx","US",14
"2020-04-24","14:19:45",81774920,"3.6.3","osx","US",14
"2020-04-24","14:19:50",87667472,"4.0.0","win","US",58
"2020-04-24","14:19:52",81774920,"3.6.3","osx","US",14
"2020-04-24","14:20:08",87660724,"4.0.0","win","DE",59
"2020-04-24","14:20:01",81774920,"3.6.3","osx","US",14
"2020-04-24","14:20:03",1031384,"4.0.0","win","CN",60
"2020-04-24","14:20:11",17452259,"3.6.3","osx","CN",61
"2020-04-24","14:20:42",87564163,"4.0.0","win","AR",62
"2020-04-24","14:20:46",87661526,"4.0.0","win",NA,3
"2020-04-24","14:20:51",79426090,"3.6.1","osx","GB",63
"2020-04-24","14:20:47",87660307,"4.0.0","win","SG",64
"2020-04-24","14:20:49",87660283,"4.0.0","win",NA,3
"2020-04-24","14:20:56",12950151,"4.0.0","win","CN",50
"2020-04-24","14:20:55",46301104,"4.0.0","win","CN",65
"2020-04-24","14:21:03",7799552,"3.6.3","win","IT",66
"2020-04-24","14:21:16",87564156,"4.0.0","win","CH",67
"2020-04-24","14:21:11",87660775,"4.0.0","win","IN",68
"2020-04-24","14:21:33",86525255,"3.6.3","win",NA,3
"2020-04-24","14:21:28",81148189,"3.6.3.nn","osx","AU",69
"2020-04-24","14:21:36",87668769,"4.0.0","win",NA,3
"2020-04-24","14:21:43",87665943,"4.0.0","win","CN",70
"2020-04-24","14:21:44",86606170,"3.6.3patched","win","US",6
"2020-04-24","14:21:50",86524640,"3.6.3","win",NA,3
"2020-04-24","14:21:52",87661635,"4.0.0","win",NA,3
"2020-04-24","14:22:00",87660903,"4.0.0","win",NA,3
"2020-04-24","14:21:54",81134725,"latest","osx","US",38
"2020-04-24","14:22:15",86525099,"3.6.3","win","IT",71
"2020-04-24","14:22:07",87663602,"4.0.0","win","IM",72
"2020-04-24","14:22:09",86605874,"3.6.3patched","win","US",35
"2020-04-24","14:22:09",87660353,"4.0.0","win","DE",73
"2020-04-24","14:22:14",81774921,"3.6.3","osx","US",14
"2020-04-24","14:22:20",81774921,"3.6.3","osx","US",14
"2020-04-24","14:22:10",81774921,"3.6.3","osx","US",14
"2020-04-24","14:22:28",87661479,"4.0.0","win",NA,3
"2020-04-24","14:22:37",87662414,"4.0.0","win","IT",74
"2020-04-24","14:22:37",65443377,"4.0.0","win","CN",70
"2020-04-24","14:22:33",86525620,"3.6.3","win","NG",75
"2020-04-24","14:22:58",81605838,"4.0.0","win",NA,3
"2020-04-24","14:22:51",13908403,"3.6.3","win","IT",76
"2020-04-24","14:22:58",43516,"3.6.3","osx",NA,3
"2020-04-24","14:23:04",87663036,"4.0.0","win","HK",77
"2020-04-24","14:23:12",1049127,"4.0.0","win","CN",65
"2020-04-24","14:23:10",81134760,"latest","osx","US",38
"2020-04-24","14:23:13",87564163,"4.0.0","win","CN",78
"2020-04-24","14:23:20",46145406,"4.0.0","win","CN",50
"2020-04-24","14:23:21",1460655,"4.0.0","win","CN",79
"2020-04-24","02:43:42",86524576,"3.6.3","win",NA,3
"2020-04-24","02:43:33",1049363,"3.6.3","win","HK",80
"2020-04-24","02:43:39",2970026,"3.6.3","win","HK",80
"2020-04-24","02:43:47",86530922,"3.6.3","win","US",81
"2020-04-24","02:43:53",86524526,"3.6.3","win","CA",82
"2020-04-24","02:43:53",21216006,"3.6.3","win","CN",83
"2020-04-24","02:44:16",31465011,"3.6.3","win","CN",84
"2020-04-24","02:44:15",81874593,"3.6.3","osx","JP",85
"2020-04-24","02:44:28",86524896,"3.6.3","win",NA,3
"2020-04-24","02:44:41",9406971,"3.6.3","win","ID",86
