Count,Phat
96,0.48
99,0.495
95,0.475
103,0.515
102,0.51
104,0.52
107,0.535
93,0.465
102,0.51
102,0.51
96,0.48
103,0.515
114,0.57
103,0.515
120,0.6
89,0.445
95,0.475
102,0.51
92,0.46
97,0.485
110,0.55
110,0.55
93,0.465
93,0.465
107,0.535
96,0.48
106,0.53
101,0.505
99,0.495
98,0.49
99,0.495
96,0.48
105,0.525
110,0.55
110,0.55
106,0.53
103,0.515
106,0.53
96,0.48
104,0.52
106,0.53
100,0.5
106,0.53
113,0.565
107,0.535
100,0.5
103,0.515
92,0.46
101,0.505
103,0.515
91,0.455
93,0.465
104,0.52
106,0.53
93,0.465
111,0.555
109,0.545
103,0.515
110,0.55
96,0.48
107,0.535
117,0.585
101,0.505
106,0.53
101,0.505
94,0.47
96,0.48
101,0.505
100,0.5
111,0.555
100,0.5
111,0.555
96,0.48
91,0.455
99,0.495
105,0.525
103,0.515
115,0.575
100,0.5
99,0.495
94,0.47
103,0.515
101,0.505
103,0.515
100,0.5
99,0.495
102,0.51
98,0.49
98,0.49
102,0.51
100,0.5
89,0.445
93,0.465
103,0.515
111,0.555
110,0.55
108,0.54
101,0.505
92,0.46
94,0.47
95,0.475
103,0.515
97,0.485
102,0.51
105,0.525
92,0.46
103,0.515
106,0.53
96,0.48
102,0.51
92,0.46
106,0.53
93,0.465
115,0.575
96,0.48
97,0.485
98,0.49
99,0.495
102,0.51
100,0.5
86,0.43
101,0.505
94,0.47
102,0.51
91,0.455
106,0.53
105,0.525
100,0.5
104,0.52
88,0.44
106,0.53
100,0.5
87,0.435
116,0.58
105,0.525
103,0.515
98,0.49
105,0.525
95,0.475
104,0.52
105,0.525
103,0.515
94,0.47
100,0.5
104,0.52
91,0.455
102,0.51
104,0.52
97,0.485
109,0.545
91,0.455
101,0.505
88,0.44
96,0.48
97,0.485
95,0.475
98,0.49
108,0.54
92,0.46
88,0.44
87,0.435
105,0.525
98,0.49
101,0.505
106,0.53
95,0.475
95,0.475
103,0.515
93,0.465
86,0.43
96,0.48
98,0.49
85,0.425
97,0.485
90,0.45
98,0.49
104,0.52
97,0.485
101,0.505
105,0.525
91,0.455
105,0.525
110,0.55
105,0.525
90,0.45
103,0.515
103,0.515
99,0.495
100,0.5
97,0.485
105,0.525
97,0.485
98,0.49
110,0.55
105,0.525
92,0.46
106,0.53
102,0.51
98,0.49
104,0.52
105,0.525
109,0.545
108,0.54
115,0.575
114,0.57
107,0.535
96,0.48
91,0.455
111,0.555
95,0.475
89,0.445
87,0.435
99,0.495
106,0.53
103,0.515
110,0.55
89,0.445
87,0.435
99,0.495
99,0.495
100,0.5
102,0.51
119,0.595
100,0.5
94,0.47
106,0.53
93,0.465
99,0.495
90,0.45
99,0.495
96,0.48
97,0.485
100,0.5
97,0.485
110,0.55
104,0.52
106,0.53
112,0.56
106,0.53
83,0.415
104,0.52
116,0.58
102,0.51
94,0.47
115,0.575
106,0.53
115,0.575
98,0.49
97,0.485
110,0.55
102,0.51
106,0.53
94,0.47
102,0.51
97,0.485
102,0.51
95,0.475
92,0.46
105,0.525
103,0.515
90,0.45
104,0.52
109,0.545
99,0.495
101,0.505
109,0.545
108,0.54
108,0.54
100,0.5
101,0.505
105,0.525
100,0.5
110,0.55
110,0.55
104,0.52
102,0.51
102,0.51
96,0.48
105,0.525
107,0.535
98,0.49
97,0.485
102,0.51
99,0.495
105,0.525
108,0.54
106,0.53
97,0.485
105,0.525
91,0.455
96,0.48
104,0.52
100,0.5
112,0.56
111,0.555
106,0.53
109,0.545
107,0.535
94,0.47
96,0.48
96,0.48
103,0.515
91,0.455
107,0.535
94,0.47
100,0.5
100,0.5
106,0.53
110,0.55
97,0.485
110,0.55
101,0.505
98,0.49
99,0.495
107,0.535
98,0.49
97,0.485
89,0.445
103,0.515
93,0.465
115,0.575
87,0.435
108,0.54
95,0.475
100,0.5
102,0.51
98,0.49
100,0.5
102,0.51
104,0.52
100,0.5
90,0.45
99,0.495
99,0.495
98,0.49
95,0.475
95,0.475
103,0.515
96,0.48
106,0.53
91,0.455
97,0.485
94,0.47
108,0.54
91,0.455
94,0.47
111,0.555
107,0.535
110,0.55
97,0.485
95,0.475
106,0.53
107,0.535
103,0.515
101,0.505
104,0.52
108,0.54
95,0.475
91,0.455
102,0.51
99,0.495
104,0.52
93,0.465
94,0.47
105,0.525
88,0.44
96,0.48
98,0.49
102,0.51
99,0.495
91,0.455
91,0.455
103,0.515
108,0.54
98,0.49
96,0.48
98,0.49
92,0.46
97,0.485
109,0.545
97,0.485
106,0.53
103,0.515
108,0.54
96,0.48
97,0.485
103,0.515
94,0.47
94,0.47
99,0.495
99,0.495
102,0.51
93,0.465
97,0.485
98,0.49
92,0.46
99,0.495
103,0.515
97,0.485
103,0.515
93,0.465
105,0.525
94,0.47
94,0.47
84,0.42
106,0.53
102,0.51
107,0.535
99,0.495
100,0.5
95,0.475
103,0.515
89,0.445
102,0.51
104,0.52
108,0.54
98,0.49
90,0.45
96,0.48
107,0.535
103,0.515
105,0.525
108,0.54
102,0.51
101,0.505
96,0.48
114,0.57
107,0.535
105,0.525
90,0.45
97,0.485
102,0.51
99,0.495
102,0.51
105,0.525
95,0.475
90,0.45
93,0.465
105,0.525
93,0.465
94,0.47
100,0.5
104,0.52
97,0.485
102,0.51
101,0.505
100,0.5
100,0.5
109,0.545
105,0.525
105,0.525
101,0.505
96,0.48
94,0.47
98,0.49
