NUMERO_EXPEDIENTE;FECHA_SOLICITUD;ORGANO_COMPETENTE;DESCRIPCION_CAUSA_TERMINACION;FECHA_RESOLUCION;TIPO_DE_ENTRADA;IDENTIFICACION_SOLICITANTE(S/N);PERSONA_FISICA/JURIDICA
213/2015/00013;11/12/2015;Secretaría General Técnica de Vicealcaldía;TIPO I Resuelta favorablemente;14/01/2016;IN - Internet;N;
213/2015/00016;14/12/2015;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Resolución concediendo;11/03/2016;IN - Internet;S;F
213/2015/00019;15/12/2015;Secretaría General Técnica de Coordinación General de la Alcaldía;Estimación parcial;20/01/2016;IN - Internet;S;F
213/2015/00020;15/12/2015;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Resolución concediendo;27/01/2016;IN - Internet;S;F
213/2015/00021;15/12/2015;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Resolución concediendo;15/01/2016;IN - Internet;S;F
213/2015/00022;15/12/2015;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Resolución concediendo;15/01/2016;IN - Internet;S;F
213/2015/00023;15/12/2015;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Resolución concediendo;27/01/2016;IN - Internet;S;F
213/2015/00026;16/12/2015;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Resolución concediendo;03/02/2016;IN - Internet;S;F
213/2015/00028;16/12/2015;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;15/01/2016;IN - Internet;N;
213/2015/00029;10/12/2015;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;26/02/2016;AC - Atención al ciudadano;S;J
213/2015/00031;10/12/2015;Dirección General de Transparencia y Calidad;Resolución concediendo;13/01/2016;AC - Atención al ciudadano;S;J
213/2015/00033;10/12/2015;Dirección General de Transparencia y Calidad;No competencia municipal;08/01/2016;AC - Atención al ciudadano;S;J
213/2015/00036;20/12/2015;Dirección General de Transparencia y Calidad;Resolución concediendo;26/01/2016;IN - Internet;S;F
