"","GenderSelect","Country","Age","CurrentJobTitleSelect","MLToolNextYearSelect","LanguageRecommendationSelect","FormalEducation","FirstTrainingSelect","EmployerIndustry","JobSatisfaction","CompensationAmount","CompensationCurrency","Exchange"
"1","Male","United States","56","Operations Research Practitioner","TensorFlow","Python","Master's degree","University courses","Mix of fields","10 - Highly Satisfied",250000,"USD",NA
"2","Female","Australia","43","Business Analyst","Microsoft Excel Data Mining","Python","Bachelor's degree","Work","Non-profit","7",80000,"AUD",NA
"3","Male","Russia","33","Software Developer/Software Engineer","C/C++","Python","Bachelor's degree","Self-taught","Internet-based","7",1200000,"RUB",NA
"4","Male","India","27","Data Scientist","Other","Python","Bachelor's degree","University courses","Mix of fields","7",95000,"INR",NA
"5","Male","Taiwan","26","Software Developer/Software Engineer","TensorFlow","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Financial","5",1100000,"TWD",NA
"6","Male","United States","25","Researcher","Amazon Machine Learning","Python","Bachelor's degree","University courses","Academic","6",20000,"USD",NA
"7","Male","United States","33","Scientist/Researcher","R","Matlab","Doctoral degree","Kaggle competitions","Telecommunications","7",100000,"USD",NA
"8","Male","Czech Republic","21","Other","R","Python","Some college/university study without earning a bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Academic","5",20000,"CZK",NA
"9","Male","Russia","22","Data Analyst","TensorFlow","Python","Bachelor's degree","University courses","Mix of fields","8",624000,"RUB",NA
"10","Male","Colombia","34","Data Scientist","Spark / MLlib","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Financial","9",156000000,"COP",NA
"11","Male","Germany","41","Data Scientist","I don't plan on learning a new tool/technology","Python","I did not complete any formal education past high school","Work","Internet-based","8",150000,"EUR",NA
"12","Male","Poland","29","Software Developer/Software Engineer","TensorFlow","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Pharmaceutical","9",126000,"PLN",NA
"13","Male","United Kingdom","36","Data Scientist","Microsoft Azure Machine Learning","Python","Doctoral degree","University courses","Financial","7",130000,"GBP",NA
"14","Male","United States","35","Engineer","Spark / MLlib","Python","Doctoral degree","Online courses (coursera, udemy, edx, etc.)","Technology","8",133000,"USD",NA
"15","Male","Sweden","37","Machine Learning Engineer","TensorFlow","Python","Master's degree","University courses","Technology","9",80000,"USD",NA
"16","Male","Portugal","30","Data Scientist","TensorFlow","Python","Master's degree","Kaggle competitions","Technology","7",30000,"EUR",NA
"17","Male","Mexico","26","Data Scientist","Jupyter notebooks","Python","Some college/university study without earning a bachelor's degree","Self-taught","Technology","7",200000,"MXN",NA
"18","Male","Iran","31","Scientist/Researcher","Python","Python","Doctoral degree","University courses","Technology","6",15000,"USD",NA
"19","Male","India","29","Data Scientist","Python","R","Master's degree","University courses","Technology","7",120000,"INR",NA
"20","Male","France","25","Data Scientist","Orange","Python","Master's degree","Self-taught","Financial","8",100000,"EUR",NA
"21","Male","Spain","38","Data Scientist","TensorFlow","R","Doctoral degree","University courses","Mix of fields","5",36000,"EUR",NA
"22","Male","United States","40","Scientist/Researcher","TensorFlow","Python","Doctoral degree","Self-taught","Technology","8",215000,"USD",NA
"23","Male","United States","25","Engineer","TensorFlow","Python","Master's degree","Self-taught","CRM/Marketing","6",61000,"HKD",NA
"24","Male","Germany","44","Other","R","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Internet-based","7",65000,"EUR",NA
"25","Female","United States","31","Scientist/Researcher","Amazon Web services","R","Doctoral degree","Self-taught","Academic","7",83500,"USD",NA
"26","Female","United States","39","Predictive Modeler","R","R","Master's degree","University courses","Insurance","10 - Highly Satisfied",115000,"USD",NA
"27","Male","Hungary","40","Researcher","Jupyter notebooks","R","Doctoral degree","University courses","Academic","8",4000000,"HUF",NA
"28","Female","United States","30","Business Analyst","Jupyter notebooks","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","CRM/Marketing","10 - Highly Satisfied",80000,"USD",NA
"29","Male","United States","50","Predictive Modeler","Python","R","Doctoral degree","University courses","Insurance","8",135000,"USD",NA
"30","Male","United States","59","Data Scientist","Microsoft Azure Machine Learning","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Other","8",75000,"USD",NA
"31","Male","Spain","34","Software Developer/Software Engineer","I don't plan on learning a new tool/technology","Python","Professional degree","Self-taught","Internet-based","5",80000,"EUR",NA
"32","Male","Brazil","25","Computer Scientist","Hadoop/Hive/Pig","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Academic","10 - Highly Satisfied",1500,"BRL",NA
"33","Male","Brazil","32","Scientist/Researcher","TensorFlow","Python","Master's degree","University courses","Academic","10 - Highly Satisfied",25000,"BRL",NA
"34","Male","Hungary","38","Researcher","Microsoft Azure Machine Learning","Python","Bachelor's degree","Self-taught","Technology","2",372000,"HUF",NA
"35","Male","Other","28","Data Scientist","TensorFlow","Python","Bachelor's degree","Self-taught","Internet-based","10 - Highly Satisfied",10000,"USD",NA
"36","Male","Brazil","38","Programmer","TensorFlow","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Technology","6",60000,"BRL",NA
"37","Male","Russia","31","Business Analyst","SAP BusinessObjects Predictive Analytics","R","Some college/university study without earning a bachelor's degree","Work","CRM/Marketing","5",840000,"RUB",NA
"38","Female","United Kingdom","31","Data Analyst","NoSQL","SQL","Doctoral degree","Online courses (coursera, udemy, edx, etc.)","Government","7",29000,"GBP",NA
"39","Male","United Kingdom","30","Data Analyst","R","SQL","Bachelor's degree","Self-taught","Technology","7",45000,"GBP",NA
"40","Male","United States","49","DBA/Database Engineer","Other","Other","I did not complete any formal education past high school","Self-taught","Financial","8",85000,"USD",NA
"41","Male","Spain","37","Data Scientist","R","Python","Master's degree","University courses","Academic","I prefer not to share",12000,"EUR",NA
"42","Male","United States","62","Programmer","R","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Non-profit","5",65000,"USD",NA
"43","Male","Poland","58","DBA/Database Engineer","Hadoop/Hive/Pig","R","Master's degree","Online courses (coursera, udemy, edx, etc.)","Financial","2",3000,"PLN",NA
"44","Male","United States","38","Data Scientist","Julia","Python","Doctoral degree","University courses","Internet-based","4",130000,"USD",NA
"45","Male","United States","27","Other","Oracle Data Mining/ Oracle R Enterprise","SQL","Bachelor's degree","Work","Other","8",55000,"USD",NA
"46","Male","France","26","Scientist/Researcher","Python","R","Master's degree","Online courses (coursera, udemy, edx, etc.)","Government","10 - Highly Satisfied",25000,"EUR",NA
"48","Male","India","23","Engineer","TensorFlow","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Technology","10 - Highly Satisfied",360000,"INR",NA
"49","Female","Poland","23","Data Scientist","Tableau","SAS","Bachelor's degree","University courses","Financial","4",20000,"PLN",NA
"50","Female","United States","31","Scientist/Researcher","Python","Python","Master's degree","Work","Insurance","6",92000,"USD",NA
"51","Female","United States","31","Data Scientist","Hadoop/Hive/Pig","R","Master's degree","University courses","Other","3",79000,"USD",NA
"52","Male","United States","50","Scientist/Researcher","TensorFlow","Python","Doctoral degree","Online courses (coursera, udemy, edx, etc.)","Financial","9",305000,"USD",NA
"53","Male","United States","72","Data Scientist","Python","Python","Doctoral degree","Self-taught","Academic","5",250000,"USD",NA
"54","Male","United States","37","Data Scientist","TensorFlow","Python","Doctoral degree","Other","Technology","10 - Highly Satisfied",90000,"USD",NA
"55","Male","New Zealand","30","Data Analyst","Python","R","Bachelor's degree","Work","Government","9",90000,"NZD",NA
"56","Male","France","24","Data Scientist","Spark / MLlib","R","Master's degree","University courses","Mix of fields","8",40000,"EUR",NA
"57","Male","Netherlands","26","Business Analyst","Microsoft R Server (Formerly Revolution Analytics)","Python","Master's degree","University courses","Financial","8",35000,"EUR",NA
"58","Male","Chile","37","Software Developer/Software Engineer","Python","Python","Professional degree","Online courses (coursera, udemy, edx, etc.)","Government","8",800000,"CLP",NA
"59","Female","Germany","24","Scientist/Researcher","SQL","R","Bachelor's degree","University courses","Academic","7",480,"EUR",NA
"60","Male","United States","52","Scientist/Researcher","Julia","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Other","7",140000,"USD",NA
"61","Male","United States","35","Data Scientist","Spark / MLlib","Python","Doctoral degree","Online courses (coursera, udemy, edx, etc.)","Internet-based","I prefer not to share",160000,"USD",NA
"62","Male","United States","28","Data Scientist","SQL","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Non-profit","2",25000,"USD",NA
"63","Male","Belarus","31","Programmer","Python","Python","Master's degree","Self-taught","Mix of fields","6",25000,"USD",NA
"64","Male","Czech Republic","25","Other","TensorFlow","R","Master's degree","University courses","Mix of fields","9",25000,"CZK",NA
"65","Female","United States","28","Engineer","R","Python","Master's degree","University courses","Mix of fields","3",80000,"USD",NA
"66","Male","Poland","26","Data Scientist","Microsoft R Server (Formerly Revolution Analytics)","R","Master's degree","Online courses (coursera, udemy, edx, etc.)","Technology","9",96,"PLN",NA
"67","Male","France","30","Other","Other","Python","Doctoral degree","Online courses (coursera, udemy, edx, etc.)","Pharmaceutical","5",33000,"EUR",NA
"68","Male","Czech Republic","30","Data Scientist","Spark / MLlib","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Technology","7",1400000,"CZK",NA
"69","Male","United States","26","Data Analyst","Python","Python","Bachelor's degree","University courses","CRM/Marketing","3",85000,"USD",NA
"70","Male","United States","39","Software Developer/Software Engineer","Microsoft Azure Machine Learning","Python","I prefer not to answer","Online courses (coursera, udemy, edx, etc.)","Technology","10 - Highly Satisfied",180000,"USD",NA
"71","Male","United Kingdom","23","Data Analyst","Python","Python","Master's degree","University courses","Insurance","7",42500,"GBP",NA
"72","Male","Russia","34","Researcher","TensorFlow","Python","Professional degree","Self-taught","Other","8",3600000,"RUB",NA
"73","Male","United States","26","Other","R","R","Master's degree","Self-taught","Manufacturing","5",80000,"USD",NA
"74","Male","South Africa","24","Data Scientist","Julia","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Mix of fields","9",360000,"ZAR",NA
"75","Male","Canada","52","Software Developer/Software Engineer","Hadoop/Hive/Pig","Python","Bachelor's degree","University courses","Academic","8",90000,"USD",NA
"76","Male","Other","50","Data Scientist","R","R","Some college/university study without earning a bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Internet-based","4",39000,"USD",NA
"77","Male","Japan","48","Software Developer/Software Engineer","C/C++","Python","Master's degree","Self-taught","Financial","10 - Highly Satisfied",0,"JPY",NA
"78","Male","United States","42","Data Scientist","TensorFlow","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","CRM/Marketing","7",180000,"USD",NA
"79","Male","Russia","26","Machine Learning Engineer","TensorFlow","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Military/Security","7",60000,"RUB",NA
"80","Male","United States","52","Scientist/Researcher","IBM Watson / Waton Analytics","Python","Doctoral degree","University courses","Other","6",170075,"USD",NA
"81","Male","India","25","Data Scientist","C/C++","R","Bachelor's degree","Work","Insurance","8",1200000,"INR",NA
"82","Male","Australia","38","Software Developer/Software Engineer","TensorFlow","Python","Doctoral degree","Self-taught","Technology","9",300000,"AUD",NA
"83","Female","United States","25","Scientist/Researcher","Jupyter notebooks","Python","Doctoral degree","Self-taught","Academic","10 - Highly Satisfied",30000,"USD",NA
"84","Male","Czech Republic","25","Software Developer/Software Engineer","Spark / MLlib","SQL","Master's degree","Self-taught","Internet-based","6",36000,"USD",NA
"85","Male","South Korea","27","Business Analyst","Microsoft Azure Machine Learning","SQL","Bachelor's degree","Work","Financial","3",40000000,"KRW",NA
"86","Male","Other","28","Engineer","TensorFlow","Python","Master's degree","University courses","Academic","10 - Highly Satisfied",30000,"PEN",NA
"87","Male","United States","31","Scientist/Researcher","Google Cloud Compute","Python","Doctoral degree","Self-taught","Academic","3",49000,"USD",NA
"88","Male","Russia","22","Other","Spark / MLlib","Python","Bachelor's degree","Self-taught","Mix of fields","7",18000,"USD",NA
"89","Male","New Zealand","58","Data Scientist","TensorFlow","Python","Doctoral degree","Work","Telecommunications","9",120000,"NZD",NA
"90","Female","United States","31","Data Analyst","Tableau","Python","Bachelor's degree","Work","Pharmaceutical","1 - Highly Dissatisfied",65000,"USD",NA
"91","Male","Other","44","Data Scientist","TensorFlow","R","Master's degree","Online courses (coursera, udemy, edx, etc.)","Government","7",40000,"EUR",NA
"92","Male","Chile","30","Machine Learning Engineer","TensorFlow","Python","Doctoral degree","University courses","Other","10 - Highly Satisfied",2000000,"CLP",NA
"93","Male","Mexico","21","Engineer","R","Other","Bachelor's degree","Self-taught","Academic","6",30000,"MXN",NA
"94","Male","United States","27","Software Developer/Software Engineer","TensorFlow","Python","Bachelor's degree","Self-taught","Other","7",115000,"USD",NA
"95","Male","United States","31","Data Scientist","R","R","Professional degree","University courses","Internet-based","8",135000,"USD",NA
"96","Male","United States","57","Predictive Modeler","IBM Watson / Waton Analytics","R","Master's degree","Online courses (coursera, udemy, edx, etc.)","Mix of fields","9",40000,"USD",NA
"98","Female","United States","25","Data Analyst","Spark / MLlib","Python","Master's degree","University courses","Academic","6",50000,"USD",NA
"99","Male","United States","29","Software Developer/Software Engineer","I don't plan on learning a new tool/technology","Python","Bachelor's degree","Online courses (coursera, udemy, edx, etc.)","Financial","10 - Highly Satisfied",470000,"USD",NA
"100","Male","Brazil","29","Machine Learning Engineer","TensorFlow","Python","Professional degree","Online courses (coursera, udemy, edx, etc.)","Financial","8",96000,"BRL",NA
"101","Male","Italy","32","Other","KNIME (commercial version)","Matlab","Master's degree","University courses","Other","4",40000,"EUR",NA
"102","Male","France","53","Statistician","TensorFlow","R","Master's degree","Self-taught","Pharmaceutical","10 - Highly Satisfied",60000,"EUR",NA
"103","Male","United Kingdom","31","Scientist/Researcher","TensorFlow","Python","Master's degree","University courses","Academic","8",31000,"GBP",NA
"104","Male","Ukraine","22","Data Analyst","Hadoop/Hive/Pig","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Financial","3",17200,"USD",NA
"105","Male","Ireland","27","Data Scientist","TensorFlow","Python","Master's degree","University courses","Technology","8",60000,"EUR",NA
"106","Male","Portugal","29","Scientist/Researcher","Mathematica","Python","Doctoral degree","University courses","Academic","7",12000,"EUR",NA
"107","Male","United States","48","Data Scientist","Other","R","Doctoral degree","Work","Mix of fields","2",150000,"USD",NA
"108","Male","Brazil","30","Software Developer/Software Engineer","TensorFlow","Python","Professional degree","Online courses (coursera, udemy, edx, etc.)","Technology","7",120000,"BRL",NA
"109","Female","United States","48","Predictive Modeler","Python","Python","Master's degree","University courses","Mix of fields","6",130000,"USD",NA
"110","Male","Brazil","34","Data Scientist","Spark / MLlib","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","Other","3",277000,"BRL",NA
"111","Male","United States","37","Data Scientist","Amazon Machine Learning","Python","Master's degree","Online courses (coursera, udemy, edx, etc.)","CRM/Marketing","10 - Highly Satisfied",60000,"USD",NA
