Month,Year,Sales
Jan,2000,294.6
Feb,2000,252.5
Mar,2000,245.5
Apr,2000,244.0
May,2000,257.9
June,2000,244.9
July,2000,255.6
Aug,2000,258.1
Sep,2000,239.5
Oct,2000,254.3
Nov,2000,227.6
Dec,2000,214.2
Jan,2001,299.3
Feb,2001,262.6
Mar,2001,265.9
Apr,2001,236.8
May,2001,267.2
June,2001,252.1
July,2001,260.8
Aug,2001,269.0
Sep,2001,249.2
Oct,2001,253.6
Nov,2001,224.2
Dec,2001,227.0
Jan,2002,309.2
Feb,2002,264.1
Mar,2002,260.5
Apr,2002,246.9
May,2002,278.4
June,2002,267.4
July,2002,260.9
Aug,2002,272.0
Sep,2002,257.6
Oct,2002,257.5
Nov,2002,228.6
Dec,2002,231.1
Jan,2003,328.4
Feb,2003,272.9
Mar,2003,274.3
Apr,2003,265.8
May,2003,285.7
June,2003,279.8
July,2003,271.7
Aug,2003,281.9
Sep,2003,266.4
Oct,2003,264.9
Nov,2003,233.8
Dec,2003,242.6
Jan,2004,355.4
Feb,2004,294.9
Mar,2004,288.1
Apr,2004,283.6
May,2004,294.8
June,2004,295.5
July,2004,290.3
Aug,2004,296.9
Sep,2004,284.9
Oct,2004,288.6
Nov,2004,254.2
Dec,2004,253.3
Jan,2005,371.5
Feb,2005,312.4
Mar,2005,302.8
Apr,2005,301.0
May,2005,322.0
June,2005,317.5
July,2005,318.0
Aug,2005,311.9
Sep,2005,302.6
Oct,2005,307.0
Nov,2005,265.9
Dec,2005,264.0
Jan,2006,381.3
Feb,2006,323.8
Mar,2006,313.6
Apr,2006,311.4
May,2006,339.8
June,2006,326.6
July,2006,331.6
Aug,2006,338.1
Sep,2006,317.2
Oct,2006,326.8
Nov,2006,283.0
Dec,2006,286.8
Jan,2007,388.6
Feb,2007,342.7
Mar,2007,331.9
Apr,2007,317.9
May,2007,350.0
June,2007,334.6
July,2007,339.1
Aug,2007,354.1
Sep,2007,322.8
Oct,2007,336.9
Nov,2007,291.0
Dec,2007,296.2
Jan,2008,348.6
Feb,2008,301.0
Mar,2008,313.1
Apr,2008,314.9
May,2008,343.9
June,2008,345.7
July,2008,341.2
Aug,2008,358.8
Sep,2008,332.3
Oct,2008,335.7
Nov,2008,309.3
Dec,2008,308.6
Jan,2009,366.2
Feb,2009,306.5
Mar,2009,302.9
Apr,2009,290.2
May,2009,316.8
June,2009,310.9
July,2009,308.2
Aug,2009,309.4
Sep,2009,293.7
Oct,2009,291.9
Nov,2009,266.2
Dec,2009,275.7
Jan,2010,394.8
Feb,2010,335.3
Mar,2010,321.8
Apr,2010,313.7
May,2010,329.0
June,2010,327.5
July,2010,325.4
Aug,2010,330.7
Sep,2010,322.6
Oct,2010,326.0
Nov,2010,279.6
Dec,2010,283.0
Jan,2011,347.8
Feb,2011,353.0
Mar,2011,306.7
Apr,2011,305.3
,,
,,
,,
,,
,,
,,
,,
,,
