Inductee,FemaleMembers,Category,People
ABBA,Yes,Performer,4
AC/DC,No,Performer,6
Paul Ackerman,No,Non-performer,1
Lou Adler,No,Lifetime Achievement,1
Aerosmith,No,Performer,5
Alice Cooper,No,Performer,5
Allman Brothers Band,No,Performer,6
Herb Albert and Jerry Moss,No,Lifetime Achievement,2
The Animals,No,Performer,5
Louis Armstrong,No,Early Influence,1
Chet Atkins,No,Sideman,1
LaVern Baker,Yes,Performer,1
Hank Ballard,No,Performer,1
The Band,No,Performer,5
Frank Barsalona,No,Lifetime Achievement,1
Dave Bartholomew,No,Non-performer,1
Ralph Bass,No,Non-performer,1
The Beach Boys,No,Performer,5
Beastie Boys,No,Performer,3
The Beatles,No,Performer,4
Jeff Beck,No,Performer,1
The Bee Gees,No,Performer,3
Benny Benjamin,No,Sideman,1
Chuck Berry,No,Performer,1
Bill Black,No,Sideman,1
Black Sabbath,No,Performer,4
Chris Blackwell,No,Non-performer,1
Otis Blackwell,No,Non-performer,1
Hal Blaine,No,Sideman,1
"Bobby ""Blue"" Bland",No,Performer,1
Blondie,Yes,Performer,7
The Blue Caps,No,Performer,6
Bob Wills and His Texas Playboys,No,Early Influence,9
Booker T. and the M.G.'s,No,Performer,4
David Bowie,No,Performer,1
Charles Brown,No,Early Influence,1
James Brown,No,Performer,1
Ruth Brown,Yes,Performer,1
Jackson Browne,No,Performer,1
Buffalo Springfield,No,Performer,5
Solomon Burke,No,Performer,1
James Burton,No,Sideman,1
The Paul Butterfield Blues Band,No,Performer,5
The Byrds,No,Performer,4
Johnny Cash,No,Performer,1
Ray Charles,No,Performer,1
Leonard Chess,No,Non-performer,1
Charlie Christian,No,Performer,1
Eric Clapton,No,Performer,1
Dick Clark,No,Non-performer,1
The Clash,No,Performer,4
Jimmy Cliff,No,Performer,1
The Coasters,No,Performer,4
Eddie Cochran,No,Performer,1
Leonard Cohen,No,Performer,1
"Nat ""King"" Cole",No,Early Influence,1
Sam Cooke,No,Performer,1
Elvis Costello & the Attractions,No,Performer,4
Floyd Cramer,No,Sideman,1
Cream,No,Performer,3
Creedence Clearwater Revival,No,Performer,4
The Crickets,No,Performer,4
"Crosby, Stills and Nash",No,Performer,3
King Curtis,No,Sideman,1
Bobby Darin,No,Performer,1
The Dave Clark Five,No,Performer,5
Clive Davis,No,Non-performer,1
Miles Davis,No,Performer,1
The Dells,No,Performer,5
Neil Diamond,No,Performer,1
Bo Diddley,No,Performer,1
Dion,No,Performer,1
Willie Dixon,No,Early Influence,1
Fats Domino,No,Performer,1
Tom Donahue,No,Non-performer,1
Donovan,No,Performer,1
The Doors,No,Performer,4
Steve Douglas,No,Sideman,1
Tom Dowd,No,Sideman,1
The Drifters,No,Performer,5
Bob Dylan,No,Performer,1
The E Street Band,Yes,Performer,6
The Eagles,No,Performer,7
"Earth, Wind & Fire",No,Performer,9
Duane Eddy,No,Performer,1
Brian Epstein,No,Lifetime Achievement,1
Ahmet Ertegun,No,Non-performer,1
Nesuhi Ertegun,No,Lifetime Achievement,1
The Everly Brothers,No,Performer,2
The Famous Flames,No,Performer,4
Leo Fender,No,Non-performer,1
"The ""5"" Royales",No,Early Influence,5
The Flamingos,No,Performer,7
Fleetwood Mac,Yes,Performer,8
D.J. Fontana,No,Sideman,1
The Four Seasons,No,Performer,4
The Four Tops,No,Performer,4
Frankie Lymon and the Teenagers,No,Performer,5
Aretha Franklin,Yes,Performer,1
Alan Freed,No,Non-performer,1
Milt Gabler,No,Non-performer,1
Peter Gabriel,No,Performer,1
Kenny Gamble and Leon Huff,No,Non-performer,2
Marvin Gaye,No,Performer,1
David Geffen,No,Non-performer,1
Genesis,No,Performer,5
Gerry Goffin and Carole King,Yes,Non-performer,2
Gladys Knight and the Pips,Yes,Performer,4
Berry Gordy Jr,No,Non-performer,1
Bill Graham,No,Non-performer,1
Grandmaster Flash and the Furious Five,No,Performer,6
The Grateful Dead,Yes,Performer,12
Green Day,No,Performer,3
Al Green,No,Performer,1
Ellie Greenwich and Jeff Barry,Yes,Non-performer,2
Guns N' Roses,No,Performer,5
Woody Guthrie,No,Early Influence,1
Buddy Guy,No,Performer,1
Bill Haley,No,Performer,1
Daryl Hall and John Oates,No,Performer,2
John Hammond,No,Lifetime Achievement,1
George Harrison,No,Performer,1
Isaac Hayes,No,Performer,1
Heart,Yes,Performer,6
Billie Holiday,Yes,Early Influence,1
"Holland, Dozier and Holland",No,Non-performer,3
The Hollies,No,Performer,5
Buddy Holly,No,Performer,1
Jac Holzman,No,Non-performer,1
John Lee Hooker,No,Performer,1
Howlin' Wolf,No,Early Influence,1
The Impressions,No,Performer,3
The Ink Spots,No,Early Influence,4
The Isley Brothers,No,Performer,6
The Jackson 5,No,Performer,5
Mahalia Jackson,Yes,Early Influence,1
Michael Jackson,No,Performer,1
Wanda Jackson,Yes,Early Influence,1
James Jamerson,No,Sideman,1
Elmore James,No,Early Influence,1
Etta James,Yes,Performer,1
Jefferson Airplane,Yes,Performer,6
Joan Jett & The Blackhearts,Yes,Performer,4
The Jimi Hendrix Experience,No,Performer,1
Billy Joel,No,Performer,1
Dr. John,No,Performer,1
Elton John,No,Performer,1
Little Willie John,No,Performer,1
Glyn Johns,No,Sideman,1
Johnnie Johnson,No,Sideman,1
Robert Johnson,No,Early Influence,1
Quincy Jones,No,Lifetime Achievement,1
Janis Joplin,Yes,Performer,1
Louis Jordan,No,Early Influence,1
Albert King,No,Performer,1
B.B. King,No,Performer,1
Freddie King,No,Early Influence,1
The Kinks,No,Performer,4
Don Kirshner,No,Sideman,1
Kiss,No,Performer,4
Lead Belly,No,Early Influence,1
Led Zeppelin,No,Performer,4
Brenda Lee,Yes,Performer,1
Jerry Leiber and Mike Stoller,No,Non-performer,2
John Lennon,No,Performer,1
Jerry Lee Lewis,No,Performer,1
Little Anthony and the Imperials,No,Performer,4
Little Richard,No,Performer,1
Little Walter,No,Sideman,1
Darlene Love,Yes,Performer,1
Lovin' Spoonful,No,Performer,4
Lynyrd Skynyrd,No,Performer,7
Madonna,Yes,Performer,1
The Mamas and the Papas,Yes,Performer,4
Barry Mann and Cynthia Weil,Yes,Non-performer,2
Bob Marley,No,Performer,1
Martha and the Vandelias,Yes,Performer,3
George Martin,No,Non-performer,1
Cosimo Matassa,No,Sideman,1
Curtis  Mayfield,No,Performer,1
Paul McCartney,No,Performer,1
Clyde McPhatter,No,Performer,1
John Mellencamp,No,Performer,1
Metallica,No,Performer,6
The Midnighters,No,Performer,5
The Miracles,Yes,Performer,6
Joni Mitchell,Yes,Performer,1
Bill Monroe,No,Early Influence,1
