Country,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForcs,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,EnergyUse,Electricity,Developed
Iceland,100.250,0.324,3.2,47349,6.1,14.1,1.99,0.36,15.76,0.20,96.5,108.1,,,3.2,13.4,6.7,12.8,83.1,82.3,6.0,17964,52374,3
Kazakhstan,2699.700,17.035,6.3,13612,46.6,22.7,1.01,,10.90,70.50,54.0,184.7,,5.0,5.0,22.7,8.0,6.7,70.5,75.1,5.3,4717,4893,2
Lesotho,30.360,2.074,68.3,1126,73.7,27.6,1.24,,14.48,2.00,5.0,86.3,22.9,11.5,4.5,27.5,15.0,4.2,49.3,60.3,,,,
Uzbekistan,425.400,30.243,71.1,1878,63.8,21,1.02,,9.68,68.00,38.2,74.3,0.2,5.8,6.4,22.5,4.8,4.3,68.2,51.0,,1628,1626,1
Peru,1280.000,30.376,23.7,6662,22,20,1.63,7.43,14.75,192.00,39.2,98.1,0.4,8.7,6.5,19.7,5.3,6.4,74.8,69.3,3.6,695,1248,1
Iraq,434.320,33.417,76.9,6862,30.7,31.5,,,5.99,177.60,9.2,96.1,,23.5,9.6,31.1,5.2,3.2,69.5,15.6,,1266,1343,1
Nicaragua,120.340,6.080,50.5,1851,41.9,23.1,1.23,4.37,20.89,12.00,15.5,112.0,0.2,16.8,12.5,22.7,4.6,4.6,74.8,49.8,,515,522,1
Zambia,743.390,14.539,19.6,1845,60,43,1.48,,12.57,16.50,15.4,71.5,12.5,48.3,5.0,42.8,10.2,2.6,58.1,73.3,7.8,621,599,1
Guinea-Bissau,28.120,1.704,60.6,564,52.3,37.9,,,7.79,6.45,3.1,74.1,3.7,17.7,3.8,37.5,12.5,2.9,54.3,69.7,,,,
Romania,230.020,19.981,86.9,9491,45.8,10,1.7,4.10,12.17,151.30,49.8,105.6,0.1,,8.0,8.8,12.4,15.1,74.5,56.9,7.0,1778,2639,3
United States,9147.420,316.129,34.6,53042,18.7,12.6,0.97,17.65,20.71,1433.15,84.2,95.5,,,9.4,12.5,8.2,14.0,78.8,66.1,8.1,7032,13246,3
Sierra Leone,72.180,6.092,84.4,679,60.8,37.1,1.05,0.00,11.41,10.50,1.7,65.7,1.6,25.5,3.8,36.6,17.2,2.7,45.6,67.7,,,,
Malta,0.320,0.423,1321.9,22775,4.9,9.8,1.92,1.34,13.29,2.13,68.9,129.8,,,7.3,9.5,7.6,16.3,80.7,47.6,6.3,2060,4689,2
Luxembourg,2.590,0.543,209.7,110665,10.4,11.3,1.64,1.33,13.64,1.51,93.8,148.6,,,4.5,11.3,7.0,14.2,81.8,62.2,5.1,8046,15530,3
"Micronesia, Fed. Sts.",0.700,0.104,148.6,3054,77.7,23.5,,,17.70,,27.8,30.3,,,36.3,23.5,6.2,4.1,69.0,,,,,
South Africa,1213.090,53.157,43.8,6886,36.2,21.1,1.38,3.49,14.02,77.15,48.9,145.6,19.1,5.0,9.4,20.9,13.0,5.5,56.7,48.9,24.7,2742,4606,2
Panama,74.340,3.864,52.0,11037,34,19.7,1.05,,12.79,12.00,42.9,163.0,0.7,10.6,8.5,19.4,4.9,7.2,77.6,53.2,4.0,1085,1829,1
Turkey,769.630,74.933,97.4,10972,27.6,17.1,2.54,6.83,10.74,612.80,46.3,93.0,,5.0,14.8,16.8,5.7,7.4,75.2,32.2,9.2,1539,2709,2
Nigeria,910.770,173.615,190.6,3006,53.9,41.5,0.62,9.78,17.97,162.00,38.0,73.3,3.2,6.4,5.3,41.2,13.2,2.7,52.5,48.5,,721,149,1
Hungary,90.530,9.894,109.3,13485,29.7,9.1,1.84,2.40,10.23,38.50,72.6,116.4,,,5.9,9.2,12.8,17.2,75.3,58.4,10.9,2503,3895,2
Albania,27.400,2.897,105.7,4460,44.6,12.8,1.81,,9.85,8.50,60.1,116.2,0.1,,2.6,12.9,6.9,10.7,77.5,51.7,13.4,748,2195,1
Brunei Darussalam,5.270,0.418,79.3,38563,23.4,15.9,0.43,,7.42,9.25,64.5,112.2,,5.0,8.0,15.5,3.1,4.3,78.6,55.7,,9427,8507,3
Portugal,91.590,10.457,114.2,21738,37.7,8.5,2.15,4.45,12.90,79.85,62.1,113.0,,,9.6,7.9,10.2,18.8,80.4,70.1,15.5,2187,4848,2
Comoros,1.861,0.735,394.9,815,71.9,35.9,,,7.55,,6.5,47.3,,,8.4,35.2,8.8,2.8,60.9,35.9,,,,
Pakistan,770.880,182.143,236.3,1275,62.1,25.7,1.14,18.55,4.73,947.80,10.9,70.1,0.1,21.7,7.9,25.2,6.9,4.4,66.6,25.6,,482,449,1
Ethiopia,1000.000,94.101,94.1,505,81.4,33.5,1.05,,16.43,138.00,1.9,27.3,1.2,35.0,5.5,33.0,7.6,3.4,63.6,80.9,17.5,381,52,1
