Butter,Filling,Bread,Ants,Order
no,Vegemite,Rye,18,10
no,Peanut Butter,Rye,43,26
no,Ham & Pickles,Rye,44,39
no,Vegemite,Wholemeal,29,25
no,Peanut Butter,Wholemeal,59,35
no,Ham & Pickles,Wholemeal,34,1
no,Vegemite,Multigrain,42,44
no,Peanut Butter,Multigrain,22,36
no,Ham & Pickles,Multigrain,36,32
no,Vegemite,White,42,33
no,Peanut Butter,White,25,34
no,Ham & Pickles,White,49,13
no,Vegemite,Rye,31,14
no,Peanut Butter,Rye,36,31
no,Ham & Pickles,Rye,54,20
no,Vegemite,Wholemeal,21,19
no,Peanut Butter,Wholemeal,47,38
no,Ham & Pickles,Wholemeal,65,5
no,Vegemite,Multigrain,38,21
no,Peanut Butter,Multigrain,19,22
no,Ham & Pickles,Multigrain,59,8
no,Vegemite,White,25,41
no,Peanut Butter,White,21,16
no,Ham & Pickles,White,53,23
