Butter,Filling,Bread,Ants,Order
no,Vegemite,Rye,18,10
no,Peanut Butter,Rye,43,26
no,Ham & Pickles,Rye,44,39
no,Vegemite,Wholemeal,29,25
no,Peanut Butter,Wholemeal,59,35
no,Ham & Pickles,Wholemeal,34,1
no,Vegemite,Multigrain,42,44
no,Peanut Butter,Multigrain,22,36
no,Ham & Pickles,Multigrain,36,32
no,Vegemite,White,42,33
no,Peanut Butter,White,25,34
no,Ham & Pickles,White,49,13
no,Vegemite,Rye,31,14
no,Peanut Butter,Rye,36,31
no,Ham & Pickles,Rye,54,20
no,Vegemite,Wholemeal,21,19
no,Peanut Butter,Wholemeal,47,38
no,Ham & Pickles,Wholemeal,65,5
no,Vegemite,Multigrain,38,21
no,Peanut Butter,Multigrain,19,22
no,Ham & Pickles,Multigrain,59,8
no,Vegemite,White,25,41
no,Peanut Butter,White,21,16
no,Ham & Pickles,White,53,23
yes,Vegemite,Rye,22,27
yes,Peanut Butter,Rye,27,45
yes,Ham & Pickles,Rye,68,3
yes,Vegemite,Wholemeal,57,17
yes,Peanut Butter,Wholemeal,42,48
yes,Ham & Pickles,Wholemeal,58,6
yes,Vegemite,Multigrain,26,15
yes,Peanut Butter,Multigrain,60,24
yes,Ham & Pickles,Multigrain,63,4
yes,Vegemite,White,2,42
yes,Peanut Butter,White,57,11
yes,Ham & Pickles,White,66,37
yes,Vegemite,Rye,45,30
yes,Peanut Butter,Rye,50,29
yes,Ham & Pickles,Rye,65,9
yes,Vegemite,Wholemeal,42,40
yes,Peanut Butter,Wholemeal,36,28
yes,Ham & Pickles,Wholemeal,97,43
yes,Vegemite,Multigrain,28,18
yes,Peanut Butter,Multigrain,47,2
yes,Ham & Pickles,Multigrain,76,12
yes,Vegemite,White,40,46
yes,Peanut Butter,White,51,7
yes,Ham & Pickles,White,59,47
