Leniency,Group
7,smile
3,smile
6,smile
4.5,smile
3.5,smile
4,smile
3,smile
3,smile
3.5,smile
4.5,smile
7,smile
5,smile
5,smile
7.5,smile
2.5,smile
5,smile
5.5,smile
5.5,smile
5,smile
4,smile
5,smile
6.5,smile
6.5,smile
7,smile
3.5,smile
5,smile
3.5,smile
9,smile
2.5,smile
8.5,smile
3.5,smile
4.5,smile
3.5,smile
4.5,smile
2,neutral
4,neutral
4,neutral
3,neutral
6,neutral
4.5,neutral
2,neutral
6,neutral
3,neutral
3,neutral
4.5,neutral
8,neutral
4,neutral
5,neutral
3.5,neutral
4.5,neutral
6.5,neutral
3.5,neutral
4.5,neutral
4.5,neutral
2.5,neutral
2.5,neutral
4.5,neutral
2.5,neutral
6,neutral
6,neutral
2,neutral
4,neutral
5.5,neutral
4,neutral
2.5,neutral
2.5,neutral
3,neutral
6.5,neutral
