DecisionM,DecisionF,LikeM,LikeF,PartnerYesM,PartnerYesF,AgeM,AgeF,RaceM,RaceF,AttractiveM,AttractiveF,SincereM,SincereF,IntelligentM,IntelligentF,FunM,FunF,AmbitiousM,AmbitiousF,SharedInterestsM,SharedInterestsF
0,0,6,7,5,5,27,21,Caucasian,Caucasian,6,5,8,8,8,8,8,2,7,2,6,2
1,0,8,7,4,3,22,22,Caucasian,Asian,7,6,9,6,10,8,6,4,6,9,5,4
1,0,10,6,10,2,22,23,Asian,Asian,10,4,10,7,10,9,10,4,10,3,10,2
1,1,9,7,7,8,23,24,Caucasian,Caucasian,9,7,9,9,9,7,9,6,9,5,9,7
1,1,7,5,8,5,24,26,Latino,Other,7,5,9,10,8,8,9,8,7,5,7,5
0,0,6,6,6,1,25,26,Caucasian,Caucasian,,5,8,10,7,6,7,4,7,6,7,
0,1,2,6,1,5,30,21,Caucasian,Asian,3,7,6,6,7,7,5,4,8,6,7,7
0,0,7,6,7,6,27,23,Caucasian,Caucasian,6,5,7,9,8,9,6,5,6,9,5,7
1,1,8,7,8,10,28,25,Caucasian,Caucasian,8,8,7,8,8,5,10,9,8,8,10,9
0,0,5,8,5,7,24,25,Caucasian,Caucasian,5,8,6,7,8,9,5,7,8,9,6,7
0,1,3,7,1,7,25,25,Asian,Caucasian,5,6,6,8,6,9,5,7,7,7,3,8
0,0,7,8,,5,30,23,Asian,Caucasian,10,8,10,9,10,8,10,5,10,9,,5
0,0,8,8,5,1,23,23,Asian,Black,6,8,10,8,9,10,8,7,10,7,,7
0,0,4,3,1,2,24,27,Caucasian,Caucasian,4,4,6,7,7,8,3,2,6,6,4,2
1,1,6,6,5,6,24,27,Caucasian,Black,6,6,7,8,6,8,6,7,8,7,5,6
1,1,7,7,7,5,28,21,Caucasian,Asian,7,6,8,7,7,7,6,6,6,7,6,5
1,0,8,8,7,5,26,27,Caucasian,Asian,8,8,9,9,8,8,7,,10,8,7,7
1,0,6,7,6,7,30,27,Caucasian,Caucasian,6,5,6,7,6,7,5,7,6,7,4,7
0,0,6,2,7,5,22,26,Caucasian,Caucasian,6,3,8,1,7,2,7,2,9,2,4,3
