Payment,Sex,Items,Cost
Individual,F,2,59
Individual,M,2,54
Individual,M,2,50
Individual,M,2,49
Individual,M,2,47
Individual,F,1,46
Individual,F,2,45
Individual,M,2,45
Individual,F,2,43
Individual,M,2,43
Individual,M,2,40
Individual,F,2,40
Individual,F,2,39
Individual,M,2,39
Individual,F,1,35
Individual,F,1,35
Individual,M,1,35
Individual,F,2,31
Individual,F,2,31
Individual,F,2,30
Individual,M,1,16
Individual,M,1,16
Individual,F,1,15
Individual,M,1,12
Split,F,2,81
Split,M,2,73
Split,M,2,71
Split,F,1,66
Split,F,2,64
Split,F,3,62
Split,F,2,60
Split,M,2,59
Split,F,2,59
Split,M,3,56
Split,M,2,52
Split,F,2,47
Split,M,2,46
Split,F,2,46
Split,M,2,45
Split,M,2,45
Split,M,2,44
Split,M,2,40
Split,M,2,40
Split,F,1,39
Split,F,1,37
Split,F,1,35
Split,M,2,33
Split,F,1,22
