Exam1,Exam2,Final
91,86,90
91,89,95
80,72,81
75,81,63
73,82,83
82,83,78
89,89,90
47,50,74
77,74,77
91,93,103
81,78,83
80,89,89
85,87,87
88,91,91
70,66,78
87,78,88
58,65,69
59,59,80
65,78,78
91,93,93
78,79,81
91,95,95
87,86,84
82,93,96
83,90,89
70,74,67
96,94,92
67,78,79
82,86,98
87,90,83
84,84,81
80,77,88
79,85,87
75,87,89
90,91,97
75,89,77
86,91,96
87,89,87
90,95,95
80,83,92
82,77,93
62,73,60
89,92,88
98,93,95
88,76,79
89,86,89
92,91,92
89,89,86
84,84,90
71,76,80
