Year,Gender,Smoke,Award,HigherSAT,Exercise,TV,Height,Weight,Siblings,BirthOrder,VerbalSAT,MathSAT,SAT,GPA,Pulse,Piercings
Senior,M,No,Olympic,Math,10,1,71,180,4,4,540,670,1210,3.13,54,0
Sophomore,F,Yes,Academy,Math,4,7,66,120,2,2,520,630,1150,2.5,66,3
FirstYear,M,No,Nobel,Math,14,5,72,208,2,1,550,560,1110,2.55,130,0
Junior,M,No,Nobel,Math,3,1,63,110,1,1,490,630,1120,3.1,78,0
Sophomore,F,No,Nobel,Verbal,3,3,65,150,1,1,720,450,1170,2.7,40,6
Sophomore,F,No,Nobel,Verbal,5,4,65,114,2,2,600,550,1150,3.2,80,4
FirstYear,F,No,Olympic,Math,10,10,66,128,1,1,640,680,1320,2.77,94,8
Sophomore,M,No,Olympic,Math,13,8,74,235,1,1,660,710,1370,3.3,77,0
Junior,F,No,Nobel,Verbal,3,6,61,,2,2,550,550,1100,2.8,60,7
FirstYear,F,No,Nobel,Math,12,1,60,115,7,8,670,700,1370,3.7,94,2
Sophomore,F,No,Olympic,Math,12,6,65,140,1,2,500,670,1170,2.09,63,2
FirstYear,M,No,Olympic,Math,10,5,63,200,2,2,580,600,1180,,72,0
Sophomore,M,No,Olympic,Math,12,8,68,162,3,,530,620,1150,2.9,54,0
Junior,F,No,Nobel,Verbal,6,1,68,135,2,3,650,650,1300,3.08,66,4
FirstYear,M,No,Nobel,Verbal,9,5,68,193,1,1,700,650,1350,,72,0
FirstYear,F,No,Olympic,Math,10,2,63,110,1,2,590,610,1200,3.86,59,4
FirstYear,F,No,Olympic,Verbal,3,15,63,99,2,1,600,600,1200,3,88,4
Sophomore,M,No,Nobel,Verbal,7,3,72,165,2,1,700,650,1350,3,59,0
Sophomore,F,No,Nobel,Math,2,1,62,120,1,1,610,800,1410,3.35,64,2
Sophomore,F,No,Olympic,Verbal,14,2,67,154,1,2,550,450,1000,3.3,72,5
Sophomore,F,No,Nobel,Math,10,5,65,110,1,2,550,640,1190,3.4,74,2
Sophomore,F,No,Nobel,Math,14,2,68,145,8,8,560,570,1130,2.9,70,2
FirstYear,M,No,Olympic,Math,20,20,73,195,3,4,560,620,1180,3.5,58,0
Sophomore,M,No,Olympic,Math,7,10,74,200,1,2,550,650,1200,3,48,0
Sophomore,M,No,Olympic,Math,12,3,70,167,1,2,550,680,1230,3.3,74,0
Sophomore,M,No,Nobel,Math,10,5,71,175,3,2,700,720,1420,3.7,60,0
Sophomore,F,No,Academy,Verbal,6,8,67,155,1,1,610,590,1200,3.48,74,2
Junior,M,No,Nobel,Math,14,2,74,185,1,2,570,580,1150,3.4,70,0
FirstYear,M,No,Olympic,Math,12,6,68,190,1,1,550,560,1110,2.5,74,0
Senior,M,No,Olympic,Verbal,10,4,72,165,1,2,500,500,1000,3.3,60,0
Junior,M,No,Academy,Math,8,8,62,175,2,3,610,620,1230,3.5,55,0
Sophomore,F,No,Nobel,Math,0,2,66,126,5,6,610,650,1260,3.79,82,1
FirstYear,M,No,Olympic,Math,10,20,70,187,3,2,500,560,1060,3.3,68,0
Senior,M,No,Nobel,Verbal,6,10,72,170,2,2,640,640,1280,2.9,83,0
FirstYear,F,No,Olympic,Math,5,2,67,158,4,2,490,520,1010,2.68,53,2
Sophomore,F,No,Olympic,Math,24,5,62,119,1,2,560,580,1140,3.28,72,4
FirstYear,M,No,Olympic,Math,2,5,73,205,1,1,560,640,1200,3.51,86,0
Sophomore,F,No,Academy,Math,10,5,67,129,1,1,470,600,1070,2.6,67,4
Sophomore,F,No,Academy,Verbal,6,5,67,145,0,1,680,670,1350,3.85,89,2
Junior,F,No,Nobel,Verbal,5,5,64,130,0,,570,570,1140,2.4,48,4
Senior,M,No,Nobel,Verbal,5,5,72,215,3,1,630,590,1220,3.4,64,0
Sophomore,F,No,Nobel,Verbal,12,4,64,135,2,3,580,540,1120,2.4,73,7
