Sex,Group,Synch,Exertion,PainToleranceBefore,PainTolerance,PainTolDiff,MaxPressure,CloseBefore,CloseAfter,CloseDiff
f,HS+HE,yes,high,180,300,120,yes,5,4,-1
m,HS+HE,yes,high,140,160,20,no,2,4,2
f,HS+HE,yes,high,300,300,0,yes,4,7,3
f,HS+HE,yes,high,260,250,-10,no,5,4,-1
f,HS+HE,yes,high,120,230,110,no,7,4,-3
m,HS+HE,yes,high,300,300,0,yes,3,7,4
f,HS+HE,yes,high,270,220,-50,no,4,6,2
f,HS+HE,yes,high,180,300,120,yes,7,4,-3
m,HS+HE,yes,high,280,300,20,yes,6,5,-1
f,HS+HE,yes,high,220,160,-60,no,3,5,2
f,HS+HE,yes,high,180,260,80,no,4,3,-1
f,HS+HE,yes,high,70,225,155,no,3,4,1
m,HS+HE,yes,high,280,300,20,yes,4,2,-2
f,HS+HE,yes,high,180,300,120,yes,6,1,-5
f,HS+HE,yes,high,283,220,-63,no,2,5,3
f,HS+HE,yes,high,200,220,20,no,4,6,2
f,HS+HE,yes,high,180,300,120,yes,7,7,0
f,HS+HE,yes,high,73,70,-3,no,7,7,0
m,HS+HE,yes,high,280,290,10,no,2,1,-1
f,HS+HE,yes,high,160,280,120,no,7,5,-2
f,HS+HE,yes,high,300,300,0,yes,4,3,-1
m,HS+HE,yes,high,300,300,0,yes,3,7,4
f,HS+HE,yes,high,180,280,100,no,6,5,-1
f,HS+HE,yes,high,70,110,40,no,3,4,1
f,HS+HE,yes,high,220,280,60,no,7,7,0
m,HS+HE,yes,high,160,200,40,no,5,7,2
f,HS+HE,yes,high,162,245,83,no,7,4,-3
m,HS+HE,yes,high,210,210,0,no,7,4,-3
f,HS+HE,yes,high,90,130,40,no,6,6,0
f,HS+HE,yes,high,270,300,30,yes,7,6,-1
m,HS+HE,yes,high,180,160,-20,no,5,7,2
f,HS+HE,yes,high,100,190,90,no,7,7,0
m,HS+HE,yes,high,152,230,78,no,6,6,0
m,HS+HE,yes,high,240,270,30,no,4,5,1
f,HS+HE,yes,high,30,90,60,no,4,6,2
f,HS+HE,yes,high,193,290,97,no,5,6,1
f,HS+HE,yes,high,150,280,130,no,3,2,-1
m,HS+HE,yes,high,300,300,0,yes,6,5,-1
f,HS+HE,yes,high,73,129,56,no,4,6,2
f,HS+HE,yes,high,280,220,-60,no,6,7,1
f,HS+HE,yes,high,120,300,180,yes,6,4,-2
f,HS+HE,yes,high,180,240,60,no,6,6,0
f,HS+HE,yes,high,200,240,40,no,7,7,0
f,HS+HE,yes,high,120,180,60,no,6,6,0
f,HS+HE,yes,high,138,197,59,no,5,5,0
m,HS+HE,yes,high,120,100,-20,no,6,6,0
f,HS+HE,yes,high,190,220,30,no,5,3,-2
f,HS+HE,yes,high,257,297,40,no,4,7,3
f,HS+HE,yes,high,160,180,20,no,7,7,0
m,HS+HE,yes,high,180,240,60,no,5,6,1
f,HS+HE,yes,high,210,300,90,yes,6,7,1
m,HS+HE,yes,high,100,100,0,no,6,7,1
f,HS+HE,yes,high,260,300,40,yes,4,7,3
m,HS+HE,yes,high,270,300,30,yes,4,5,1
f,HS+HE,yes,high,140,150,10,no,3,4,1
f,HS+HE,yes,high,210,180,-30,no,4,7,3
f,HS+HE,yes,high,300,300,0,yes,7,7,0
f,HS+HE,yes,high,90,100,10,no,6,5,-1
f,HS+HE,yes,high,100,240,140,no,5,5,0
m,HS+HE,yes,high,180,270,90,no,5,6,1
m,HS+HE,yes,high,280,300,20,yes,3,2,-1
m,HS+HE,yes,high,200,300,100,yes,5,4,-1
m,HS+HE,yes,high,300,300,0,yes,2,5,3
m,HS+HE,yes,high,220,240,20,no,7,7,0
f,HS+HE,yes,high,200,300,100,yes,7,7,0
f,HS+HE,yes,high,260,300,40,yes,5,7,2
f,HS+HE,yes,high,210,150,-60,no,4,3,-1
m,HS+HE,yes,high,200,300,100,yes,1,1,0
f,HS+HE,yes,high,300,300,0,yes,2,3,1
m,HS+HE,yes,high,280,140,-140,no,2,2,0
f,HS+HE,yes,high,250,300,50,yes,1,6,5
f,HS+HE,yes,high,300,300,0,yes,5,6,1
m,LS+HE,no,high,300,300,0,yes,4,4,0
f,LS+HE,no,high,190,260,70,no,2,7,5
m,LS+HE,no,high,300,300,0,yes,5,5,0
m,LS+HE,no,high,230,190,-40,no,5,5,0
f,LS+HE,no,high,50,60,10,no,7,7,0
f,LS+HE,no,high,300,240,-60,no,1,4,3
m,LS+HE,no,high,260,250,-10,no,1,4,3
f,LS+HE,no,high,173,230,57,no,5,7,2
