id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
0,A,80.1,material_7,material_8,9,5,7,8,4,18.04,12.518,15.748,19.292,11.739,20.155,10.672,15.859,17.594,15.193,15.029,,13.034,14.684,764.1,0
1,A,84.89,material_7,material_8,9,5,14,3,3,18.213,11.54,17.717,17.893,12.748,17.889,12.448,17.947,17.915,11.755,14.732,15.425,14.395,15.631,682.057,0
2,A,82.43,material_7,material_8,9,5,12,1,5,18.057,11.652,16.738,18.24,12.718,18.288,12.715,15.607,,13.798,16.711,18.631,14.094,17.946,663.376,0
3,A,101.07,material_7,material_8,9,5,13,2,6,17.295,11.188,18.576,18.339,12.583,19.06,12.471,16.346,18.377,10.02,15.25,15.562,16.154,17.172,826.282,0
4,A,188.06,material_7,material_8,9,5,9,2,8,19.346,12.95,16.99,15.746,11.306,18.093,10.337,17.082,19.932,12.428,16.182,12.76,13.153,16.412,579.885,0
5,A,75.35,material_7,material_8,9,5,11,4,0,17.564,13.721,16.594,,11.592,20.81,10.622,14.904,19.107,13.327,15.354,19.251,,17.625,832.902,0
6,A,161.71,material_7,material_8,9,5,12,2,4,17.303,12.643,17.476,17.679,12.957,17.916,11.37,17.714,19.924,11.56,16.653,17.734,,16.637,684.438,1
7,A,177.92,material_7,material_8,9,5,4,8,8,17.062,13.634,17.879,15.894,11.029,18.643,10.254,16.449,20.478,12.207,15.624,16.968,15.176,17.231,684.0,1
8,A,109.5,material_7,material_8,9,5,9,6,5,18.111,11.886,17.354,18.558,11.54,19.887,11.557,15.965,19.604,14.091,15.674,13.327,13.535,15.408,,0
9,A,98.72,material_7,material_8,9,5,10,4,7,18.945,12.249,17.298,18.482,11.298,19.011,10.384,15.237,18.427,12.635,14.318,14.327,12.867,,,0
10,A,140.36,material_7,material_8,9,5,10,3,6,,10.827,16.236,16.836,13.058,18.868,12.146,16.483,20.054,10.37,14.873,16.819,14.623,15.121,637.067,0
11,A,175.38,material_7,material_8,9,5,7,3,2,17.029,11.507,18.377,16.338,10.019,20.242,11.309,16.31,18.959,11.52,14.659,15.355,15.175,15.829,792.591,1
12,A,232.58,material_7,material_8,9,5,9,0,6,19.107,12.056,17.69,17.204,13.086,20.228,11.528,15.631,19.709,14.616,14.801,14.75,12.762,16.226,858.722,0
13,A,159.19,material_7,material_8,9,5,6,9,10,19.71,12.031,16.867,18.527,10.917,20.341,9.902,14.803,16.473,10.424,16.132,14.877,15.291,13.013,798.38,1
14,A,196.51,material_7,material_8,9,5,10,4,10,18.982,10.843,16.716,17.409,12.387,18.819,12.103,17.901,17.336,12.665,17.08,15.169,13.471,13.78,661.16,0
15,A,106.43,material_7,material_8,9,5,8,5,9,19.416,12.271,18.457,15.69,13.036,20.512,11.904,13.723,,13.167,14.823,14.969,14.389,16.608,888.257,0
16,A,93.72,material_7,material_8,9,5,10,5,6,16.807,13.008,17.602,17.234,11.767,19.225,11.734,15.603,19.301,,15.205,17.074,15.488,16.893,757.781,0
17,A,72.72,material_7,material_8,9,5,21,6,3,17.397,12.777,18.701,15.278,11.261,18.415,11.707,14.205,19.845,9.798,16.055,15.82,16.836,15.646,692.561,0
18,A,86.18,material_7,material_8,9,5,11,6,3,18.344,10.736,16.635,17.777,12.407,18.683,11.203,17.655,19.825,13.055,16.385,16.884,14.036,16.241,654.072,0
19,A,109.24,material_7,material_8,9,5,11,4,4,17.641,12.977,18.353,17.874,12.877,17.797,9.459,15.392,21.825,11.214,15.139,17.359,13.791,16.212,,0
20,A,129.09,material_7,material_8,9,5,6,9,15,18.035,10.175,16.386,18.383,11.193,19.573,10.164,15.846,19.582,,14.686,17.231,13.827,17.801,685.862,0
21,A,82.16,material_7,material_8,9,5,6,1,4,18.843,11.915,17.442,17.855,13.384,18.585,12.452,16.514,18.423,11.95,15.949,15.589,14.923,18.714,738.721,0
22,A,155.62,material_7,material_8,9,5,8,3,5,17.79,11.435,18.873,17.863,14.084,20.294,11.487,14.801,20.184,10.288,13.19,14.305,14.985,17.27,967.106,0
23,A,118.12,material_7,material_8,9,5,15,2,12,17.894,11.105,18.077,18.758,10.785,20.167,10.953,16.132,18.732,13.73,13.276,14.083,13.104,13.739,845.997,0
24,A,100.48,material_7,material_8,9,5,4,7,10,16.926,11.884,16.17,,12.296,18.481,9.435,16.915,17.916,10.268,15.275,17.929,14.645,14.692,594.86,0
25,A,96.83,material_7,material_8,9,5,11,3,9,19.342,12.497,16.404,18.016,12.084,18.802,10.087,15.811,,11.77,16.085,16.575,14.946,18.145,674.403,0
26,A,223.36,material_7,material_8,9,5,9,4,11,18.801,13.045,16.376,18.569,12.231,18.92,12.328,17.217,18.0,10.212,14.46,14.154,14.642,16.709,708.199,0
27,A,128.17,material_7,material_8,9,5,14,4,6,16.895,11.73,14.913,17.455,,18.342,11.922,16.55,20.302,,16.247,14.349,15.411,17.149,480.174,0
28,A,93.06,material_7,material_8,9,5,10,2,1,18.202,11.614,16.791,18.039,,18.983,12.559,17.082,,11.491,13.514,16.918,,19.218,725.159,0
29,A,91.5,material_7,material_8,9,5,17,5,3,16.942,10.986,14.864,16.545,11.389,18.383,11.007,,20.145,12.685,17.215,17.254,13.775,17.869,471.271,0
30,A,211.44,material_7,material_8,9,5,18,5,9,17.456,12.293,16.308,19.548,12.832,19.113,,14.725,22.007,12.581,16.657,16.054,12.598,16.993,748.908,0
31,A,102.42,material_7,material_8,9,5,18,3,4,17.041,11.01,18.175,15.471,11.653,16.77,11.897,14.883,20.402,12.817,13.948,16.577,13.717,12.761,521.457,0
32,A,174.02,material_7,material_8,9,5,10,5,5,18.196,13.978,16.917,16.321,11.461,18.841,10.579,15.952,21.591,14.998,15.784,,13.842,19.473,669.02,0
33,A,186.71,material_7,material_8,9,5,10,3,4,17.58,9.107,15.741,17.843,12.421,19.547,9.666,16.274,19.936,12.326,16.334,18.647,13.182,16.777,645.405,1
34,A,60.66,material_7,material_8,9,5,8,3,6,19.625,11.415,17.454,17.107,11.826,17.866,11.859,16.782,16.55,12.287,16.815,15.656,14.371,20.015,,0
35,A,182.71,material_7,material_8,9,5,19,8,3,17.886,11.279,17.647,18.048,11.491,18.681,10.905,15.34,20.354,10.478,16.305,18.725,13.322,14.712,707.166,0
36,A,114.44,material_7,material_8,9,5,8,3,5,19.15,9.933,17.079,14.043,11.492,18.789,11.176,,19.644,14.161,15.801,14.763,13.633,16.356,553.578,0
37,A,88.0,material_7,material_8,9,5,19,7,1,18.39,13.55,19.053,17.408,11.499,20.23,12.245,17.131,21.899,13.434,14.476,14.926,16.347,18.029,927.606,0
38,A,103.49,material_7,material_8,9,5,13,2,3,17.11,13.184,16.659,17.814,10.628,18.602,8.946,16.729,21.136,,15.107,17.436,15.646,15.887,641.698,0
39,A,144.15,material_7,material_8,9,5,16,3,1,17.172,12.303,15.873,17.606,13.055,18.206,12.042,16.342,22.389,13.931,15.705,13.341,15.226,18.369,606.519,1
40,A,136.29,material_7,material_8,9,5,8,7,3,16.704,11.588,16.984,16.009,11.897,19.872,10.626,15.983,18.572,,15.386,18.777,17.379,18.873,719.904,0
41,A,138.41,material_7,material_8,9,5,13,2,4,18.086,12.572,16.743,17.572,11.886,18.191,10.801,14.658,18.056,11.531,15.423,15.472,14.067,,631.067,0
42,A,98.01,material_7,material_8,9,5,14,3,0,16.973,11.512,16.375,17.419,12.516,,14.034,16.85,17.642,14.419,15.228,14.023,,15.741,811.245,0
43,A,178.81,material_7,material_8,9,5,11,4,3,17.742,12.331,15.535,,13.735,18.296,11.625,15.31,22.941,10.436,15.561,17.667,15.048,17.63,631.167,0
44,A,191.18,material_7,material_8,9,5,5,4,12,19.052,11.209,17.071,18.044,10.32,19.2,11.47,15.342,18.671,12.935,15.797,13.664,,17.74,682.064,0
45,A,211.2,material_7,material_8,9,5,8,9,3,17.626,11.935,17.463,16.413,12.673,20.174,11.097,16.323,20.621,11.157,15.937,17.057,15.079,16.129,807.674,1
46,A,164.47,material_7,material_8,9,5,11,3,5,19.877,12.02,18.826,16.775,10.967,18.668,11.874,16.149,19.59,13.101,15.133,18.654,16.409,17.779,740.611,0
47,A,215.05,material_7,material_8,9,5,14,7,7,17.873,13.361,19.204,15.899,11.85,19.41,11.08,15.789,15.495,11.044,15.269,14.92,15.927,13.917,839.468,0
48,A,228.32,material_7,material_8,9,5,8,1,4,17.252,11.486,17.373,15.98,11.066,18.722,9.662,,20.762,12.28,15.584,16.659,15.018,,630.769,0
49,A,150.48,material_7,material_8,9,5,13,3,2,18.057,11.393,17.064,16.497,11.744,21.543,11.946,17.513,17.948,12.866,14.786,15.201,13.501,16.626,860.434,0
50,A,158.69,material_7,material_8,9,5,12,2,10,17.699,13.003,17.998,17.933,11.362,19.24,11.195,16.862,20.949,14.83,17.48,15.492,16.232,19.039,790.748,0
51,A,145.07,material_7,material_8,9,5,13,7,6,18.231,11.04,17.056,17.351,11.452,20.053,11.134,16.575,18.205,,,14.412,13.364,18.958,754.881,1
52,A,143.74,material_7,material_8,9,5,4,5,3,17.75,10.414,18.662,17.593,10.751,18.071,13.838,14.944,,11.878,13.309,20.071,17.032,14.628,,0
53,A,157.84,material_7,material_8,9,5,11,2,4,17.981,12.07,16.252,17.582,10.906,18.218,10.922,17.087,19.037,12.986,16.549,15.746,12.546,16.901,571.376,0
