Field,Books,Cost
SocialScience,3,77
NaturalScience,2,231
NaturalScience,1,189
SocialScience,6,85
NaturalScience,1,113
Humanities,9,132
SocialScience,2,199
SocialScience,1,161
Humanities,3,213
Arts,1,131
Arts,1,133
Arts,6,118
SocialScience,9,197
SocialScience,3,95
SocialScience,2,73
SocialScience,1,115
NaturalScience,1,110
SocialScience,2,87
Humanities,3,223
Humanities,5,74
Arts,3,153
NaturalScience,1,142
NaturalScience,2,211
Arts,1,89
Arts,1,17
Arts,1,64
Humanities,1,106
NaturalScience,2,246
NaturalScience,3,129
NaturalScience,1,156
Humanities,4,57
SocialScience,1,94
Humanities,2,133
Arts,2,102
Arts,1,30
Arts,1,109
NaturalScience,2,181
Humanities,5,116
Humanities,1,60
Humanities,2,89
