"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@TercerOjo_Media","Tercer Ojo","#MensajeALaNación Sagasti anuncia la modernización de los sistemas administrativos de la PNP.","1","1","15","1606183424000","24 Nov 2020","TercerOjo_Media/status/1331055870998941696","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@CristhianRS","Cristhian Rojas S","César Augusto Cervantes Cárdenas asume la dirección de la Policía Nacional por orden del presidente Sagasti. #MensajeALaNación https://t.co/ryuh5itlqi","3","31","93","1606183636000","24 Nov 2020","CristhianRS/status/1331056762305318917","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@CHRISTIANAUGER7","CHRISTIANAUGER","#MensajeALaNación PESIMO. Sagasti empieza su gestión con una INFRACCION CONSTITUCIONAL Y LEGAL. El Presidente no pude nombrar a ""quien le dé la gana"". Y lo peor es que esa misma noram rige para las FFAA. OJO mañana van a hacer lo mismo. ESTO ES DICTADURA AL ESTILO MAOISTA...","0","0","0","1606399023000","26 Nov 2020","CHRISTIANAUGER7/status/1331960158466039809","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@mangcer","Manolito","#MensajeALaNación ¿Y la minería, Don Quijote? ¡Calla, asesino!","0","0","0","1605652956000","17 Nov 2020","mangcer/status/1328830929813561344","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@eldenets1","Dennis Godoy ®️","#MensajeAlaNacion buenos apuntes @anajarav, los cambios deben ser bien analizados para no tener las consecuencias de hoy, devenidas de la poda que hizo @ppkamigo a principio de su gobierno (Generales sin experiencia ) efectivamente el grupo terna debe ser desactivado, faltó eso.","1","0","1","1606184345000","24 Nov 2020","eldenets1/status/1331059733952913408","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion"
"@camanz89","Carlos Manuel Neyra","Vizcarra dió su último #MensajeALaNación, ya estaba harto de todo este show mediático, ahora el pueblo estará expectante cómo manejan la gobernabilidad y democracia el presidente y autoridades de turno","0","0","2","1604975917000","10 Nov 2020","camanz89/status/1325991220066349056","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@DianaCotrado","Diana Cotrado","#MensajeALaNación #LutoNacional 🏴 Luego de 2 asesinatos, muchos heridos y congresistas lavándose la cara, #Merino RENUNCIÓ!","0","0","0","1605460595000","15 Nov 2020","DianaCotrado/status/1328024106311315456","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación | LutoNacional | Merino"
"@_Trust_My_Rage","Krrg✨","#MensajeALaNación Francisco Sagasti: ""No hemos sabido escuchar y responder a las legítimas aspiraciones de la gran mayoría de peruanos y peruanas, a demandas de reconocimiento y de dignidad, de igualdad de trato y de oportunidades para todos y todas"". https://t.co/MIDsJH2CVf","0","0","0","1605651806000","17 Nov 2020","_Trust_My_Rage/status/1328826105571270656","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@DarioAntonioEsp","Dario","#MensajeALaNación El congreso evalúa si la impuntualidad de Sagasti amerita vacarlo por incapacidad moral. Algo así ya no sorprendería.","0","0","0","1606183727000","24 Nov 2020","DarioAntonioEsp/status/1331057144964259841","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@Natycordoves","Natalia Cordoves Canache","#FranciscoSagasti : ""A pocos meses del #Bicentenario haremos lo posible para devolverle la esperanza y confianza a la ciudadanía, esa capacidad de pensar e imaginar en un #Perú mejor y hacerlo realidad"", #MensajeALaNación tras su juramentación como presidente del #Perú. https://t.co/ItWPiJYxAs","0","0","2","1605653375000","17 Nov 2020","Natycordoves/status/1328832686279057409","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","FranciscoSagasti | Bicentenario | Perú | MensajeALaNación | Perú"
