State,HouseholdIncome,Region,Population,EighthGradeMath,HighSchool,College,IQ,GSP,Vegetables,Fruit,Smokers,PhysicalActivity,Obese,NonWhite,HeavyDrinkers,Electoral,ObamaVote,ObamaRomney,TwoParents,StudentSpending,Insured
Alabama,43.253,S,4.849,269.2,84.9,24.9,95.7,32.615,74.2,54.1,21.5,45.4,32.4,30.7,4.3,9,0.384,R,58.7,8.755,78.8
Alaska,70.76,W,0.737,281.6,92.8,24.7,99,61.156,80.8,60.3,22.6,55.3,28.4,33.1,8.2,3,0.408,R,69.6,18.175,79.8
Arizona,49.774,W,6.731,279.7,85.6,25.5,97.4,35.195,76.2,60.5,16.3,51.9,26.8,20.8,6.3,11,0.446,R,62.7,7.208,74.7
Arkansas,40.768,S,2.966,277.9,87.1,22.4,97.5,31.837,72.0,49.5,25.9,41.2,34.6,21.7,5,6,0.369,R,62,9.394,71.7
California,61.094,W,38.803,275.9,84.1,31.4,95.5,46.029,82.7,69.6,12.5,56.3,24.1,37.7,6.4,55,0.602,O,65.3,9.22,79.7
Colorado,58.433,W,5.356,289.7,89.5,37,101.6,46.242,80.9,64.3,17.7,60.4,21.3,15.8,6.7,9,0.515,O,69.9,8.647,80
Connecticut,69.461,NE,3.597,285.2,91.0,39.8,103.1,54.925,77.8,66.3,15.5,50.9,25,22.1,6.3,7,0.581,O,67,16.631,87.7
Delaware,59.878,NE,0.936,282.3,86.9,31.7,100.4,61.183,71.1,59.6,19.6,49.7,31.1,30,6.6,3,0.586,O,60.4,13.833,85.7
Florida,46.956,S,19.893,280.9,87.1,26.5,98.4,34.802,79.2,62.0,16.8,50.2,26.4,23.7,7.2,29,0.5,O,60.2,8.433,70.9
Georgia,49.179,S,10.097,279.2,85.3,29,98,37.702,76.3,56.8,18.8,50.8,30.3,39.4,4.7,16,0.455,R,60.3,9.099,72.7
Hawaii,67.402,W,1.420,281.4,94.8,29.7,95.6,44.442,76.9,60.8,13.3,60.2,21.8,75,7.6,4,0.705,O,70.4,11.823,90
Idaho,46.767,W,1.634,286.4,89.9,23.6,101.4,31.945,79.6,61.6,17.2,53.9,29.6,8.1,6.2,4,0.326,R,74.1,6.791,75.9
Illinois,56.797,MW,12.881,284.9,89.8,38.2,99.9,46.151,76.0,63.3,18,52.4,29.4,27.5,6.5,20,0.576,O,66.2,12.288,80.6
Indiana,48.248,MW,6.597,287.8,87.6,27.5,101.7,39.065,73.1,56.4,21.9,44.1,31.8,15.4,5.2,11,0.439,R,65.4,9.566,79.1
Iowa,51.843,MW,3.107,285.1,92.4,32.2,103.2,42.222,73.2,60.7,19.5,47,31.3,8.5,6.5,6,0.52,O,69.6,10.313,87.3
Kansas,51.332,MW,2.904,289.5,89.6,33.1,102.8,41.070,77.1,58.3,20,49.1,30,14.6,4.6,6,0.38,R,70,9.828,79.2
Kentucky,43.036,MW,4.413,280.6,88.5,25.7,99.4,33.519,75.1,53.8,26.5,46,33.2,12.1,4.9,8,0.378,R,64.3,9.316,78
Louisiana,44.874,S,4.650,272.8,85.0,25,95.3,43.145,67.3,52.5,23.5,45.2,33.1,37.1,6.3,8,0.406,R,54.1,10.49,74
Maine,48.453,NE,1.330,288.7,94.0,29.9,103.4,34.597,82.3,66.0,20.2,53.6,28.9,4.8,7.2,4,0.563,O,66.1,12.147,84.7
Maryland,73.538,NE,5.976,286.6,89.5,39.4,99.7,46.720,78.0,64.0,16.4,48.6,28.3,41.6,5.2,10,0.62,O,63.7,13.829,84.5
Massachusetts,66.866,NE,6.745,300.6,92.4,48.3,104.3,53.221,79.9,67.2,16.6,54.5,23.6,19.5,7.5,11,0.607,O,67.6,14.515,92.8
